"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Nueva Ecija","0 - ALL ITEMS",129.8000000000000,130.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",139.4000000000000,138.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1 - FOOD",142.9000000000000,142.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.1 - Cereals and cereal products (ND)",135.0000000000000,135.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",134.9888511245630,135.4815035146400,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.1.2 - Flour of cereals (ND)",120.7538476836900,120.7538476836900,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.1.3 - Bread and bakery products (ND)",130.5476380799910,131.1373621265170,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.1.4 - Breakfast cereals (ND)",130.8301739432570,130.8301739432570,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",132.7921497305250,133.2018476726190,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.1.9 - Other cereal and grain mill products (ND)",157.6960204099570,157.9893273605260,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.2 - Meat and other parts of slaughtered land animals (ND)",126.0000000000000,125.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",129.8562883157040,134.9154886839590,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",125.6463946879390,125.1771544825460,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.3 - Fish and other seafood (ND)",169.1000000000000,166.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",211.0463307190330,209.0030562152130,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.3.3 - Fish preparations (ND)",135.9549702903720,131.4672920097350,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",155.6776667643360,154.6844812939250,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.3.6 - Other seafood preparations (ND)",165.6171061995060,165.6171061995060,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.4 - Milk, other dairy products and eggs (ND)",149.7000000000000,148.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.4.1 - Raw and whole milk (ND)",155.2587646076800,160.2671118530880,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.4.3 - Other milk and cream (ND)",113.1551565326870,111.2306645425710,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.4.5 - Cheese (ND)",105.9114557040210,101.0861731397570,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.4.7 - Milk-based dessert and beverages (ND)",124.1841800164430,126.3668806827820,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.4.8 - Eggs (ND)",178.4501906870160,176.8090301016300,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.5 - Oils and fats (ND)",160.0000000000000,158.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.5.1 - Vegetable oils (ND)",168.2427100940970,166.8260904864870,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",146.6763285024150,146.5507246376810,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.5.3 - Margarine and similar preparations (ND)",126.9989551963620,126.9989551963620,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.6 - Fruits and nuts (ND)",149.6000000000000,150.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.6.2 - Citrus fruits, fresh (ND)",155.3487433427000,151.5623208603400,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",112.4144672531770,112.4144672531770,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.6.7 - Fruit, dried and dehydrated (ND)",158.9442388830950,159.2093269096990,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.6.8 - Nuts, in shell or shelled (ND)",131.6771276829220,141.5529122591410,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",172.3046275202120,172.5116302168130,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",145.5000000000000,143.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",148.9316129168220,145.8880696189870,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",222.1471651434370,212.9183859479280,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",145.5729483574000,145.4857028117320,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",127.5294777237920,129.5046059492860,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.8 - Sugar, confectionery and desserts (ND)",148.4000000000000,147.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.8.1 - Cane and beet sugar (ND)",170.5019156722120,166.5975311782930,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",136.5708236290490,136.5708236290490,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",158.0087719298250,158.0087719298250,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",114.8659105875430,115.2541908292070,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.8.6 - Ice, ice cream and sorbet (ND)",127.5178293830830,128.2234577304970,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",111.8498103273540,111.8498103273540,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.9 - Ready-made food and other food products n.e.c. (ND)",131.3000000000000,131.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.9.2 - Baby food (ND)",123.8474276951310,123.8474276951310,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.9.3 - Salt, condiments and sauces (ND)",138.5345817430250,138.6731177232130,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.9.4 - Spices, culinary herbs and seeds (ND)",120.1200685105890,121.9544932400830,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.1.9.9 - Other food products n.e.c. (ND)",142.7907647240020,143.0434152450950,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.2 - NON-ALCOHOLIC BEVERAGES",121.4000000000000,120.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.2.1 - Fruit and vegetable juices (ND)",120.4000000000000,119.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.2.1.0 - Fruit and vegetable juices (ND)",120.3669375586330,119.1659254065230,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.2.2 - Coffee and coffee substitutes (ND)",115.2000000000000,114.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.2.2.0 - Coffee and coffee substitutes (ND)",115.1624316959260,114.6688348482070,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.2.3 - Tea, maté and other plant products for infusion (ND)",154.4000000000000,154.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",154.3737791729170,154.3737791729170,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.2.4 - Cocoa drinks (ND)",137.7000000000000,137.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.2.4.0 - Cocoa drinks (ND)",137.6613436643880,137.5998116293850,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.2.5 - Water (ND)",121.3000000000000,118.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.2.5.0 - Water (ND)",121.2741586986770,118.6461073347100,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.2.6 - Soft drinks (ND)",125.8000000000000,125.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.2.6.0 - Soft drinks (ND)",125.7740411477750,125.3424711960050,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.2.9 - Other non-alcoholic beverages (ND)",121.4000000000000,121.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","01.2.9.0 - Other non-alcoholic beverages (ND)",121.4486636124740,121.9222714535960,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02 - ALCOHOLIC BEVERAGES AND TOBACCO",259.5000000000000,259.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.1 - ALCOHOLIC BEVERAGES",149.1000000000000,149.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.1.1 - Spirits and liquors (ND)",134.2000000000000,134.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.1.1.0 - Spirits and liquors (ND)",134.1650432020630,134.7030678806160,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.1.2 - Wine (ND)",128.5000000000000,128.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.1.2.1 - Wine from grapes (ND)",128.4750115816290,128.4750115816290,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.1.2.2 - Wine from other sources (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.1.3 - Beer (ND)",173.4000000000000,173.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.1.3.0 - Beer (ND)",173.3872158870840,173.3872158870840,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.3 - TOBACCO",292.7000000000000,292.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.3.0 - Tobacco (ND)",292.7000000000000,292.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.3.0.1 - Cigarettes (ND)",292.7462532030270,292.7462532030270,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.3.0.2 - Cigars (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.3.0.9 - Other tobacco products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.4.0 - Other vegetable-based tobacco products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.4.0.0 - Other vegetable-based tobacco products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","02.900 - NON-FOOD",118.4000000000000,119.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","03 - CLOTHING AND FOOTWEAR",119.9000000000000,122.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","03.1 - CLOTHING",119.6000000000000,122.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","03.1.1 - Clothing materials (SD)",120.0000000000000,128.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","03.1.1.0 - Clothing materials (SD)",120.0362776305730,128.0386961392780,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Ecija","03.1.2 - Garments (SD)",119.6000000000000,123.0000000000000,..,..,..,..,..,..,..,..,..,..,..
