"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"..Region VI (Western Visayas)","0 - ALL ITEMS",127.8000000000000,128.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",134.8000000000000,134.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01.1 - FOOD",136.5000000000000,136.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01.1.1 - Cereals and cereal products (ND)",127.1000000000000,127.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",127.0928557520810,127.5915885923600,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01.1.1.2 - Flour of cereals (ND)",123.1291797541920,123.9109377423020,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01.1.1.3 - Bread and bakery products (ND)",126.1140638595060,126.6183490155820,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01.1.1.4 - Breakfast cereals (ND)",123.9254506975000,124.7144193518260,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",128.5523151455260,128.8424381508840,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01.1.1.9 - Other cereal and grain mill products (ND)",130.0644861150870,130.7591298643360,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",127.1000000000000,128.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",140.4187703206900,141.2515589382050,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",148.2126527498500,149.9164958195010,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",123.9155043696630,124.8170085283750,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01.1.3 - Fish and other seafood (ND)",143.2000000000000,142.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",154.1860091524300,152.8732475174780,..,..,..,..,..,..,..,..,..,..,..
