"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"..Region VII (Central Visayas)","0 - ALL ITEMS",119.0000000000000,119.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",127.4000000000000,127.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1 - FOOD",130.3000000000000,130.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.1 - Cereals and cereal products (ND)",123.5000000000000,123.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",123.4970190438840,123.8478900564750,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.1.2 - Flour of cereals (ND)",114.9049368715930,115.4072452694110,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.1.3 - Bread and bakery products (ND)",124.4509834288530,124.9268369317290,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.1.4 - Breakfast cereals (ND)",122.2760025261610,122.3481898699680,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",123.1454027839780,123.3078126632280,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.1.9 - Other cereal and grain mill products (ND)",119.8503153968910,119.8611788114010,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",129.4000000000000,130.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",108.9761869660310,111.9136792087640,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",129.3120553313000,129.0700784815090,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",130.1656130860280,130.7842625319240,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.3 - Fish and other seafood (ND)",137.3000000000000,138.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",149.0475854978010,148.1093071802590,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.3.3 - Fish preparations (ND)",131.4318364230330,131.4637000244360,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",126.7966104464570,130.6210575031140,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.3.6 - Other seafood preparations (ND)",112.3935440930020,112.1646430009150,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.4 - Milk, other dairy products and eggs (ND)",124.7000000000000,124.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.4.1 - Raw and whole milk (ND)",120.0548257165570,120.0548257165570,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.4.3 - Other milk and cream (ND)",116.5195667207100,116.7688627283700,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.4.5 - Cheese (ND)",120.9231550811130,120.9266031278550,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.4.7 - Milk-based dessert and beverages (ND)",114.4224959755890,114.5463623314910,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.4.8 - Eggs (ND)",137.8147012869350,136.2278393355120,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.5 - Oils and fats (ND)",149.6000000000000,149.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.5.1 - Vegetable oils (ND)",155.1723473019260,155.1723473019260,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",119.1098697544790,119.4097438900510,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.5.3 - Margarine and similar preparations (ND)",117.1978688305000,117.3165675323380,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.5.9 - Other animal oils and fats (ND)",119.0355448285420,119.0355448285420,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.6 - Fruits and nuts (ND)",127.1000000000000,131.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.6.2 - Citrus fruits, fresh (ND)",138.3681020141110,133.0965777379580,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",90.3913739798957,91.3176470695048,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.6.5 - Other fruits, fresh (ND)",113.0193343039990,106.6603460535670,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.6.7 - Fruit, dried and dehydrated (ND)",124.7187314016170,125.0059427011270,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.6.8 - Nuts, in shell or shelled (ND)",134.7265072075730,147.1969309172530,..,..,..,..,..,..,..,..,..,..,..
