"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Siquijor","0 - ALL ITEMS",126.8000000000000,127.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",133.4000000000000,134.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1 - FOOD",133.9000000000000,134.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.1 - Cereals and cereal products (ND)",116.2000000000000,117.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",116.1952505887530,117.5666987126450,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.1.2 - Flour of cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.1.3 - Bread and bakery products (ND)",112.2862001904640,114.1118175933300,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.1.4 - Breakfast cereals (ND)",118.4568114169120,122.8771558617120,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",124.7927886041700,125.1590819360130,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.1.9 - Other cereal and grain mill products (ND)",122.8788776342120,122.8788776342120,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.2 - Meat and other parts of slaughtered land animals (ND)",124.0000000000000,124.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",124.0404307393360,124.2145848443120,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.3 - Fish and other seafood (ND)",150.5000000000000,155.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",173.7771492159910,171.4411950517400,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.3.3 - Fish preparations (ND)",134.6999474667330,135.4612101770650,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",156.5169015877010,173.1576450608750,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.4 - Milk, other dairy products and eggs (ND)",128.4000000000000,129.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.4.3 - Other milk and cream (ND)",117.3822477689180,118.3294815780970,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.4.5 - Cheese (ND)",127.7149434491040,127.7149434491040,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Siquijor","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
