"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....South Cotabato","0 - ALL ITEMS",132.9000000000000,133.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",124.1000000000000,124.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1 - FOOD",124.7000000000000,124.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.1 - Cereals and cereal products (ND)",122.6000000000000,122.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",122.6211954969010,122.5960728930040,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.1.2 - Flour of cereals (ND)",125.7137348666830,125.7137348666830,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.1.3 - Bread and bakery products (ND)",120.3317742217930,120.4159901851970,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.1.4 - Breakfast cereals (ND)",116.9996435109660,116.9996435109660,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",130.2944656698830,130.7747501616550,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.1.9 - Other cereal and grain mill products (ND)",121.7765919186180,120.5991162139870,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.2 - Meat and other parts of slaughtered land animals (ND)",125.2000000000000,125.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",125.4451992753830,125.7468990052440,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",125.1535642531710,125.6511928265520,..,..,..,..,..,..,..,..,..,..,..
"....South Cotabato","01.1.3 - Fish and other seafood (ND)",122.8000000000000,124.4000000000000,..,..,..,..,..,..,..,..,..,..,..
