"Geolocation","Commodity Description","1991 Jan","1991 Feb","1991 Mar","1991 Apr","1991 May","1991 Jun","1991 Jul","1991 Aug","1991 Sep","1991 Oct","1991 Nov","1991 Dec","1991 Ave"
"PHILIPPINES","0 - ALL ITEMS",24.11418064535580,24.57287429893590,24.83375959079280,24.96604028771880,25.16262328211040,25.35920627650190,25.62131693569050,25.88342759487910,26.14553825406780,26.21106591886500,26.27659358366220,26.40764891325640,25.46295841243070
"..National Capital Region (NCR)","0 - ALL ITEMS",23.90605340416610,24.11575562700970,24.46525933174890,24.67496155459240,24.81476303648820,25.02446525933170,25.30406822312310,25.65357192786240,26.14287711449740,26.00307563260170,26.21277785544530,26.42248007828880,25.22834242042970
"..Areas Outside National Capital Region (NCR)","0 - ALL ITEMS",24.37140738768740,24.88584342753300,25.07875694247510,25.27167045741720,25.40027946737860,25.65749748730140,25.97902001220500,26.17193352714720,26.36484704208920,26.42915154707000,26.49345605205060,26.62206506201200,25.72716070103050
"..Cordillera Administrative Region (CAR)","0 - ALL ITEMS",24.47684114261120,25.01479369519610,25.14928183334230,25.28376997148850,25.48550217870780,25.55274624778090,25.82172252407340,26.22518693851210,26.62865135295070,26.69589542202380,27.09935983646240,27.16660390553550,25.88336292072370
"....Abra","0 - ALL ITEMS",24.70332735918570,25.56257352820080,25.56257352820080,25.70578122303670,25.70578122303670,25.99219661270840,26.13540430754430,26.63663123946980,27.28106586623110,28.64153896717170,28.42672742491800,28.49833127233590,26.57099437933670
"....Benguet","0 - ALL ITEMS",25.22915392136870,25.81739844285140,25.88275894523840,26.07884045239920,26.40564296433410,26.34028246194710,26.47100346672110,26.92852698342990,27.32068999775160,27.18996899297760,27.84357401684730,27.90893451923430,26.61806459709170
"....Ifugao","0 - ALL ITEMS",25.20742203560050,26.15101537383150,25.88141727719400,25.88141727719400,26.28581442215020,26.42061347046890,26.62281204294700,27.56640538117810,27.76860395365610,27.90340300197480,28.03820205029350,28.30780014693100,26.83624386945160
"....Kalinga","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","0 - ALL ITEMS",23.65889136187590,24.26552960192400,24.80476359307780,25.00697633976060,25.68101882870290,25.95063582427980,26.35506131764530,27.02910380658760,27.36612505105870,27.23131655327020,27.29872080216450,27.50093354884720,26.01242305243290
"....Apayao","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
