"Geolocation","Commodity Description","2004 Jan","2004 Feb","2004 Mar","2004 Apr","2004 May","2004 Jun","2004 Jul","2004 Aug","2004 Sep","2004 Oct","2004 Nov","2004 Dec","2004 Ave"
"..Region III (Central Luzon)","0 - ALL ITEMS",57.551083156059300,57.353990405524900,57.485385572547900,57.616780739570800,57.945268657128300,58.799337242777500,59.850498578961300,60.047591329495700,60.310381663541600,60.376079247053100,60.441776830564600,61.033055082168000,59.067602375449400
"..Region III (Central Luzon)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",52.819588317213200,52.223430435529100,52.521509376371100,52.700356740876400,53.117667258055300,53.475361987065800,54.488830385928800,54.846525114939200,55.144604055781300,54.846525114939200,54.429214597760300,55.263835632118100,53.823120751381500
"..Region III (Central Luzon)","01.1 - FOOD",52.601527160198000,51.950664619408100,52.187341906968100,52.364849872638000,52.838204447757900,53.193220379097900,54.199098851227600,54.554114782567600,54.849961392017500,54.494945460677500,54.080760207447700,55.027469357687400,53.528513203141100
"..Region III (Central Luzon)","01.1.1 - Cereals and cereal products (ND)",49.070696543338500,49.179260031266300,49.233541775230200,49.287823519194000,48.962133055410800,49.342105263157900,49.830640958832700,50.210613166579800,50.373458398471400,50.319176654507600,50.102049678652100,50.373458398471400,49.690413120259400
"..Region III (Central Luzon)","01.1.1.1 - Cereals (ND)",47.967791690854200,48.045139001116100,48.097332912666300,48.062637017611100,47.657115611549600,47.891044656462100,48.270619175715900,48.679421459870200,48.784902909001600,48.689264094148700,48.418451902119100,48.580501766924500,48.262018516503300
"..Region III (Central Luzon)","01.1.1.12 - Rice",47.833023794981700,47.884959760014300,47.936895725046900,47.884959760014300,47.469472039753900,47.677215899884100,48.040767655111900,48.456255375372400,48.560127305437500,48.456255375372400,48.196575550209600,48.352383445307300,48.062407640542200
"..Region III (Central Luzon)","01.1.1.16 - Corn",56.208603926446300,57.839808877153300,57.907775750099400,58.927278844291300,59.131179463129700,60.966285032675100,62.325622491597600,62.325622491597600,62.529523110436000,62.937324348112700,61.985788126867000,62.529523110436000,60.467861297736800
"..Region III (Central Luzon)","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",51.654045821242000,51.895419867135700,51.955763378609100,52.257480935976100,52.257480935976100,53.222977119550800,53.947099257231700,54.369503837545600,54.610877883439300,54.791908417859500,54.972938952279700,55.395343532593600,53.444236661619900
"..Region III (Central Luzon)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",58.728124100766500,58.401130091296700,58.531927695084600,59.512909723493900,61.474873780312400,60.363094148115200,61.278677374630500,61.671070185994200,61.409474978418400,61.147879770842600,59.774504931069700,61.344076176524500,60.303145246379100
"..Region III (Central Luzon)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",58.024775819124800,57.264625917564300,57.327971742694300,58.531542420165200,61.255412900757400,59.228346496595800,59.101654846335700,59.355038146855900,59.038309021205600,58.658234070425300,56.631167666263800,58.784925720685400,58.600167064056100
"..Region III (Central Luzon)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
