"Geolocation","Commodity Description","2005 Jan","2005 Feb","2005 Mar","2005 Apr","2005 May","2005 Jun","2005 Jul","2005 Aug","2005 Sep","2005 Oct","2005 Nov","2005 Dec","2005 Ave"
"..Region IV-A (CALABARZON)","0 - ALL ITEMS",62.341556895190000,62.608830451010800,62.742467228921100,62.876104006831500,63.009740784741900,63.277014340562600,63.677924674293800,63.878379841159300,64.078835008024900,64.412926952800800,65.014292453397500,65.147929231307900,63.588833489020200
"..Region IV-A (CALABARZON)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",55.481762721427500,55.775627990079100,55.775627990079100,55.658081882618500,55.599308828888100,55.834401043809400,55.951947151270100,56.245812419921700,56.480904634843000,56.892316010955300,57.421273494528200,57.303727387067600,56.201732629624000
"..Region IV-A (CALABARZON)","01.1 - FOOD",55.116834872060200,55.408150066944200,55.349887027967400,55.291623988990600,55.175097911037000,55.408150066944200,55.524676144897900,55.815991339781900,55.990780456712300,56.456884768526800,56.981252119318100,56.864726041364400,55.782004567045400
"..Region IV-A (CALABARZON)","01.1.1 - Cereals and cereal products (ND)",51.011871261030800,51.229174226999000,51.337825709983100,51.446477192967200,51.609454417443400,51.826757383411500,52.098386090871800,52.315689056839900,52.370014798332000,52.695969247284300,53.076249437728600,53.184900920712700,52.016897478633700
"..Region IV-A (CALABARZON)","01.1.1.1 - Cereals (ND)",48.851793208952500,48.999184823544600,49.051269950906500,49.154634408585400,49.206719535947300,49.411836857215400,49.673874088114500,49.883826191651700,49.832949759857100,50.141431538804100,50.503610039202700,50.601736816090000,49.609405601572700
"..Region IV-A (CALABARZON)","01.1.1.12 - Rice",48.949933283053900,49.105329896650900,49.157128767849900,49.260726510247900,49.312525381446900,49.519720866242900,49.778715222237900,49.985910707033900,49.934111835834900,50.244905063028900,50.607497161421900,50.711094903819900,49.713966633239100
"..Region IV-A (CALABARZON)","01.1.1.16 - Corn",39.165246005948300,38.522534276619900,38.602873242786000,38.683212208952000,38.763551175118100,38.763551175118100,39.325923938280400,39.807957735276700,39.848127218359700,39.928466184525800,40.249822049190000,39.807957735276700,39.289101912121000
"..Region IV-A (CALABARZON)","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",57.178709739234200,57.487783845932700,57.735043131291600,58.044117237990200,58.415006166028400,58.724080272727000,58.909524736746100,59.094969200765300,59.589487771483000,59.960376699521200,60.331265627559500,60.454895270238900,58.827104974959800
"..Region IV-A (CALABARZON)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",64.968299370695300,65.371829180451100,65.640849053621700,65.573594085329100,65.775358990207000,65.909868926792300,66.380653704840800,66.582418609718700,66.784183514596700,66.851438482889300,66.985948419474600,66.716928546304000,66.128447573743400
"..Region IV-A (CALABARZON)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",65.040192963736200,65.509071800756000,65.843985255770100,65.777002564767200,65.977950637775700,66.044933328778500,66.714760238806700,66.915708311815200,66.982691002818000,66.915708311815200,66.982691002818000,66.647777547803900,66.279372747288400
"..Region IV-A (CALABARZON)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region IV-A (CALABARZON)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",68.834843473188800,69.197132123047700,69.269589853019500,69.342047582991300,69.486963042934800,69.486963042934800,69.631878502878400,70.066624882709100,70.356455802596200,71.081033102313900,71.370864022201000,71.298406292229300,69.951900143587100
"..Region IV-A (CALABARZON)","01.1.3 - Fish and other seafood (ND)",52.858097020041900,53.853333156402500,53.632169570544600,53.798042259938000,53.023969709435300,53.079260605899800,52.249897158932600,52.471060744790500,52.858097020041900,53.079260605899800,54.074496742260400,53.853333156402500,53.235918145882500
