"Geolocation","Commodity Description","2007 Jan","2007 Feb","2007 Mar","2007 Apr","2007 May","2007 Jun","2007 Jul","2007 Aug","2007 Sep","2007 Oct","2007 Nov","2007 Dec","2007 Ave"
"..Areas Outside National Capital Region (NCR)","0 - ALL ITEMS",65.461986070358100,65.526290575338800,65.526290575338800,65.654899585300200,65.783508595261700,66.105031120165200,66.362249140088000,66.426553645068700,66.619467160010800,66.812380674952900,67.133903199856500,67.584034734721400,66.249716256371800
"..Areas Outside National Capital Region (NCR)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",59.056389624530600,59.114061880023300,58.998717369037900,59.114061880023300,59.287078646501400,59.460095412979500,59.748456690443000,59.863801201428400,60.325179245370100,60.728885033819000,61.132590822268000,61.651641121702300,59.873413244010500
"..Areas Outside National Capital Region (NCR)","01.1 - FOOD",58.368597694440400,58.425598278126400,58.311597110754400,58.425598278126400,58.596600029184300,58.767601780242200,59.052604698672100,59.166605866044100,59.622610535531900,60.021614621333700,60.420618707135600,60.990624543995300,59.180856011965600
"..Areas Outside National Capital Region (NCR)","01.1.1 - Cereals and cereal products (ND)",57.017543859649100,57.354925775978400,57.411156095366600,57.636077372919500,57.860998650472300,58.029689608637000,58.198380566801600,58.479532163742700,59.210526315789500,59.322986954565900,59.435447593342300,59.604138551507000,58.296783625731000
"..Areas Outside National Capital Region (NCR)","01.1.1.1 - Cereals (ND)",55.642500047801200,55.976681241226400,56.121484595460700,56.308934181245300,56.545294302910100,56.717083127870100,56.915857423555800,57.270759783376800,58.136692567154300,58.245838348815800,58.252102653145600,58.368716637895500,57.041828742538100
"..Areas Outside National Capital Region (NCR)","01.1.1.12 - Rice",55.648394983134200,55.979964367343500,56.090487495413300,56.256272187518000,56.477318443657500,56.643103135762200,56.864149391901800,57.250980340146000,58.190426928739100,58.356211620843800,58.356211620843800,58.466734748913600,57.048354605351400
"..Areas Outside National Capital Region (NCR)","01.1.1.16 - Corn",55.547190914566000,55.923599759098300,56.622644756087100,57.160371676847600,57.644325905532100,57.913189365912400,57.751871289684300,57.590553213456100,57.267917060999700,56.461326679858900,56.568872064011000,56.783962832315200,56.936318793197400
"..Areas Outside National Capital Region (NCR)","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",62.273940166329400,62.575654992716600,62.515312027439200,62.575654992716600,62.756683888549000,62.877369819103900,63.179084645491100,63.239427610768600,63.299770576046000,63.541142437155800,64.084229124652900,64.506629881595000,63.118741680213700
"..Areas Outside National Capital Region (NCR)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",66.526453378430700,66.396264624265500,66.266075870100300,66.396264624265500,66.526453378430700,66.591547755513300,66.917019640926400,67.112302772174200,67.112302772174200,67.177397149256900,67.567963411752500,67.893435297165600,66.873623389538000
"..Areas Outside National Capital Region (NCR)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",65.286981916208000,65.031705349575700,64.904067066259600,65.031705349575700,65.223162774549900,65.223162774549900,65.542258482840300,65.797535049472600,65.797535049472600,65.861354191130700,66.308088182737200,66.691003032685600,65.558213268254800
"..Areas Outside National Capital Region (NCR)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Areas Outside National Capital Region (NCR)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",69.861911967175100,69.657438078490700,69.793754004280300,69.725596041385500,70.339017707438800,70.407175670333600,70.952439373492000,70.679807521912800,70.816123447702400,70.611649559018000,71.156913262176400,71.429545113755600,70.452614312263400
"..Areas Outside National Capital Region (NCR)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",71.920001080221400,71.991068274964700,71.920001080221400,72.062135469708000,72.133202664451300,72.275337053937900,72.346404248681200,72.417471443424500,72.488538638167800,72.630673027654400,72.701740222397700,72.843874611884300,72.310870651309500
"..Areas Outside National Capital Region (NCR)","01.1.3 - Fish and other seafood (ND)",54.070153013822200,54.227181531771300,54.122495853138600,54.384210049720500,54.227181531771300,54.279524371087700,54.488895728353200,54.488895728353200,54.698267085618800,55.274038318099000,55.797466711262800,56.425580783059400,54.706990892171500
"..Areas Outside National Capital Region (NCR)","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",53.474131505465500,53.985356472056900,53.014029035533200,53.423009008806400,52.911784042214900,52.707294055578300,52.911784042214900,53.014029035533200,53.474131505465500,54.649948928625800,55.263418888535600,56.643726298332500,53.789386901530200
"..Areas Outside National Capital Region (NCR)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",49.957301660469300,50.250593059650100,50.739412058284800,51.081585357329100,50.983821557602200,51.130467257192600,51.374876756510000,51.228231056919500,51.472640556236900,51.619286255827300,51.814813855281200,52.401396653642900,51.171202173745500
"..Areas Outside National Capital Region (NCR)","01.1.3.3 - Fish preparations (ND)",65.243463660350200,65.307427840409400,65.371392020468500,65.563284560646000,65.627248740705200,65.755177100823500,66.011033821060200,66.138962181178500,66.394818901415200,66.522747261533500,66.714639801711000,66.970496521947700,65.968391034354100
"..Areas Outside National Capital Region (NCR)","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",49.623547982800400,49.623547982800400,49.719624551983000,49.911777690348100,49.863739405756800,49.959815974939400,50.151969113304500,50.055892544122000,50.151969113304500,50.632351959217400,51.208811374312900,51.641155935634500,50.212016969043700
"..Areas Outside National Capital Region (NCR)","01.1.3.6 - Other seafood preparations (ND)",62.884223843128000,63.007768487220600,63.007768487220600,63.069540809266800,63.069540809266800,63.069540809266800,63.254857775405700,63.378402419498300,63.625491707683500,63.749036351776100,63.934353317915000,64.243214928146400,63.357811645482900
"..Areas Outside National Capital Region (NCR)","01.1.4 - Milk, other dairy products and eggs (ND)",67.194951979232600,67.457432260401400,67.916772752447000,68.048012893031400,68.244873103908100,68.769833666245800,69.294794228583600,69.622894580044700,70.016615001798000,70.804055845304600,71.263396337350100,71.788356899687900,69.201832462336200
"..Areas Outside National Capital Region (NCR)","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Areas Outside National Capital Region (NCR)","01.1.4.3 - Other milk and cream (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Areas Outside National Capital Region (NCR)","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Areas Outside National Capital Region (NCR)","01.1.4.5 - Cheese (ND)",65.566576863417400,65.630357580210600,65.566576863417400,65.757919013797100,65.757919013797100,65.757919013797100,65.757919013797100,65.821699730590300,66.013041880969900,66.204384031349500,66.523287615315500,67.033533349661200,65.949261164176700
"..Areas Outside National Capital Region (NCR)","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Areas Outside National Capital Region (NCR)","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Areas Outside National Capital Region (NCR)","01.1.4.8 - Eggs (ND)",64.134846475263500,64.508810594652800,64.820447360810600,64.820447360810600,65.069756773736800,65.319066186663000,65.568375599589100,65.693030306052200,66.129321778673100,66.627940604525500,67.126559430377900,67.438196196535600,65.604733222307600
"..Areas Outside National Capital Region (NCR)","01.1.5 - Oils and fats (ND)",53.084775306997500,53.341720008386700,53.393108948664500,53.444497888942300,53.958387291720600,54.215331993109800,54.575054575054600,54.883388216721500,54.883388216721500,55.345888679222000,55.654222320889000,56.270889604222900,54.420887754221100
"..Areas Outside National Capital Region (NCR)","01.1.5.1 - Vegetable oils (ND)",52.512072952168800,52.765999803968500,52.867570544688300,52.918355915048300,53.426209618647600,53.730921840807200,54.137204803686600,54.441917025846200,54.441917025846200,54.898985359085600,55.203697581245200,55.813122025564300,53.929831208050200
"..Areas Outside National Capital Region (NCR)","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Areas Outside National Capital Region (NCR)","01.1.5.3 - Margarine and similar preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Areas Outside National Capital Region (NCR)","01.1.5.9 - Other animal oils and fats (ND)",63.888398630579500,63.888398630579500,63.888398630579500,63.888398630579500,63.888398630579500,63.888398630579500,63.888398630579500,63.888398630579500,63.888398630579500,63.888398630579500,63.888398630579500,63.888398630579500,63.888398630579500
"..Areas Outside National Capital Region (NCR)","01.1.6 - Fruits and nuts (ND)",52.285696256163900,51.885039579871400,51.985203748944500,52.235614171627300,52.335778340700400,52.235614171627300,52.686352932456300,53.036927524212200,53.988487130406700,55.290621328357200,55.290621328357200,55.591113835576500,53.237255862358400
"..Areas Outside National Capital Region (NCR)","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",51.499359332229900,51.056671429660600,51.105858974390500,51.400984242770100,51.499359332229900,51.302609153310200,51.745297055879500,52.138797413718900,53.220923397777200,54.696549739674900,54.598174650215100,54.893299918594600,52.429823720037600
"..Areas Outside National Capital Region (NCR)","01.1.6.2 - Citrus fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Areas Outside National Capital Region (NCR)","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Areas Outside National Capital Region (NCR)","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Areas Outside National Capital Region (NCR)","01.1.6.7 - Fruit, dried and dehydrated (ND)",71.340453279757500,71.340453279757500,71.058475203552900,71.058475203552900,71.128969722604100,71.481442317859800,71.481442317859800,71.481442317859800,72.115892989320100,72.609354622678100,72.679849141729200,72.750343660780400,71.710549504776000
