"Geolocation","Commodity Description","2008 Jan","2008 Feb","2008 Mar","2008 Apr","2008 May","2008 Jun","2008 Jul","2008 Aug","2008 Sep","2008 Oct","2008 Nov","2008 Dec","2008 Ave"
"..Region VI (Western Visayas)","0 - ALL ITEMS",67.518755919059200,68.156929415458600,68.667468212578200,69.816180506097100,70.581988701776400,71.283979547815800,72.879413288814400,73.645221484493700,73.836673533413500,73.772856183773500,73.709038834133600,73.645221484493700,71.459477259325600
"..Region VI (Western Visayas)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",61.957230631929400,62.700946235082800,63.101408482934600,65.160928614743900,66.476733143399800,66.991613176352100,69.794848911314800,70.309728944267100,70.595773407018400,70.252520051716800,70.080893374066100,70.252520051716800,67.306262085378500
"..Region VI (Western Visayas)","01.1 - FOOD",61.115191715821700,61.847447469098800,62.241739028555700,64.382178922750400,65.790363063667900,66.297309354398300,69.282659733143400,69.733278658237100,70.071242852057300,69.676951292600400,69.507969195690300,69.676951292600400,66.635273548218500
"..Region VI (Western Visayas)","01.1.1 - Cereals and cereal products (ND)",61.787447669366900,62.782131959498800,63.367240365458700,68.106618453734000,70.681095439957600,71.149182164725600,75.713027731212900,76.356646977768800,76.239625296576800,74.893875962869000,74.250256716313100,74.250256716313100,70.798117121149600
"..Region VI (Western Visayas)","01.1.1.1 - Cereals (ND)",60.903586493774400,61.759299881701600,62.328535182612300,68.111175550806900,71.132711722484400,71.490872802977100,76.844909388243600,77.490788846793600,77.190667558328600,75.475519909351900,74.612364775180100,74.613605066220900,70.996169764873000
"..Region VI (Western Visayas)","01.1.1.12 - Rice",61.110308475982300,61.984145108146000,62.566702862921800,68.450536186157500,71.538092286469300,71.887626939334800,77.363669834227400,78.004483364480700,77.713204487092900,75.965531222765400,75.091694590601700,75.091694590601700,71.397307495731800
"..Region VI (Western Visayas)","01.1.1.16 - Corn",52.840748403614000,52.989595582215700,53.039211308416300,54.874993177837700,55.321534713642900,56.016154880450900,56.611543594857800,57.455010940267600,56.810006499660100,56.363464963855000,55.916923428049800,55.966539154250300,55.350477220593200
"..Region VI (Western Visayas)","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",65.698705735497000,67.462837648765000,68.192823268048300,68.679480347570500,69.226969562032900,69.956955181316300,71.234430015062000,72.207744174106400,72.572736983748100,72.998561928330000,73.363554737971700,73.363554737971700,70.413196193368300
"..Region VI (Western Visayas)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",66.483884254968600,67.127484296159000,68.157244362063600,69.058284419730200,69.701884460920600,70.216764493872900,70.989084543301400,71.954484605087000,72.211924621563200,72.726804654515500,73.048604675110700,73.048604675110700,70.393754505200300
"..Region VI (Western Visayas)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",64.476703581762000,64.913199640826100,66.035618078419600,67.095679936146900,67.719245734809900,68.218098373740400,69.091090491868700,70.088795769729600,70.338222089194900,70.774718148259000,71.086501047590500,71.148857627456800,68.415560876650400
"..Region VI (Western Visayas)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",68.458586207354500,69.056187832830900,70.052190541958300,71.048193251085600,70.915392889868700,71.645794876562100,72.243396502038500,73.106598849948900,73.504999933599800,74.102601559076200,74.899403726378100,74.700203184552700,71.977795779604500
"..Region VI (Western Visayas)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",71.313040177368000,73.101023826945200,74.338858661267800,74.957776078429200,75.851767903217800,76.883296931820000,77.295908543261000,78.740049183304100,78.877586387117700,79.290197998558600,79.221429396651800,79.290197998558600,76.596761090541600
"..Region VI (Western Visayas)","01.1.3 - Fish and other seafood (ND)",56.324641150430800,56.177962397434900,56.129069479769600,57.302499503736900,57.693642845059300,57.155820750741000,58.867072869026600,59.453787881010300,60.627217904977600,60.773896657973500,60.969468328634700,61.311718752291900,58.565566543423900
"..Region VI (Western Visayas)","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",59.776666089614700,57.902480189115200,56.570821786128700,56.669463149312900,57.409273373194300,57.705197462746900,59.036855865733300,60.861721084640700,61.650851990114200,62.686586303548100,62.489303577179700,63.327755164245300,59.673914669631200
"..Region VI (Western Visayas)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",54.242872332330400,55.631078543679100,57.070699799892600,56.710794485839300,56.967869710163100,57.070699799892600,57.430605113946000,57.739095383134600,57.687680338269900,57.739095383134600,58.201830786917500,58.201830786917500,57.057846038676400
