"Geolocation","Commodity Description","2009 Jan","2009 Feb","2009 Mar","2009 Apr","2009 May","2009 Jun","2009 Jul","2009 Aug","2009 Sep","2009 Oct","2009 Nov","2009 Dec","2009 Ave"
"....Aurora","0 - ALL ITEMS",73.992265204735500,74.570832004772500,74.570832004772500,74.763687604784900,75.213684004813700,75.406539604826000,75.985106404863000,75.985106404863000,76.113676804871300,75.985106404863000,76.242247204879500,77.206525204941200,75.502967404832200
"....Aurora","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",70.571091119559500,71.276214427998100,71.511255530810900,71.922577460733500,72.098858287843100,72.275139114952700,73.215303526204100,73.215303526204100,73.450344629017000,73.097782974797700,73.802906283236300,74.919351521597300,72.613010700246200
"....Aurora","01.1 - FOOD",70.030585858373600,70.730891716957400,70.964327003152000,71.431197575541100,71.606274040187000,71.722991683284300,72.715091649611300,72.715091649611300,73.006885757354500,72.656732828062600,73.415397508195000,74.582573939167900,72.131503434124900
"....Aurora","01.1.1 - Cereals and cereal products (ND)",66.685020669678300,69.630945277575700,69.684507543173900,72.416183088678800,71.773435901501100,68.184764106426100,67.381330122454000,67.381330122454000,67.006394263267100,68.291888637622400,68.345450903220500,70.220130199155200,68.916781736267300
"....Aurora","01.1.1.1 - Cereals (ND)",63.293951504974100,66.761107185571200,66.867492469400400,70.144773172913100,69.324499014094400,64.997104528813600,64.080849888473900,64.068333972729300,63.640631469018600,65.190083357355200,65.190083357355200,67.373088533841300,65.910999871211700
"....Aurora","01.1.1.12 - Rice",63.426834888043400,67.070285759444000,67.070285759444000,70.405839374106500,69.584780022804900,65.222902219015500,64.247894239345000,64.247894239345000,63.786048354237800,65.376850847384600,65.376850847384600,67.634764063463800,66.120935884501600
"....Aurora","01.1.1.16 - Corn",55.820562265299900,49.372839565136900,55.462355448624200,55.462355448624200,54.686240679160100,52.298195234655300,54.686240679160100,53.969827045808700,55.462355448624200,54.686240679160100,54.686240679160100,52.656402051331000,54.104154602062100
"....Aurora","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",80.052299190842700,80.360667061377500,80.422340635484500,80.422340635484500,80.422340635484500,80.484014209591500,80.298993487270600,80.484014209591500,80.298993487270600,80.298993487270600,80.484014209591500,80.977402802447200,80.417201170975600
"....Aurora","01.1.2 - Meat and other parts of slaughtered land animals (ND)",78.212035820827500,78.283267183141500,78.425729907769600,78.069573096199400,78.710655357025800,82.129760748100300,82.842074371240800,82.842074371240800,82.842074371240800,82.842074371240800,81.773603936530000,87.400881559340000,81.197817091158100
"....Aurora","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",75.326861107120100,75.395277874701500,75.395277874701500,74.984777269213100,75.053194036794600,79.568700697166900,80.526535443306400,80.526535443306400,80.526535443306400,80.321285140562300,78.268782113120300,85.452542709167200,78.445525429372200
