"Geolocation","Commodity Description","2009 Jan","2009 Feb","2009 Mar","2009 Apr","2009 May","2009 Jun","2009 Jul","2009 Aug","2009 Sep","2009 Oct","2009 Nov","2009 Dec","2009 Ave"
"....Bohol","0 - ALL ITEMS",69.495371454680200,70.583236385370400,70.711220494863400,70.583236385370400,70.647228440116900,71.031180768595800,71.415133097074700,71.607109261314100,72.119045699286000,71.863077480300000,72.119045699286000,71.991061589793000,71.180495563004200
"....Bohol","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",65.534075933815900,67.736401828049500,67.855446470981100,67.200700934857600,67.319745577789100,67.438790220720700,67.557834863652200,67.855446470981100,68.688758971501900,68.272102721241500,68.688758971501900,68.331625042707300,67.706640667316600
"....Bohol","01.1 - FOOD",65.154052085402700,67.518990455108700,67.637237373594000,66.927755862682200,67.105126240410200,67.164249699652800,67.282496618138100,67.637237373594000,68.464965802991200,68.051101588292600,68.524089262233800,68.110225047535300,67.464793950803000
"....Bohol","01.1.1 - Cereals and cereal products (ND)",67.354629701050100,74.241606153100200,74.930303798305200,74.517085211182300,74.861434033784700,74.930303798305200,74.517085211182300,74.585954975702700,74.379345682141200,74.172736388579700,73.897257330497700,73.828387565977200,73.851344154150700
"....Bohol","01.1.1.1 - Cereals (ND)",65.226379083324100,73.832611408291500,74.593910953474800,73.996070653529800,74.555207837836500,74.483378551097000,73.996968881410600,74.213167392256700,73.967529410458800,73.706863262184200,73.256368235867400,73.154388827548400,73.248570374773300
"....Bohol","01.1.1.12 - Rice",65.230733177722700,73.947216691065700,74.661682552815100,74.018663277240600,74.590235966640200,74.590235966640200,74.090109863415600,74.447342794290300,74.304449621940400,74.018663277240600,73.518537174016000,73.375644001666100,73.399459530391100
"....Bohol","01.1.1.16 - Corn",65.106277217665700,70.671378091872800,72.724522103716200,73.372883370614100,73.589003792913400,71.535859781070000,71.427799569920300,67.753752390832200,64.674036373067100,65.106277217665700,66.024789012437700,67.051361018359400,69.086494995011200
"....Bohol","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",74.358881352243500,74.921732430603600,74.984271439310300,75.109349456723600,74.859193421896900,75.922356569910500,75.734739543790400,75.734739543790400,76.047434587323800,75.984895578617200,76.109973596030500,76.172512604737200,75.495006677081500
"....Bohol","01.1.2 - Meat and other parts of slaughtered land animals (ND)",70.978016549258000,72.951455378245700,74.267081264237600,73.872393498440000,73.872393498440000,73.872393498440000,73.675049615541200,74.069737381338800,74.069737381338800,73.543487026942100,74.201299969937900,75.188019384431800,73.713422037216000
"....Bohol","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",69.220788629612800,70.406301660376900,71.986985701395600,71.525952856098500,71.394229186013600,71.394229186013600,71.262505515928700,71.789400196268300,72.184571206523000,72.118709371480500,72.843189556947400,74.028702587711500,71.679630471197500
"....Bohol","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bohol","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",78.812724918094000,80.162514688337300,81.962234381995000,81.437316138011500,81.287339496873400,81.287339496873400,81.137362855735200,81.737269420287800,82.187199343702200,82.112211023133100,82.937082549392900,84.286872319636200,81.612288886006000
"....Bohol","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",75.738498050258300,80.889479025968600,80.889479025968600,79.935593660096300,80.889479025968600,80.889479025968600,78.472969432425500,78.472969432425500,76.056459838882400,75.102574473010100,75.356943903909400,76.120052196607200,78.234498090957400
"....Bohol","01.1.3 - Fish and other seafood (ND)",59.716453482482300,58.116905621344400,55.790290550598300,56.953598085971300,57.777607590193900,58.019963326730000,58.407732505187600,59.086328567488600,61.558357080156300,59.280213156717400,60.201164955554400,57.680665295579500,58.549106684833700
"....Bohol","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",63.507058767739900,62.484251086268200,58.439511618630300,58.346529102132900,59.508810558350700,58.811441684620000,60.252670690330100,61.554425921294000,66.389516779160000,59.834249366091700,61.879864729035000,64.343901416216700,61.279352643322500
"....Bohol","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",59.632015299421000,58.668796256405400,53.590004938686700,55.034833503210200,56.304531332639800,54.859702768116400,56.567227435280400,58.625013572632000,60.989278496397600,57.836925264710100,59.850928718288200,39.185501977226000,55.928729963584500
"....Bohol","01.1.3.3 - Fish preparations (ND)",59.011891963965800,61.043192746485300,60.782769569239200,61.564039100977500,60.574431027442300,60.574431027442300,61.199446652833000,61.095277381934500,61.407785194629900,59.636907589356400,60.678600298340800,56.563914097852400,60.344390554208300
"....Bohol","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",64.144736842105300,61.622807017543900,60.416666666666700,62.280701754386000,63.103070175438600,64.199561403508800,63.870614035087700,64.144736842105300,66.173245614035100,65.460526315789500,65.734649122807000,65.679824561403500,63.902595029239800
"....Bohol","01.1.3.6 - Other seafood preparations (ND)",47.111341241448600,46.993660955250100,42.835624176238000,42.600263603841100,42.757170652105700,43.149438272767200,43.149438272767200,43.306345321031800,43.933973514090300,43.502479131362600,43.777066465825600,44.169334086487200,43.940511307767900
"....Bohol","01.1.4 - Milk, other dairy products and eggs (ND)",72.494871182420700,72.614598467610500,73.332962178749200,73.332962178749200,73.273098536154400,73.512553106533900,73.692144034318600,73.452689463939000,73.213234893559400,74.111189532482900,74.889416886216600,74.709825958431900,73.552462201597200
"....Bohol","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bohol","01.1.4.3 - Other milk and cream (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bohol","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bohol","01.1.4.5 - Cheese (ND)",77.178975382568200,77.238116359872800,77.238116359872800,77.238116359872800,77.238116359872800,77.238116359872800,76.942411473349600,76.351001700303100,76.942411473349600,80.490870111628600,80.490870111628600,80.490870111628600,77.923166013651700
"....Bohol","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bohol","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bohol","01.1.4.8 - Eggs (ND)",82.386888829945400,82.386888829945400,82.252926409083700,81.181227042190100,81.181227042190100,81.382170673482700,81.717076725636900,80.176508885727400,78.702922256248700,81.382170673482700,84.798212405456000,84.396325142870900,81.828712076355000
"....Bohol","01.1.5 - Oils and fats (ND)",64.208402128049900,67.877453678224200,67.877453678224200,67.003869975801700,67.003869975801700,67.964812048466400,67.964812048466400,66.829153235317200,66.523398939469400,66.523398939469400,66.785474050196100,67.571699382376300,67.011149839988600
"....Bohol","01.1.5.1 - Vegetable oils (ND)",64.785168069538400,68.570171095340300,68.570171095340300,67.645926170435100,67.645926170435100,68.658194421521700,68.658194421521700,67.469879518072300,67.161797876437200,67.161797876437200,67.425867854981600,68.262089453705200,67.667932001980500
"....Bohol","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bohol","01.1.5.3 - Margarine and similar preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bohol","01.1.5.9 - Other animal oils and fats (ND)",60.016716612643500,63.523128045175600,63.523128045175600,62.666911300022400,62.666911300022400,63.604672497095000,63.604672497095000,62.503822396183700,62.218416814466000,62.218416814466000,62.463050170224000,63.237722463457900,62.687297413002300
"....Bohol","01.1.6 - Fruits and nuts (ND)",72.986631984654400,70.432990670301200,71.442569794580300,67.998123370569000,66.632222202426500,67.938736363258400,67.879349355947900,70.136055633748400,71.917665853064700,69.839120597195700,70.611151692232800,69.364024538711400,69.764886838057600
"....Bohol","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",73.870661145408000,70.939760419800700,72.076232129730000,68.307931196806400,66.812573683741500,68.188302595761200,68.188302595761200,70.760317518232900,72.734189435478600,70.401431715097300,71.358460523458900,69.982731611439100,70.301741214226300
"....Bohol","01.1.6.2 - Citrus fruits, fresh (ND)",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"....Bohol","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"....Bohol","01.1.6.5 - Other fruits, fresh (ND)",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"....Bohol","01.1.6.7 - Fruit, dried and dehydrated (ND)",53.175984089401100,51.066167716623200,51.884259779537100,49.171638728822700,48.095201803936100,49.085523774831800,49.085523774831800,50.936995285636800,52.357892026487200,50.678650423664100,51.367570055591500,50.377248084695800,50.606887962004900
"....Bohol","01.1.6.8 - Nuts, in shell or shelled (ND)",61.552298524891400,64.128157573884200,63.967166383322200,62.732900589013100,62.410918207889000,63.913502653134800,62.786564319200500,61.337643604142000,61.176652413579900,61.874280906015500,60.908333762643200,60.801006302268500,62.299118769998700
"....Bohol","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
