"Geolocation","Commodity Description","2009 Jan","2009 Feb","2009 Mar","2009 Apr","2009 May","2009 Jun","2009 Jul","2009 Aug","2009 Sep","2009 Oct","2009 Nov","2009 Dec","2009 Ave"
"....City of Baguio","0 - ALL ITEMS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1 - FOOD",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.1 - Cereals and cereal products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.1.1 - Cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.1.12 - Rice",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.1.16 - Corn",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.2 - Meat and other parts of slaughtered land animals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.3 - Fish and other seafood (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.3.3 - Fish preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.4 - Milk, other dairy products and eggs (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.4.3 - Other milk and cream (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.4.5 - Cheese (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.4.8 - Eggs (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.5 - Oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.5.1 - Vegetable oils (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.5.3 - Margarine and similar preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.6 - Fruits and nuts (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.6.2 - Citrus fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.6.8 - Nuts, in shell or shelled (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.7.4 - Other vegetables, fresh or chilled (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.8 - Sugar, confectionery and desserts (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.8.1 - Cane and beet sugar (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.8.6 - Ice, ice cream and sorbet (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.9 - Ready-made food and other food products n.e.c. (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.9.2 - Baby food (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.9.3 - Salt, condiments and sauces (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.9.4 - Spices, culinary herbs and seeds (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.9.9 - Other food products n.e.c. (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.2 - NON-ALCOHOLIC BEVERAGES",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.2.1 - Fruit and vegetable juices (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.2.1.0 - Fruit and vegetable juices (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.2.2 - Coffee and coffee substitutes (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.2.2.0 - Coffee and coffee substitutes (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.2.3 - Tea, maté and other plant products for infusion (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.2.4 - Cocoa drinks (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.2.4.0 - Cocoa drinks (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.2.5 - Water (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.2.5.0 - Water (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.2.6 - Soft drinks (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.2.6.0 - Soft drinks (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.2.9 - Other non-alcoholic beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.2.9.0 - Other non-alcoholic beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02 - ALCOHOLIC BEVERAGES AND TOBACCO",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.1 - ALCOHOLIC BEVERAGES",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.1.1 - Spirits and liquors (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.1.1.0 - Spirits and liquors (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.1.2 - Wine (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.1.2.1 - Wine from grapes (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.1.2.2 - Wine from other sources (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.1.3 - Beer (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.1.3.0 - Beer (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.3 - TOBACCO",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.3.0 - Tobacco (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.3.0.1 - Cigarettes (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.3.0.2 - Cigars (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.3.0.9 - Other tobacco products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.4.0 - Other vegetable-based tobacco products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.4.0.0 - Other vegetable-based tobacco products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","02.900 - NON-FOOD",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03 - CLOTHING AND FOOTWEAR",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.1 - CLOTHING",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.1.1 - Clothing materials (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.1.1.0 - Clothing materials (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.1.2 - Garments (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.1.2.1 - Garments for men or boys (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.1.2.2 - Garments for women or girls (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.1.2.4 - School uniforms (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.1.3 - Other articles of clothing and clothing accessories (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.1.3.1 - Other articles of clothing (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.1.3.2 - Clothing accessories (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.1.4.1 - Cleaning of clothing (S)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.1.4.2 - Repair, tailoring and hire of clothing (S)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.2 - FOOTWEAR",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.2.1 - Shoes and other footwear (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.2.1.1 - Footwear for men (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.2.1.2 - Footwear for women (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.2.1.3 - Footwear for infants and children (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.2.2 - Cleaning, repair, and hire of footwear (S)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","04.1 - ACTUAL RENTALS FOR HOUSING",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","04.1.1 - Actual rentals paid by tenants for main residence (S)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",..,..,..,..,..,..,..,..,..,..,..,..,..
