"Geolocation","Commodity Description","2009 Jan","2009 Feb","2009 Mar","2009 Apr","2009 May","2009 Jun","2009 Jul","2009 Aug","2009 Sep","2009 Oct","2009 Nov","2009 Dec","2009 Ave"
"..Region VII (Central Visayas)","0 - ALL ITEMS",71.132557914023400,71.642926042554500,71.579130026488100,71.706722058620900,71.770518074687300,72.089498155019200,72.025702138952800,72.217090187152000,72.472274251417500,72.599866283550300,73.046438396015000,73.237826444214200,72.126712497724600
"..Region VII (Central Visayas)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",66.933704864739300,68.094740508533600,67.862533379774800,67.688378033205600,67.804481597585000,67.920585161964500,67.514222686636500,67.572274468826200,67.978636944154200,68.326947637292500,69.139672587948400,69.313827934517600,68.012500483764900
"..Region VII (Central Visayas)","01.1 - FOOD",66.489361702127700,67.693048422597200,67.406456346294900,67.234501100513600,67.291819515774000,67.463774761555400,67.005227439471800,67.119864269992700,67.521093176815800,67.922322083639000,68.724779897285400,68.954053558327200,67.568858522866200
"..Region VII (Central Visayas)","01.1.1 - Cereals and cereal products (ND)",73.090993807106300,75.715101290548900,75.971111776738400,75.139077696622500,75.203080318169800,74.947069831980300,74.307043616506500,73.987030508769600,73.987030508769600,73.923027887222300,74.819064588885600,74.883067210432900,74.664391586812700
"..Region VII (Central Visayas)","01.1.1.1 - Cereals (ND)",72.158811330513300,75.687114072720700,75.908013686571200,74.697456339957700,74.721245623572800,74.483495011410300,73.883667409553700,73.602586535736200,73.645916797391200,73.619295310059200,74.768397518836200,74.822914371369600,74.333242833974400
"..Region VII (Central Visayas)","01.1.1.12 - Rice",70.471255324344100,74.540817710735500,74.676469790281900,73.184296915271700,73.116470875498500,73.252122955044900,73.048644835725300,73.116470875498500,73.184296915271700,73.387775034591300,74.608643750508700,74.676469790281900,73.438644564421200
"..Region VII (Central Visayas)","01.1.1.16 - Corn",79.071347781669600,80.382552539404600,80.952641564506700,80.895632661996500,81.294694979568000,79.527419001751300,77.304071803852900,75.593804728546400,75.536795826036200,74.567644483362500,75.422778021015800,75.422778021015800,77.997680117727200
"..Region VII (Central Visayas)","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",74.401632754035500,74.587172985342300,74.834559960418100,74.958253447956000,74.834559960418100,75.391180654338600,75.329333910569600,75.391180654338600,75.514874141876400,75.576720885645400,75.700414373183300,75.700414373183300,75.185024841775400
"..Region VII (Central Visayas)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",67.725807754146100,68.949399583489300,68.459962851752100,69.132938357890800,70.172991412832500,70.172991412832500,70.295350595766900,70.417709778701200,70.356530187234000,70.478889370168300,70.662428144569800,70.968326101905600,69.816110462607400
"..Region VII (Central Visayas)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",65.847181668529100,67.168931665525200,66.147579395119100,67.048772574889100,68.250363481249200,68.070124845295200,68.130204390613200,68.190283935931200,68.070124845295200,68.310443026567200,68.430602117203200,68.730999843793200,67.699634315834200
"..Region VII (Central Visayas)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",75.819844454029300,74.124409649601100,78.939444494177200,74.395679218309600,74.599131394841000,74.666948787018100,75.616392277497900,75.616392277497900,75.616392277497900,75.955479238383600,75.616392277497900,75.616392277497900,75.548574885320800
"..Region VII (Central Visayas)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",67.283141260092500,69.008350010351300,69.365289751784100,69.484269665595100,69.722229493217000,69.841209407027900,69.484269665595100,69.543759622500500,69.008350010351300,69.484269665595100,70.079169234649800,70.495598932988100,69.399992226645600
"..Region VII (Central Visayas)","01.1.3 - Fish and other seafood (ND)",57.234110028354300,57.421762848119400,56.577325159176500,57.468676053060700,57.609415667884500,58.313113742003600,56.811891183882900,57.374849643178200,57.937808102473400,58.547679766710000,59.439030660594200,60.142728734713300,57.906532632512600
"..Region VII (Central Visayas)","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",56.453609032577400,56.453609032577400,55.120808819329400,56.548809047809400,55.644408903105400,55.644408903105400,55.882408941185400,56.644009063041400,57.167609146817500,55.739608918337400,56.168008986881400,57.929209268673500,56.283042338620100
"..Region VII (Central Visayas)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",47.310636339413300,49.240910302061400,46.969999757769500,49.165213283918300,52.268791027783800,54.956035171862500,46.742908703340400,48.748879684131500,50.149274519778100,51.436123828210200,53.971973936002700,55.410217280720900,50.530913652916000
"..Region VII (Central Visayas)","01.1.3.3 - Fish preparations (ND)",69.071418223960600,69.592930609879700,69.766768071852800,70.056497175141200,69.824713892510500,70.462117919745000,70.693901202375800,70.635955381718100,71.099521946979600,70.751847023033500,71.447196870925700,70.520063740402700,70.326911004877100
"..Region VII (Central Visayas)","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",57.259440858780400,56.888829591086100,56.703523957238900,57.027808816471400,56.657197548777100,56.888829591086100,56.657197548777100,56.749850365700700,57.027808816471400,58.185969028016400,58.741885929557900,59.019844380328700,57.317348869357700
"..Region VII (Central Visayas)","01.1.3.6 - Other seafood preparations (ND)",54.511840902287300,54.511840902287300,53.601624634902200,53.551057064491900,53.601624634902200,55.674895021723800,56.686246429929500,56.686246429929500,56.837949141160400,56.736814000339800,56.787381570750100,56.888516711570700,55.506336453689500
"..Region VII (Central Visayas)","01.1.4 - Milk, other dairy products and eggs (ND)",73.002657397771000,72.813204134628000,73.128959573199700,73.128959573199700,73.192110660914000,73.444715011771400,73.634168274914400,73.634168274914400,73.634168274914400,73.823621538057400,74.076225888914700,74.391981327486400,73.492078327557100
"..Region VII (Central Visayas)","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.4.3 - Other milk and cream (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.4.5 - Cheese (ND)",67.120913274759400,67.120913274759400,67.180682565298000,67.240451855836500,67.300221146375000,67.300221146375000,67.300221146375000,67.300221146375000,67.359990436913500,67.897914051760200,67.957683342298700,67.957683342298700,67.419759727452100
"..Region VII (Central Visayas)","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.4.8 - Eggs (ND)",67.080159104699000,65.450909009191200,65.394727971415100,65.226184858086700,65.282365895862800,65.282365895862800,65.282365895862800,65.113822782534400,64.889098631429900,65.282365895862800,66.068900424728600,67.192521180251200,65.628815628815600
"..Region VII (Central Visayas)","01.1.5 - Oils and fats (ND)",68.905333456421100,71.047468175273500,71.047468175273500,69.109346286788000,69.109346286788000,69.721384777888700,70.537436099356300,69.925397608255600,69.976400815847300,69.976400815847300,70.078407231030800,70.384426476581100,69.984901350445900
"..Region VII (Central Visayas)","01.1.5.1 - Vegetable oils (ND)",68.469702156795600,70.698006073141000,70.698006073141000,68.672275240099800,68.621631969273700,69.330637760838200,70.090286823228700,69.482567573316300,69.482567573316300,69.482567573316300,69.583854114968300,69.938357010750600,69.545871661848800
"..Region VII (Central Visayas)","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.5.3 - Margarine and similar preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.5.9 - Other animal oils and fats (ND)",67.067783603216700,69.250462951250400,69.250462951250400,67.266208998492500,67.216602649673500,67.911091533138800,68.655186765423000,68.059910579595600,68.059910579595600,68.059910579595600,68.159123277233500,68.506367718966100,68.121918515619300
"..Region VII (Central Visayas)","01.1.6 - Fruits and nuts (ND)",56.663754375701000,56.179448782746300,56.905907172178400,55.646712630496200,55.065545918950500,54.774962563177700,54.581240325995800,55.017115359655000,56.954337731473900,58.988421221883700,59.860171289202100,59.182143459065500,56.651646735877200
"..Region VII (Central Visayas)","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",56.998236796967800,56.566431972748300,57.286106679780700,55.846757265715900,55.079104244881300,54.503364479255400,54.359429537848900,54.791234362068300,56.998236796967800,58.869391035252100,60.020870566503900,59.205239231867200,56.710366914154800
"..Region VII (Central Visayas)","01.1.6.2 - Citrus fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.6.7 - Fruit, dried and dehydrated (ND)",55.801238618402700,55.378501962202600,56.083063055869300,54.673940868535900,53.922409035291400,53.358760160358100,53.217847941624700,53.640584597824800,55.801238618402700,57.633097461936100,58.760395211802800,57.961892638980500,55.519414180936000
"..Region VII (Central Visayas)","01.1.6.8 - Nuts, in shell or shelled (ND)",48.974087666854100,48.141666913309900,49.205315653949700,48.974087666854100,49.205315653949700,50.685174771361800,50.361455589427900,50.592683576523500,51.193876342972200,54.569804954568300,53.876120993281400,53.922366590700600,50.808496364479400
"..Region VII (Central Visayas)","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",53.354030341674800,54.617105345681800,53.658910515055900,52.090955337667800,51.176314817524800,51.176314817524800,51.611857922354900,52.003846716701900,53.266921720708900,54.399333793266800,56.272169144035800,56.054397591620800,53.306846505318300
"..Region VII (Central Visayas)","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",47.728742659235800,48.070747980838600,48.260750937284600,46.778727877005800,45.676710729618900,46.018716051221800,46.778727877005800,47.272735563765400,48.108748572127800,48.184749754706200,48.412753302441400,47.956746206971000,47.437404792685200
