"Geolocation","Commodity Description","2009 Jan","2009 Feb","2009 Mar","2009 Apr","2009 May","2009 Jun","2009 Jul","2009 Aug","2009 Sep","2009 Oct","2009 Nov","2009 Dec","2009 Ave"
"..Region XII (SOCCSKSARGEN)","0 - ALL ITEMS",70.499192729451100,71.777675499156200,72.508237081844800,72.812637741298400,73.056158268861300,73.482319192096300,73.543199323987000,73.908480115331300,73.725839719659200,73.604079455877700,73.725839719659200,74.030240379112800,73.056158268861300
"..Region XII (SOCCSKSARGEN)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",66.800229159524400,68.565623110031900,69.362897797357800,69.761535141020800,70.160172484683800,70.217120676635600,70.444913444443000,70.843550788106000,70.387965252491200,70.160172484683800,70.331017060539300,70.615758020298600,69.804246284984700
"..Region XII (SOCCSKSARGEN)","01.1 - FOOD",66.178176594610300,68.032064393950000,68.874740666377200,69.267989593509800,69.661238520642500,69.717416938804300,69.942130611451500,70.335379538584200,69.942130611451500,69.661238520642500,69.829773775127900,70.110665865936900,69.296078802590700
"..Region XII (SOCCSKSARGEN)","01.1.1 - Cereals and cereal products (ND)",65.723245983488100,69.118947025968300,71.638338122002100,72.788494926713100,73.938651731424100,73.829112988118300,73.281419271589300,73.171880528283400,71.474030007043300,70.762028175555500,70.652489432249700,70.597720060596800,71.414696521086000
"..Region XII (SOCCSKSARGEN)","01.1.1.1 - Cereals (ND)",65.402336360453500,69.409342680697200,72.280686617376700,73.578988203322000,74.909897973546400,74.688031212835700,74.013265343349200,73.815644617592600,71.745154328338000,70.777681263377000,70.679856710539600,70.528756434609400,71.819136812169800
"..Region XII (SOCCSKSARGEN)","01.1.1.12 - Rice",65.286067963995700,69.046283898482900,71.662086287691400,73.024483365404100,74.441376326225400,74.441376326225400,74.168896910682900,74.059905144465900,72.316036884993500,71.171623339714800,71.008135690389300,70.899143924172200,71.793784671870300
"..Region XII (SOCCSKSARGEN)","01.1.1.16 - Corn",66.872001132431000,73.998506362602400,80.099966319941000,80.588083116528100,80.832141514821700,77.805817375981700,72.046039176254100,70.728123825469000,64.529040508812900,65.798144179939400,66.530319374820000,65.846955859598100,72.139594895600000
"..Region XII (SOCCSKSARGEN)","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",67.844956358952100,68.021177024819500,68.432358578510100,68.784799910245000,68.961020576112400,69.019760798068200,69.489682573714600,69.783383683493600,69.783383683493600,70.488266346963200,70.723227234786400,71.016928344565500,69.362412092810300
"..Region XII (SOCCSKSARGEN)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",71.951918316028400,72.446433218544100,72.570061944173000,72.755505032616400,73.188205572317600,73.064576846688600,73.188205572317600,72.570061944173000,72.940948121059700,72.755505032616400,73.559091749204300,75.042636456751300,73.002762483874200
"..Region XII (SOCCSKSARGEN)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",71.189858201919900,71.613967995463300,71.735142222189900,71.856316448916600,72.522774695913300,72.280426242460000,72.401600469186600,71.189858201919900,71.674555108826600,71.432206655373300,72.462187582550000,74.400975210176700,72.063322419574700
"..Region XII (SOCCSKSARGEN)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",72.336265884653000,76.115998696643800,76.050830889540600,75.985663082437300,75.855327468230700,75.855327468230700,75.724991854024100,77.940697295536000,77.940697295536000,77.940697295536000,77.940697295536000,77.940697295536000,76.468990985120000
"..Region XII (SOCCSKSARGEN)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",71.370831101022800,71.433935284136000,71.433935284136000,71.433935284136000,71.307726917909700,71.497039467249200,71.307726917909700,72.380498030834000,72.380498030834000,72.254289664607600,72.317393847720800,72.759123129513100,71.823077746667400
"..Region XII (SOCCSKSARGEN)","01.1.3 - Fish and other seafood (ND)",59.156792850942100,60.321695449890400,59.865863998128000,60.169751632636300,59.359384607280900,60.017807815382200,60.777526901652800,63.613811490396600,63.816403246735500,64.018995003074300,64.170938820328500,64.981305845683800,61.689189805177600
"..Region XII (SOCCSKSARGEN)","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",61.962502003098100,61.962502003098100,61.911629669762200,61.911629669762200,60.283715003014200,59.927608669663000,58.961034336281400,63.386927336502700,61.911629669762200,60.538076669693600,61.402906336403500,64.099140003205000,61.521608447520500
"..Region XII (SOCCSKSARGEN)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",61.567215984113200,63.338590005429000,62.572590428643800,62.859840269938300,62.955590217036400,64.631214291254100,65.157839000293900,66.450463286119000,67.120712915806100,67.790962545493200,68.317587254533000,68.173962333885800,65.078047377712200
"..Region XII (SOCCSKSARGEN)","01.1.3.3 - Fish preparations (ND)",64.610613370089600,65.774768565947100,66.007599605118600,66.007599605118600,66.007599605118600,65.891184085532800,66.065807364911400,66.415053923668700,66.356846163875800,66.764300482425900,66.589677203047300,66.997131521597400,66.124015124704300
"..Region XII (SOCCSKSARGEN)","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",56.875689003331300,58.330181931987900,57.628012931946800,58.079407289116100,57.176618574777500,58.029252360541700,59.584055146347100,62.743815646532100,63.395829717998900,63.997688860891300,63.847224075168200,64.398928289486200,60.340558652343800
"..Region XII (SOCCSKSARGEN)","01.1.3.6 - Other seafood preparations (ND)",72.686492772885900,72.812356829635400,73.127016971509400,73.882201312006900,74.008065368756500,74.322725510630500,74.196861453880900,74.322725510630500,75.140841879502800,75.266705936252400,74.952045794378400,75.140841879502800,74.154906768297700
"..Region XII (SOCCSKSARGEN)","01.1.4 - Milk, other dairy products and eggs (ND)",77.987832264913600,78.464197732500400,78.260041103534600,78.396145522845100,78.328093313189900,78.464197732500400,78.804458780776600,79.621085296639600,79.757189715950100,79.621085296639600,79.825241925605300,80.029398554571100,78.963247269972200
"..Region XII (SOCCSKSARGEN)","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.4.3 - Other milk and cream (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.4.5 - Cheese (ND)",77.335800185013900,77.335800185013900,77.335800185013900,77.409805735430200,77.557816836262700,77.705827937095300,77.631822386679000,77.631822386679000,77.631822386679000,77.631822386679000,77.631822386679000,77.631822386679000,77.539315448658700
"..Region XII (SOCCSKSARGEN)","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.4.8 - Eggs (ND)",79.928393110634000,80.208107522219800,79.648678699048300,79.788535904841100,79.508821493255400,79.858464507737600,80.487821933805600,82.236037006216700,82.515751417802400,82.445822814906000,82.935323035181100,83.424823255456200,81.082215058425300
"..Region XII (SOCCSKSARGEN)","01.1.5 - Oils and fats (ND)",69.446411207718500,68.915385123717300,68.502364836160800,67.617321362825300,67.735327159270100,69.387408309496200,69.328405411273800,68.738376429050200,67.676324261047700,67.322306871713500,66.614272093045200,66.732277889489900,68.168015079567400
"..Region XII (SOCCSKSARGEN)","01.1.5.1 - Vegetable oils (ND)",69.781011467425600,69.245150457863500,68.828369672648500,67.875727877871300,67.994808102218500,69.721471355252000,69.661931243078500,69.066530121342800,67.875727877871300,67.578027317003500,66.863545970920600,66.982626195267800,68.456243971563700
"..Region XII (SOCCSKSARGEN)","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.5.3 - Margarine and similar preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.5.9 - Other animal oils and fats (ND)",75.768350551453900,75.186511682031500,74.733970339147400,73.699590126840900,73.828887653379200,75.703701788184800,75.639053024915600,74.992565392224100,73.699590126840900,73.376346310495100,72.600561151265200,72.729858677803500,74.329915568715200
"..Region XII (SOCCSKSARGEN)","01.1.6 - Fruits and nuts (ND)",66.754193760146200,65.922538522270600,65.368101697020200,64.425559094094600,64.314671729044500,65.090883284395000,65.201770649445100,65.700763792170500,66.476975347521000,66.587862712571100,66.920524807721300,66.754193760146200,65.793169929712200
"..Region XII (SOCCSKSARGEN)","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",67.766462209836300,66.814371418458500,66.142307330427000,64.966195176372000,64.854184495033500,65.806275286411300,65.918285967749900,66.478339374442800,67.374424825151300,67.598446187828500,68.046488913182800,67.766462209836300,66.627686949560800
"..Region XII (SOCCSKSARGEN)","01.1.6.2 - Citrus fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.6.7 - Fruit, dried and dehydrated (ND)",75.412807213702500,74.353288434667000,73.605392825936000,72.296575510656900,72.171926242535100,73.231445021570600,73.356094289692400,73.979340630301500,74.976534775276100,75.225833311519700,75.724430384007000,75.412807213702500,74.145539654463900
"..Region XII (SOCCSKSARGEN)","01.1.6.8 - Nuts, in shell or shelled (ND)",54.826704836846900,54.826704836846900,54.826704836846900,55.102678183341000,55.010687067843000,55.056682625592000,55.194669298839100,55.056682625592000,55.240664856588100,54.182767028360400,54.228762586109400,54.228762586109400,54.815205947409600
"..Region XII (SOCCSKSARGEN)","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",61.336607340593700,63.020557458929500,61.846895255240900,61.132492174734800,60.520146677158200,60.111916345440400,61.693808880846800,61.183520966199600,61.795866463776200,61.948952838170400,62.357183169888100,61.999981629635100,61.578994100051100
"..Region XII (SOCCSKSARGEN)","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",57.636239869507700,58.331941929213900,58.492488558376900,58.064364213942300,58.064364213942300,57.529208783399100,58.117879756996600,58.331941929213900,59.402252790300400,58.599519644485500,59.134675075028800,58.920612902811500,58.385457472268300
"..Region XII (SOCCSKSARGEN)","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",58.354737758882800,62.045155957073100,59.692514355726800,58.816040033656600,58.539258668792400,57.478263436812600,59.554123673294600,58.862170261134000,59.092821398520900,58.170216848973300,58.539258668792400,59.185081853475600,59.027470242927900
"..Region XII (SOCCSKSARGEN)","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","01.1.7.4 - Other vegetables, fresh or chilled (ND)",69.354491343173600,68.480537356851000,67.044755807892400,66.545353529993800,64.048342140500600,65.234422550509800,66.170801821569800,65.546548974196500,67.544158085791100,71.414525739505500,71.289675170030900,69.167215488961600,67.653402334081400
