"Geolocation","Commodity Description","2010 Jan","2010 Feb","2010 Mar","2010 Apr","2010 May","2010 Jun","2010 Jul","2010 Aug","2010 Sep","2010 Oct","2010 Nov","2010 Dec","2010 Ave"
"..Region XI (Davao Region)","0 - ALL ITEMS",76.375079011392000,76.749466653604700,76.499874892129600,77.123854295817400,77.498241938030100,78.122221341718000,77.935027520611600,78.309415162824300,78.746200745405800,78.933394566512200,79.182986327987300,79.494976029831200,77.914228207155400
"..Region XI (Davao Region)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",74.270082901929600,74.835734713825400,74.326648083119200,75.005430257394200,75.571082069290100,75.910473156427600,75.627647250479700,76.476124968323500,77.381167867356900,77.381167867356900,77.607428592115200,78.003384860442400,76.033031049005100
"..Region XI (Davao Region)","01.1 - FOOD",74.031049394321900,74.646575882105400,74.142963301191700,74.814446742410000,75.429973230193500,75.765714950802700,75.485930183628300,76.325284485151300,77.332509646978800,77.332509646978800,77.612294414153100,77.948036134762300,75.905607334389800
"..Region XI (Davao Region)","01.1.1 - Cereals and cereal products (ND)",75.708414449491700,76.425768230718600,75.873957629774800,76.977578831662500,78.301924273927600,78.136381093644500,78.357105334022000,79.460726535909600,80.509166677702900,80.067718196947800,80.288442437325400,80.453985617608500,78.380097442394700
"..Region XI (Davao Region)","01.1.1.1 - Cereals (ND)",75.514847235984800,76.349132305068900,75.502765153117200,76.651420029962200,78.247436916583300,78.041890542500700,78.513440651540400,79.958319198836800,80.973968065861800,80.387553481709900,80.720056539495800,80.677740713329100,78.461547569499200
"..Region XI (Davao Region)","01.1.1.12 - Rice",77.154133516217200,77.978429814467400,76.604602650717100,77.648711295167300,79.627022410967800,79.297303891667700,79.901787843717800,81.715239699868200,82.869254517418500,82.099911305718300,82.539535998118400,82.319723651918400,79.979638049663700
"..Region XI (Davao Region)","01.1.1.16 - Corn",63.481978983885000,64.389584719953200,67.414937173514000,69.330993727435900,68.120852746011600,68.826768318509100,68.322542909582300,67.061979387265300,67.061979387265300,67.818317500655500,67.364514632621400,68.625078154938400,67.318293970136400
"..Region XI (Davao Region)","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",77.824768291764000,78.177982066159300,78.236851028558500,78.825540652550700,79.237623389345200,79.531968201341300,78.590064802953800,78.590064802953800,80.120657825333400,79.885181975736600,79.826313013337300,80.473871599728700,79.110073970813500
"..Region XI (Davao Region)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",78.201003931807200,78.573981693008200,78.698307613408600,78.573981693008200,78.511818732808100,78.822633533808900,78.698307613408600,78.511818732808100,78.946959454209200,79.009122414409400,78.946959454209200,78.760470573608700,78.687947120041900
"..Region XI (Davao Region)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",78.675799421983700,79.042871581028700,79.165228967377100,78.920514194680400,78.798156808332100,79.226407660551200,79.042871581028700,78.614620728809500,78.981692887854600,78.859335501506200,78.859335501506200,78.369905956112800,78.879728399230900
"..Region XI (Davao Region)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",78.226223425286700,78.591198029137100,78.712856230420600,78.469539827853700,78.347881626570200,78.773685331062400,78.591198029137100,78.165394324644900,78.530368928495400,78.408710727211900,78.408710727211900,77.922077922077900,78.428987094092500
"..Region XI (Davao Region)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",73.525139787919000,73.792261095050400,74.059382402181800,74.192943055747500,74.192943055747500,74.192943055747500,74.192943055747500,74.994306977141800,76.329913512798800,76.663815146713000,76.663815146713000,76.663815146713000,74.955351786518400
"..Region XI (Davao Region)","01.1.3 - Fish and other seafood (ND)",70.949432404540800,70.169196710942500,70.117180998035900,71.209510969073600,71.001448117447300,70.793385265821100,69.649039581876900,69.909118146409700,72.509903791737400,72.457888078830900,73.134092346616100,74.798595159625800,71.391565964246500
"..Region XI (Davao Region)","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",74.701896201564400,71.032152983048800,70.730530252759800,71.032152983048800,69.725121151796700,69.071605236170600,67.563491584725800,67.111057489292400,65.954837023184700,65.854296113088400,66.457541573666300,71.534857533530400,69.230795010489800
"..Region XI (Davao Region)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",56.636992823318200,56.796758670492500,57.076348903047700,57.635529368158000,58.474300065823500,57.915119600713200,56.956524517666900,59.432895148869800,62.108973089040700,61.629675547517600,61.350085314962400,61.070495082407200,58.923641511001500
"..Region XI (Davao Region)","01.1.3.3 - Fish preparations (ND)",74.958524134158000,75.550613582295100,75.609822527108800,76.616374588941900,76.675583533755600,76.261120920059600,76.438747754500800,76.320329864873400,75.254568858226500,75.254568858226500,75.254568858226500,75.195359913412800,75.782515282815500
"..Region XI (Davao Region)","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",71.116160666997000,70.742427089918200,70.689036578906900,72.237361398233400,72.023799354188400,71.970408843177100,70.635646067895600,70.528865045873100,74.906886948796400,75.013667970818900,76.188259213066600,77.629803010370600,72.806860182353500
"..Region XI (Davao Region)","01.1.3.6 - Other seafood preparations (ND)",80.679471614315800,80.809181375753600,80.874036256472500,82.171133870850600,82.365698513007300,82.819682678039600,83.922215650261000,81.911714347975000,83.079102200915200,82.884537558758500,82.884537558758500,83.208811962353100,82.300843632288400
"..Region XI (Davao Region)","01.1.4 - Milk, other dairy products and eggs (ND)",76.195974281180200,76.258998246673300,76.763189970618200,76.322022212166400,76.258998246673300,76.574118074138900,76.826213936111400,77.015285832590700,76.511094108645800,76.763189970618200,77.015285832590700,76.574118074138900,76.589874065512200
"..Region XI (Davao Region)","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.4.3 - Other milk and cream (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.4.5 - Cheese (ND)",82.198176298225300,81.801403122208100,81.999789710216700,82.727207199581500,82.727207199581500,82.793336062251100,83.256238100937800,83.586882414285400,83.851397864963600,83.851397864963600,83.983655590302600,84.049784452972100,83.068872990040800
"..Region XI (Davao Region)","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.4.8 - Eggs (ND)",75.887299942921400,75.649966714014700,76.302633093508100,74.581967183934500,73.573300961080900,74.759967105614500,75.412633485107900,75.531300099561300,73.869967497214300,74.166634033347700,74.878633720067800,74.700633798387800,74.942911469563400
"..Region XI (Davao Region)","01.1.5 - Oils and fats (ND)",62.958032239625900,63.003687085339900,63.414580696766000,63.460235542480000,63.003687085339900,64.190713073904200,64.692916376758400,66.199526285320900,66.884348971031100,68.801852491019700,71.632452925288600,71.586798079574600,65.819069237704100
"..Region XI (Davao Region)","01.1.5.1 - Vegetable oils (ND)",62.398484028153800,62.443602237863200,62.849666125248200,62.894784334957600,62.398484028153800,63.661793900018000,64.158094206821900,65.737231546652200,66.414004692293800,68.444324129218600,71.241653131203800,71.196534921494300,65.319888106839900
"..Region XI (Davao Region)","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.5.3 - Margarine and similar preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.5.9 - Other animal oils and fats (ND)",69.718976567769600,69.769387975266100,70.223090642735400,70.273502050231900,69.718976567769600,71.130495977673800,71.685021460136200,73.449420722516500,74.205591834965100,76.474105172311200,79.599612437099200,79.549201029602600,72.983115203173100
"..Region XI (Davao Region)","01.1.6 - Fruits and nuts (ND)",66.025223380491400,66.655420079424200,66.267606726234800,67.382570116654300,66.994756763464900,67.528000124100300,65.831316703896800,66.946280094316200,66.413036733680800,69.127730206006400,70.242693596425900,68.352103499627700,67.313894835360300
"..Region XI (Davao Region)","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",66.359429480033900,67.072460599088700,66.406964887970900,67.500279270521600,66.977389783214800,67.642885494332600,65.693933768916100,67.024925191151800,66.311894072096900,69.449230995938100,70.685151602299800,68.450987429261400,67.464627714568900
"..Region XI (Davao Region)","01.1.6.2 - Citrus fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.6.7 - Fruit, dried and dehydrated (ND)",80.813128286782800,80.813128286782800,80.813128286782800,81.448340648862400,81.448340648862400,81.448340648862400,82.789344524363600,80.954286589467200,81.730657254231000,81.730657254231000,80.954286589467200,81.730657254231000,81.389524689410600
"..Region XI (Davao Region)","01.1.6.8 - Nuts, in shell or shelled (ND)",57.549307909869100,57.877090786491600,59.469179044372400,60.827136676094300,60.780310550862500,60.593006049935400,60.358875423776400,60.499353799471800,60.967615051789700,61.248571803180400,61.435876304107600,61.857311431193700,60.288636235928700
"..Region XI (Davao Region)","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",69.873788183647300,72.016514672450300,68.619509263372500,69.142125480153700,70.709974130497300,73.427578457759600,71.128067103922200,72.748177375944000,72.904962240978400,72.748177375944000,71.807468185737800,73.479840079437700,71.550515212487000
"..Region XI (Davao Region)","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",65.078238705893400,66.119128476571800,65.123494782879400,66.752713554376100,68.653468787788800,68.336676248886700,67.612579017110400,67.205274324236300,67.295786478208300,67.341042555194300,66.933737862320200,66.797969631362100,66.937509202069000
"..Region XI (Davao Region)","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",65.626429262792900,71.742344469617200,65.626429262792900,65.679611134156600,66.211429847793500,70.731888913707100,64.988246806428600,66.424157333248200,66.264611719157200,64.722337449610200,65.307338034610800,68.338704702341100,66.805294078021400
"..Region XI (Davao Region)","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.7.4 - Other vegetables, fresh or chilled (ND)",86.297289522766700,83.513505989774200,81.595788444823900,81.224617307091500,83.327920420908100,85.864256528745700,87.843835929984700,93.782574133702000,95.081673115765200,96.442633954117100,91.122514313287000,92.607198864216300,88.225317377098500
"..Region XI (Davao Region)","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",62.328850115109700,62.328850115109700,62.474251787228900,62.522719011268600,62.522719011268600,62.522719011268600,63.443596268023700,64.509875196898100,64.509875196898100,64.509875196898100,64.461407972858400,64.122137404580200,63.354739690617500
"..Region XI (Davao Region)","01.1.8 - Sugar, confectionery and desserts (ND)",78.136826706136100,87.259400382487000,85.937288255479700,84.549070522121900,85.937288255479700,87.986562052341100,92.481743284166200,100.811049684313000,102.529795449422000,102.463689843072000,103.521379544678000,104.579069246284000,93.016096935498300
"..Region XI (Davao Region)","01.1.8.1 - Cane and beet sugar (ND)",68.771724000089900,79.120005771384600,77.641679804056800,76.045087759342700,77.582546765363600,79.888735274395000,85.683773066320100,95.085926218525000,97.155582572783900,96.978183456704600,98.160844230566800,99.402638043122200,85.959727246887900
"..Region XI (Davao Region)","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",100.700715162898000,100.700715162898000,100.700715162898000,100.700715162898000,100.700715162898000,100.700715162898000,87.769992053745600,87.769992053745600,87.769992053745600,87.769992053745600,87.769992053745600,87.769992053745600,94.235353608321900
"..Region XI (Davao Region)","01.1.8.6 - Ice, ice cream and sorbet (ND)",92.356883617343000,92.356883617343000,92.356883617343000,92.529998675669800,92.529998675669800,92.529998675669800,93.049343850650200,93.568689025630500,92.703113733996600,93.049343850650200,93.914919142284100,93.914919142284100,92.905081302044500
"..Region XI (Davao Region)","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",98.691950396946400,98.691950396946400,98.691950396946400,98.691950396946400,98.909813422105200,99.200297455650300,98.909813422105200,98.691950396946400,98.691950396946400,98.691950396946400,97.893119304697400,97.893119304697400,98.637484640656700
"..Region XI (Davao Region)","01.1.9 - Ready-made food and other food products n.e.c. (ND)",70.640155739099200,70.817346765200600,70.994537791302100,71.289856168137800,72.589257026214800,72.648320701582000,74.597421988697600,74.243039936494700,76.014950197508900,75.483377119204700,76.074013872876100,75.483377119204700,73.406304535460300
"..Region XI (Davao Region)","01.1.9.2 - Baby food (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","01.1.9.3 - Salt, condiments and sauces (ND)",61.690624883023500,62.340930149923000,62.025405093627200,62.562013723352900,63.198284676209400,63.215208115809900,63.466862695482800,64.205894512959200,65.451591351613000,65.591195565615000,65.930054439033700,66.200033350802700,63.823174879787700
"..Region XI (Davao Region)","01.1.9.4 - Spices, culinary herbs and seeds (ND)",90.256431802375200,89.506170523884900,90.706588569469300,90.481510185922200,93.032398532789000,93.182450788487100,98.509305865767800,96.108469774599000,98.734384249314800,96.933757180938200,98.059149098673600,95.658313007504900,94.264077464977200
"..Region XI (Davao Region)","01.1.9.9 - Other food products n.e.c. (ND)",77.233259422107100,78.184407937157700,77.613718828127300,78.311227739164400,78.311227739164400,78.247817838161100,77.930768333144200,79.389196056221700,79.516015858228500,79.579425759231900,79.833065363245400,79.642835660235200,78.649413877849100
"..Region XI (Davao Region)","01.2 - NON-ALCOHOLIC BEVERAGES",78.440447823647600,78.507720934988600,78.373174712306600,78.978632714375900,79.113178937057900,79.180452048399000,78.978632714375900,78.844086491693800,79.113178937057900,79.382271382422100,78.911359603034800,79.247725159740000,78.922571788258300
