"Geolocation","Commodity Description","2010 Jan","2010 Feb","2010 Mar","2010 Apr","2010 May","2010 Jun","2010 Jul","2010 Aug","2010 Sep","2010 Oct","2010 Nov","2010 Dec","2010 Ave"
"....Zamboanga del Sur","0 - ALL ITEMS",75.565096169015400,75.626481299940600,75.749251561791200,75.933406954567000,76.240332609193400,76.608643394745100,76.792798787520900,77.038339311222000,77.038339311222000,76.976954180296700,76.854183918446200,77.038339311222000,76.455180567431900
"....Zamboanga del Sur","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",73.656648451730400,73.827413479052800,74.112021857923500,74.225865209471800,73.884335154827000,73.713570127504600,73.713570127504600,74.225865209471800,74.453551912568300,74.225865209471800,73.884335154827000,74.339708561020000,74.021895871281100
"....Zamboanga del Sur","01.1 - FOOD",73.334828436869300,73.503027584660200,73.783359497645200,73.895492262839200,73.559093967257200,73.390894819466300,73.390894819466300,73.895492262839200,74.119757793227200,73.895492262839200,73.503027584660200,73.951558645436200,73.685243328100500
"....Zamboanga del Sur","01.1.1 - Cereals and cereal products (ND)",76.198634111917400,76.024532129940400,76.837008045832900,76.662906063856000,77.301279997771500,77.185212009786900,77.185212009786900,77.243246003779200,77.475381979748400,77.417347985756100,76.140600117925100,75.618294171994200,76.774137885674600
"....Zamboanga del Sur","01.1.1.1 - Cereals (ND)",78.501189027260600,78.245113055569900,79.525492914023300,79.269416942332700,80.125291863081600,80.009573363069100,79.573496575363400,79.727142158377800,80.034433324406600,80.034433324406600,77.985825550881100,77.063952052794600,79.174613345963900
"....Zamboanga del Sur","01.1.1.12 - Rice",77.409178715830500,77.092706194506500,78.675068801126100,78.358596279802200,79.244719339509200,79.244719339509200,78.548479792596600,78.738363305390900,79.118130330979600,79.118130330979600,76.586350160388300,75.447049083622200,78.131790972853400
"....Zamboanga del Sur","01.1.1.16 - Corn",83.131215134610700,83.131215134610700,83.131215134610700,83.131215134610700,83.858840650012100,83.252486053844300,83.919476109628900,83.919476109628900,83.919476109628900,83.919476109628900,83.919476109628900,83.919476109628900,83.596086991672700
"....Zamboanga del Sur","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",68.775320735007200,68.775320735007200,68.729743981703700,68.684167228400100,68.775320735007200,68.729743981703700,69.550125541167000,69.550125541167000,69.550125541167000,69.550125541167000,69.504548787863500,69.504548787863500,69.139934761435300
"....Zamboanga del Sur","01.1.2 - Meat and other parts of slaughtered land animals (ND)",80.430938451831000,80.430938451831000,82.248586778426100,83.546907011708300,83.027578918395400,83.481991000044100,86.403211524929100,86.403211524929100,86.403211524929100,86.403211524929100,86.403211524929100,86.403211524929100,84.298850813484200
"....Zamboanga del Sur","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",80.660321821674400,80.660321821674400,82.806927160477000,84.368094679606100,83.847705506563100,84.368094679606100,87.750624304386000,87.750624304386000,87.750624304386000,87.750624304386000,87.750624304386000,87.750624304386000,85.267934291326500
"....Zamboanga del Sur","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Zamboanga del Sur","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",84.242163610510400,84.242163610510400,86.484092158209500,88.114585647445200,87.571087817700000,88.114585647445200,91.647321540789200,91.647321540789200,91.647321540789200,91.647321540789200,91.647321540789200,91.647321540789200,89.054383978046300
"....Zamboanga del Sur","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",84.680234738804000,84.680234738804000,84.680234738804000,84.680234738804000,83.814678676737900,83.814678676737900,84.680234738804000,84.680234738804000,84.680234738804000,84.680234738804000,84.680234738804000,84.680234738804000,84.535975395126400
"....Zamboanga del Sur","01.1.3 - Fish and other seafood (ND)",70.664657583762600,70.979890256998700,70.664657583762600,70.664657583762600,68.405490092237100,68.510567649982400,66.461555273947700,66.461555273947700,66.251400158456900,66.251400158456900,66.671710389438400,67.669947188019500,68.304790766064400
