"Geolocation","Commodity Description","2013 Jan","2013 Feb","2013 Mar","2013 Apr","2013 May","2013 Jun","2013 Jul","2013 Aug","2013 Sep","2013 Oct","2013 Nov","2013 Dec","2013 Ave"
"....City of Cotabato","0 - ALL ITEMS",82.401315789473700,82.401315789473700,83.388157894736900,83.305921052631600,83.799342105263200,84.539473684210500,86.842105263157900,88.075657894736900,88.240131578947400,87.664473684210500,87.993421052631600,88.240131578947400,85.574287280701800
"....City of Cotabato","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",80.995106035889100,80.831973898858100,80.831973898858100,80.668841761827100,81.566068515497600,82.300163132137000,84.747145187602000,86.623164763458400,86.867862969004900,85.562805872756900,86.133768352365400,86.541598694942900,83.639206090266400
"....City of Cotabato","01.1 - FOOD",80.194017784963600,80.032336297493900,79.951495553759100,79.789814066289400,80.759902991107500,81.487469684721100,84.074373484236000,86.095392077607100,86.337914308811600,84.963621665319300,85.529506871463200,86.014551333872300,82.935866343303700
"....City of Cotabato","01.1.1 - Cereals and cereal products (ND)",80.452342487883700,79.806138933764100,79.159935379644600,79.159935379644600,80.048465266559000,81.502423263328000,86.106623586429700,90.226171243941900,91.357027463651100,89.418416801292400,90.064620355412000,91.195476575121200,84.874798061389400
"....City of Cotabato","01.1.1.1 - Cereals (ND)",79.780092616613400,78.971544416269400,78.133197731838200,78.092472621390000,79.157544507328600,80.158210514534300,85.599728593093900,90.432798806872900,91.742988856732900,89.421537907831500,90.177871631173000,91.490268009499300,84.429854684431400
"....City of Cotabato","01.1.1.12 - Rice",85.162129318014200,84.126156529091800,83.052003680338200,82.999823604701100,82.999823604701100,82.999823604701100,85.552976853294200,91.745470048253500,93.424184117983000,90.449766497788000,91.418838170191600,93.100379153954900,87.252614598584400
"....City of Cotabato","01.1.1.16 - Corn",60.645679243358400,60.645679243358400,60.645679243358400,60.645679243358400,65.497333582827000,70.055603912102300,85.765942085285900,85.765942085285900,85.765942085285900,85.765942085285900,85.765942085285900,85.765942085285900,74.394275581673200
"....City of Cotabato","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",84.538653366583500,84.538653366583500,85.203657522859500,85.203657522859500,85.203657522859500,89.359933499584400,89.359933499584400,89.359933499584400,89.359933499584400,89.359933499584400,89.526184538653400,89.526184538653400,87.545026323081200
"....City of Cotabato","01.1.2 - Meat and other parts of slaughtered land animals (ND)",84.693019343986500,84.693019343986500,84.693019343986500,84.945332211942800,86.038687973086600,86.038687973086600,86.038687973086600,86.038687973086600,86.206896551724100,86.795626576955400,86.795626576955400,86.795626576955400,85.814409868236600
"....City of Cotabato","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",84.175578429717300,84.175578429717300,84.184284897288400,84.197310394183900,85.460823184026200,85.460823184026200,85.460823184026200,85.460823184026200,85.665521232704000,86.270968944051100,86.270968944051100,86.270968944051100,85.254539412655700
