"Geolocation","Commodity Description","2013 Jan","2013 Feb","2013 Mar","2013 Apr","2013 May","2013 Jun","2013 Jul","2013 Aug","2013 Sep","2013 Oct","2013 Nov","2013 Dec","2013 Ave"
"....Zamboanga del Norte","0 - ALL ITEMS",80.698967434471800,82.366957903097700,82.605242255758500,82.684670373312100,82.843526608419400,83.558379666401900,84.511517077045300,84.988085782366900,85.385226370135000,85.941223193010300,86.656076250992800,86.417791898332000,84.054805401112000
"....Zamboanga del Norte","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",84.059161873459300,84.387838948233300,83.483976992604800,82.169268693508600,81.676253081347600,82.744453574363200,84.059161873459300,85.291700903862000,85.866885784716500,87.099424815119100,88.578471651602300,88.003286770747700,84.784990413585300
"....Zamboanga del Norte","01.1 - FOOD",83.921246923707900,84.249384741591500,83.264971287940900,81.870385561936000,81.378178835110700,82.444626743232100,83.675143560295300,84.987694831829400,85.561936013125500,86.874487284659600,88.351107465135400,87.776866283839200,84.529669127700300
"....Zamboanga del Norte","01.1.1 - Cereals and cereal products (ND)",83.306055646481200,83.633387888707000,83.469721767594100,84.124386252045800,83.878887070376400,84.451718494271700,85.351882160392800,85.597381342062200,88.788870703764300,89.443535188216000,90.425531914893600,90.507364975450100,86.081560283688000
"....Zamboanga del Norte","01.1.1.1 - Cereals (ND)",82.106081889201300,82.417294971809000,82.304243593223400,82.975741097297400,82.625724979393800,83.199321834039200,84.181032488430500,84.384335693162400,88.078153017829000,88.725608530083300,89.847423282726300,89.922855784432200,85.063984763469000
"....Zamboanga del Norte","01.1.1.12 - Rice",78.081604398232300,78.045904322941000,78.358782785388000,78.190531479910700,77.700946958432300,79.458012489944700,81.302187708832200,82.070296642113300,85.009273260282300,85.431161810099800,85.574541819663300,86.151061827795600,81.281192125303000
"....Zamboanga del Norte","01.1.1.16 - Corn",92.198853260800200,93.380071256177400,92.198853260800200,94.976311790471100,94.976311790471100,92.581950989030600,91.400732993653300,90.187590187590200,95.774432057617900,96.987574863681100,100.563153660499000,99.381935665121500,94.550647647992800
"....Zamboanga del Norte","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",91.956124314442400,92.138939670932300,92.230347349177300,92.504570383912200,92.687385740402200,93.601462522851900,93.784277879341800,94.149908592321800,94.149908592321800,94.424131627056700,94.424131627056700,94.789762340036600,93.403412553321100
"....Zamboanga del Norte","01.1.2 - Meat and other parts of slaughtered land animals (ND)",86.099044309296300,86.967854039965200,89.052997393570800,89.574283231972200,88.444830582102500,86.272806255430100,88.618592528236300,90.616854908775000,90.877497827975700,89.661164205039100,90.095569070373600,89.226759339704600,88.792354474370100
"....Zamboanga del Norte","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",86.174432027669500,87.072421106776000,89.396745588706500,89.906425132032400,88.627616447013900,86.201541055531100,88.722124337489300,90.871539970306500,91.142062536089300,89.733218581591100,90.228856721347100,89.126295554796300,88.933606588279100
