"Geolocation","Commodity Description","2014 Jan","2014 Feb","2014 Mar","2014 Apr","2014 May","2014 Jun","2014 Jul","2014 Aug","2014 Sep","2014 Oct","2014 Nov","2014 Dec","2014 Ave"
"..Region I (Ilocos Region)","0 - ALL ITEMS",90.275387263339100,90.189328743545600,89.586919104991400,89.931153184165200,90.705679862306400,91.222030981067100,91.566265060241000,91.824440619621300,92.426850258175600,92.254733218588600,92.082616179001700,91.480206540447500,91.128800917957500
"..Region I (Ilocos Region)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",85.306122448979600,85.061224489795900,85.061224489795900,86.448979591836700,86.775510204081600,87.836734693877500,89.469387755102000,90.040816326530600,90.612244897959200,90.693877551020400,90.938775510204100,90.367346938775500,88.217687074829900
"..Region I (Ilocos Region)","01.1 - FOOD",84.971567831031700,84.727863525589000,84.727863525589000,86.190089358245300,86.596263200649900,87.652315190901700,89.358245329000800,89.926888708367200,90.576766856214500,90.739236393176300,90.901705930138100,90.333062550771700,88.058489033306300
"..Region I (Ilocos Region)","01.1.1 - Cereals and cereal products (ND)",86.818551668022800,87.713588283157000,89.178193653376700,90.073230268511000,90.561432058584200,91.781936533767300,93.978844589096800,94.792514239218900,95.362082994304300,96.013018714402000,95.524816924328700,95.280716029292100,92.256577163005100
"..Region I (Ilocos Region)","01.1.1.1 - Cereals (ND)",85.297366376215300,86.409922410494800,88.290037017443400,89.407163406693900,89.915444033381900,91.489385614445700,94.311364457116700,95.191949018255500,95.907945488653900,96.670106820034300,95.991585320299800,95.775709753715800,92.054831643062600
"..Region I (Ilocos Region)","01.1.1.12 - Rice",85.348728700949400,86.471142735547100,88.375923158492200,89.507249239542900,89.996338897514400,91.579703507095100,94.435352318167900,95.323239206673700,96.050270984929700,96.804692753377300,96.117962761389600,95.916449277937400,92.160587795134700
"..Region I (Ilocos Region)","01.1.1.16 - Corn",81.964859146187800,82.437805164681800,82.717544193451700,82.913361513590700,84.666796878312300,85.629350426920700,86.266743316470500,86.673535873988200,86.673535873988200,87.937858070637700,87.791922662419200,86.644201698984100,85.193126234969400
"..Region I (Ilocos Region)","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",92.753623188405800,92.753623188405800,92.753623188405800,92.753623188405800,92.844202898550700,92.934782608695600,93.025362318840600,93.297101449275400,93.478260869565200,93.568840579710100,93.659420289855000,93.659420289855000,93.123490338164200
"..Region I (Ilocos Region)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",87.404255319148900,87.234042553191500,87.319148936170200,88.510638297872300,89.787234042553200,90.212765957446800,91.234042553191500,91.659574468085100,92.255319148936200,91.489361702127700,91.914893617021300,91.574468085106400,90.049645390070900
"..Region I (Ilocos Region)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",85.494319906052700,85.211209753202000,85.328794885757300,86.791576934682100,88.411515205964600,89.007191873052200,90.191919410112500,90.842109939242200,91.513005786976400,90.492732920759400,91.034791555356000,90.536824511691500,88.737999390237400
"..Region I (Ilocos Region)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region I (Ilocos Region)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",84.517344040999000,84.517344040999000,84.612586365501800,85.283032856436900,85.674167117394800,86.762758558885600,88.340648818625200,89.017545118986600,89.381141294895100,88.466267163859000,89.579231336716400,89.705944531185700,87.154834270373800
"..Region I (Ilocos Region)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",93.735745634678500,93.852985590575400,94.039924829307400,94.224723846399300,94.310982121611900,94.328653609375900,94.418296410837700,94.562509089269900,94.827518159386600,94.322490965617000,94.691795724753900,94.631227246153100,94.328904435663900
"..Region I (Ilocos Region)","01.1.3 - Fish and other seafood (ND)",82.176656151419600,80.126182965299700,80.205047318612000,82.728706624605700,83.359621451104100,83.517350157728700,84.463722397476300,84.700315457413300,85.173501577287100,85.252365930599400,86.514195583596200,85.567823343848600,83.648790746582500
"..Region I (Ilocos Region)","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",81.399032494050500,78.505866654066700,78.458855568873800,81.632895889394300,82.611110970447200,82.296129598060100,83.790021025587700,84.272145671028700,84.784210927191500,84.883866674871200,86.513333685578400,85.127084775701400,82.856212827904300
"..Region I (Ilocos Region)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",87.119903952069900,87.310845401610100,87.388876830445300,90.523409797167700,90.700055504292500,93.139752444047000,90.114904661068500,89.287422301338300,89.618782830809300,89.588000613078600,89.537188954610800,90.512922549858900,89.570172153366400
"..Region I (Ilocos Region)","01.1.3.3 - Fish preparations (ND)",93.982836786814600,94.097692022872100,94.191861165783900,94.450280320282100,94.455924402837600,94.522130657962900,94.550390335980300,94.543527124847800,94.881576842726400,94.942432560646500,95.415824838732100,95.461419108843200,94.624658014027500
