"Geolocation","Commodity Description","2015 Jan","2015 Feb","2015 Mar","2015 Apr","2015 May","2015 Jun","2015 Jul","2015 Aug","2015 Sep","2015 Oct","2015 Nov","2015 Dec","2015 Ave"
"..National Capital Region (NCR)","0 - ALL ITEMS",90.608695652173900,91.043478260869600,90.869565217391300,91.043478260869600,90.695652173913000,90.608695652173900,91.043478260869600,90.869565217391300,90.521739130434800,90.521739130434800,90.782608695652200,90.869565217391300,90.789855072463700
"..National Capital Region (NCR)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",86.530931871574000,86.217697729052500,85.669537979639800,85.512920908379000,85.277995301487900,85.277995301487900,86.452623335943600,86.687548942834800,86.452623335943600,86.765857478465200,87.314017227877800,87.470634299138600,86.302531975985400
"..National Capital Region (NCR)","01.1 - FOOD",86.402486402486400,86.013986013986000,85.392385392385400,85.159285159285200,84.926184926184900,84.926184926184900,86.247086247086300,86.480186480186500,86.247086247086300,86.557886557886600,87.179487179487200,87.334887334887300,86.072261072261100
"..National Capital Region (NCR)","01.1.1 - Cereals and cereal products (ND)",96.210873146622700,95.469522240527200,94.563426688632600,93.822075782537100,93.822075782537100,93.904448105436600,93.986820428336100,93.904448105436600,93.986820428336100,94.069192751235600,94.151565074135100,94.645799011532100,94.378088962108700
"..National Capital Region (NCR)","01.1.1.1 - Cereals (ND)",95.523893472566700,94.957429413325800,94.450572063172800,94.105570626820300,93.950071916612800,93.953324691001900,93.850572367369800,93.679886582592100,93.860623565775700,93.740882918868500,93.590213666005900,93.497014033169600,94.096671276440100
"..National Capital Region (NCR)","01.1.1.12 - Rice",99.524958203624900,98.422906174662400,96.777195784314900,95.780211192205800,95.727757780206200,95.881834965698100,95.860605155898800,95.687861742979800,95.808874744606800,95.812771018053300,95.664489341184600,96.453519777572800,96.450248823417400
"..National Capital Region (NCR)","01.1.1.16 - Corn",73.850213509489800,70.801351483868700,71.960275645654500,65.577277954588000,65.256345109785800,64.632309022670400,66.236973246681500,71.461046775962100,73.244007024863400,74.117657546825000,88.381339538035100,89.879026147112100,72.949818583794700
"..National Capital Region (NCR)","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",91.399662731871900,91.399662731871900,91.483979763912300,91.568296795952800,91.652613827993300,91.652613827993300,91.736930860033700,91.736930860033700,91.736930860033700,91.736930860033700,91.736930860033700,91.736930860033700,91.631534569983100
"..National Capital Region (NCR)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",85.964912280701800,85.964912280701800,85.087719298245600,84.529505582137200,85.007974481658700,85.087719298245600,86.842105263157900,87.320574162679400,87.559808612440200,87.400318979266400,87.639553429027100,87.799043062200900,86.350345560871900
"..National Capital Region (NCR)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",85.348043408795400,85.285000380944100,84.126877849663300,83.431892907588200,83.963206611193100,84.114472227381500,86.041934557108000,86.458073010977500,86.689081535804400,86.464765792029700,86.748199974614800,86.996710136058400,85.472354866013200
"..National Capital Region (NCR)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",94.054022279046500,94.060582966984500,91.383822288284000,88.962928439165100,89.527147601832400,90.084806076561600,91.633128429927700,92.217029656408900,91.626567741989700,90.793360373864700,90.649025239228900,90.931134820562600,91.326962992821400
"..National Capital Region (NCR)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",88.718118963986900,88.895546997723200,88.988922708806400,89.097483163079800,89.135130816159000,89.167632643366700,89.213187144243500,89.380174537053900,89.380174537053900,89.380174537053900,89.413231274653400,89.455414492153300,89.185432651277800
"..National Capital Region (NCR)","01.1.3 - Fish and other seafood (ND)",76.944253269098400,77.701307639366800,76.944253269098400,76.600137646249100,74.328974535443900,73.984858912594600,74.053682037164500,74.122505161734300,73.571920165175500,73.984858912594600,73.434273916035800,75.223675154852000,75.074558384950700
