"Geolocation","Commodity Description","2016 Jan","2016 Feb","2016 Mar","2016 Apr","2016 May","2016 Jun","2016 Jul","2016 Aug","2016 Sep","2016 Oct","2016 Nov","2016 Dec","2016 Ave"
"..Region X (Northern Mindanao)","0 - ALL ITEMS",91.282894736842100,91.282894736842100,91.365131578947400,91.776315789473700,92.269736842105300,92.105263157894700,92.434210526315800,92.598684210526300,92.351973684210500,92.680921052631600,92.927631578947400,93.585526315789500,92.221765350877200
"..Region X (Northern Mindanao)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",91.631799163179900,91.464435146443500,91.548117154811700,91.966527196652700,92.468619246861900,92.552301255230100,92.887029288702900,92.803347280334700,92.635983263598300,93.138075313807500,93.221757322175700,93.389121338912100,92.475592747559300
"..Region X (Northern Mindanao)","01.1 - FOOD",91.423813488759400,91.257285595337200,91.340549542048300,91.840133222314700,92.339716902581200,92.422980849292300,92.756036636136600,92.672772689425500,92.589508742714400,93.089092422980900,93.172356369691900,93.338884263114100,92.353594227033000
"..Region X (Northern Mindanao)","01.1.1 - Cereals and cereal products (ND)",93.631669535284000,93.459552495697100,93.803786574870900,93.975903614457800,94.492254733218600,94.492254733218600,94.922547332185900,95.438898450946700,95.266781411359700,94.836488812392400,94.578313253012000,94.492254733218600,94.449225473321800
"..Region X (Northern Mindanao)","01.1.1.1 - Cereals (ND)",93.891166317077300,93.772248598190500,94.119180256171800,94.348504782170300,94.889288801136100,94.900753291669600,95.371809631568800,95.962969632312900,95.852133683458700,95.275062204934200,94.913375010797100,94.816934657485500,94.842785572247700
"..Region X (Northern Mindanao)","01.1.1.12 - Rice",94.815530914138400,94.611947763060500,94.580867730739500,94.756971748227300,95.210281153544600,95.085182789830700,95.535304648910700,96.178252416242700,96.047308434207800,96.394339554989200,96.154431419150100,96.148748858414700,95.459930619288000
"..Region X (Northern Mindanao)","01.1.1.16 - Corn",89.604719678363600,89.878410956385900,91.978251525464000,92.454369222189800,93.400788923048400,94.045520188859300,94.613653521134100,94.964664235846000,94.947072891461900,90.084769705431500,89.158370884770800,88.641070152165000,91.980971823760000
"..Region X (Northern Mindanao)","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",92.054099746407400,92.054099746407400,92.138630600169100,92.223161453930700,92.730346576500400,92.645815722738800,92.561284868977200,92.645815722738800,92.476754015215600,92.476754015215600,92.899408284023700,92.814877430262000,92.476754015215500
"..Region X (Northern Mindanao)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",89.966555183946500,89.715719063545200,89.548494983277600,89.548494983277600,89.046822742474900,89.381270903010000,89.632107023411400,90.301003344481600,90.217391304347800,91.137123745819400,91.137123745819400,91.137123745819400,90.064102564102600
"..Region X (Northern Mindanao)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",88.619753983770300,88.413342905396100,88.064593265152600,88.098020760018200,87.432675734584900,88.008921242268600,88.329716421106600,89.074494782617800,89.008459654113000,90.115175965755800,90.075223391314800,90.085307533526000,88.777140469968700
"..Region X (Northern Mindanao)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",93.915255364808600,94.295705749881500,94.978910045433200,95.583763795286100,96.483950044590000,95.665017878950600,95.953911484533000,96.185957129249000,96.564757677768800,96.964198680583200,97.169006107161500,97.106815139751200,95.905604091499700
"..Region X (Northern Mindanao)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",93.201945765213000,93.195289950640200,93.290009890620300,93.386197645579900,93.403669158833600,93.575092269712500,94.332703774331300,95.278826399529100,95.278826399529100,95.272609936159200,95.388627831819300,95.378873281600900,94.248556025297400
