"Geolocation","Commodity Description","2017 Jan","2017 Feb","2017 Mar","2017 Apr","2017 May","2017 Jun","2017 Jul","2017 Aug","2017 Sep","2017 Oct","2017 Nov","2017 Dec","2017 Ave"
"..Region II (Cagayan Valley)","0 - ALL ITEMS",94.350758853288400,94.182124789207400,93.844856661045500,94.097807757166900,94.266441821247900,94.519392917369300,94.435075885328800,94.688026981450300,95.278246205733600,95.362563237774100,96.037099494097800,96.205733558178800,94.772344013490700
"..Region II (Cagayan Valley)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",94.229183841714800,93.487221764220900,92.497938994229200,92.497938994229200,93.157460840890400,93.652102225886200,93.239901071723000,93.404781533388300,94.311624072547400,94.394064303380000,95.300906842539200,95.053586150041200,93.768892552899100
"..Region II (Cagayan Valley)","01.1 - FOOD",94.266994266994300,93.447993447993400,92.465192465192500,92.465192465192500,93.120393120393100,93.693693693693700,93.284193284193300,93.447993447993400,94.348894348894300,94.512694512694500,95.413595413595400,95.167895167895200,93.802893802893800
"..Region II (Cagayan Valley)","01.1.1 - Cereals and cereal products (ND)",95.300906842539200,95.136026380873900,95.218466611706500,94.971145919208600,94.888705688375900,95.300906842539200,95.300906842539200,95.300906842539200,95.877988458367700,95.383347073371800,96.042868920033000,96.042868920033000,95.397087111843900
"..Region II (Cagayan Valley)","01.1.1.1 - Cereals (ND)",95.057882085444100,94.872747538170400,94.749911684903700,94.491519934199400,94.348339880459700,94.874259809497300,94.888219418659300,94.810765777022100,95.470077073621900,94.804709161649900,95.684816260306500,95.673243166025900,94.977207649163400
"..Region II (Cagayan Valley)","01.1.1.12 - Rice",95.236821751681600,95.052231026507500,94.925424383857700,94.664565311365500,94.490470461731400,95.012598002561300,95.017889896800000,94.936884145176400,95.507633177113100,94.828237756008400,95.701568086225300,95.694741742658000,95.089088811807200
"..Region II (Cagayan Valley)","01.1.1.16 - Corn",83.428655321263400,83.208177964605200,83.343402334315000,83.245360969718600,85.111322764645600,85.883708686234200,86.460980078017300,86.614376830772100,93.029318950721000,93.275593985621200,94.596120911644200,94.276058137023000,87.706089744548400
"..Region II (Cagayan Valley)","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",96.286472148541100,96.374889478337700,96.905393457117600,96.905393457117600,96.993810786914200,97.082228116710900,97.082228116710900,97.347480106100800,97.435897435897400,97.435897435897400,97.435897435897400,97.612732095490700,97.074860005894500
"..Region II (Cagayan Valley)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",90.319865319865300,90.235690235690200,90.909090909090900,93.181818181818200,94.528619528619500,96.212121212121200,96.296296296296300,96.548821548821600,96.043771043771000,95.959595959596000,96.548821548821600,96.969696969697000,94.479517396184100
"..Region II (Cagayan Valley)","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",88.698436355326000,88.597065656968000,89.602044390702500,92.377807148582800,93.932850877143800,95.924176648291000,96.025703641079800,96.366884956168800,95.595721328749600,95.552714206151000,96.249806697634700,96.822736039609200,93.812162328867300
"..Region II (Cagayan Valley)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",91.482452500844800,91.670487700137000,91.660290502927400,93.161503412133700,92.989154996713500,94.521375040844100,93.541085233246000,89.113367293441200,91.195807949178500,91.300597490461800,91.362685275194800,91.754518271959600,91.979443805590200
"..Region II (Cagayan Valley)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",95.747943626618800,95.154461773695000,95.302738942329700,95.832342723456600,95.709791586648100,95.851799236365100,96.080474312547500,96.566299903956400,96.523123964434100,96.734316878588500,96.443563664462100,96.770627649037100,96.059790355178200
"..Region II (Cagayan Valley)","01.1.3 - Fish and other seafood (ND)",91.008403361344500,91.092436974789900,92.352941176470600,92.436974789916000,92.100840336134500,91.932773109243700,92.352941176470600,92.184873949579800,93.025210084033600,93.697478991596600,94.789915966386600,94.621848739495800,92.633053221288500
"..Region II (Cagayan Valley)","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",89.878017540726800,89.834209836160100,91.289188914250100,91.410904330428800,90.865187031953300,90.436417286781800,91.055424100345700,90.765104756861900,91.929368022014800,92.794252130356000,94.019443935141900,93.947483962812700,91.518750153986200
"..Region II (Cagayan Valley)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",91.240796181675700,91.853302144375100,93.085567140429000,93.118535926651700,93.309278771583900,92.811335778858300,92.704906997506100,92.531991871685200,92.123955079316300,92.517468158828800,93.594308201808200,92.762174783945900,92.637801753055300
"..Region II (Cagayan Valley)","01.1.3.3 - Fish preparations (ND)",97.576714378169600,97.712397025620000,97.810494172159000,97.898375519159700,98.064917987013400,98.236382524212100,98.147309079331500,98.145641336662000,98.550759850058200,98.505219170815900,98.520946242469600,98.072735698750300,98.103491082035100
"..Region II (Cagayan Valley)","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",90.205314275848700,90.615307756239900,91.727055545594300,91.661335416880500,93.081478428127900,96.897009038999600,96.654071576321900,97.602756366705300,97.426597630914900,97.265236743221500,99.114182170850700,99.404438679902600,95.137898635800700
"..Region II (Cagayan Valley)","01.1.3.6 - Other seafood preparations (ND)",90.727538041858000,92.794772110732000,92.800979586341500,92.800979586341500,92.800979586341500,93.024318039583200,93.069152254077200,93.248315042017100,93.281626616657500,93.281626616657500,93.281626616657500,93.281626616657500,92.866128392826800
"..Region II (Cagayan Valley)","01.1.4 - Milk, other dairy products and eggs (ND)",95.909486510008700,95.996518711923400,96.692776327241100,96.692776327241100,96.692776327241100,97.040905134899900,97.214969538729300,97.302001740644000,97.302001740644000,97.302001740644000,97.214969538729300,97.214969538729300,96.881346098056300
"..Region II (Cagayan Valley)","01.1.4.1 - Raw and whole milk (ND)",98.023497757222400,98.023497757222400,98.720553741273700,98.720553741273700,98.720553741273700,98.720553741273700,99.504741723331500,99.504741723331500,99.504741723331500,99.504741723331500,99.504741723331500,99.504741723331500,98.996471734960800
"..Region II (Cagayan Valley)","01.1.4.3 - Other milk and cream (ND)",95.349953830363500,95.630275308235100,96.726534062399600,96.813636714281100,96.829838412543100,96.997761892064000,97.199223413256500,97.243427416083500,97.261285938369900,97.334905463168200,97.424157862897000,97.779763260745300,96.882563631200500
"..Region II (Cagayan Valley)","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","01.1.4.5 - Cheese (ND)",93.091420531274300,93.252116012183500,93.231862241779400,93.279894240425400,93.279894240425400,93.323530899799200,93.335292447171400,93.472005397399200,96.664368081233900,96.693623689999200,96.693623689999200,97.094028224793600,94.450971641373600
"..Region II (Cagayan Valley)","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region II (Cagayan Valley)","01.1.4.7 - Milk-based dessert and beverages (ND)",100.642383367705000,100.642383367705000,100.642383367705000,100.642383367705000,100.642383367705000,100.642383367705000,100.642383367705000,100.642383367705000,100.642383367705000,100.642383367705000,100.642383367705000,100.642383367705000,100.642383367705000
"..Region II (Cagayan Valley)","01.1.4.8 - Eggs (ND)",96.685867938073100,96.424745397864200,96.686558794461200,96.566288121274900,96.443430417582700,97.021559461787300,97.241496430839000,97.441765659411000,97.277707375396800,97.115796775500700,96.822214570730600,96.419546691820200,96.845581469561800
"..Region II (Cagayan Valley)","01.1.5 - Oils and fats (ND)",92.472266244057100,93.343898573692600,94.770206022187000,94.849445324881100,95.245641838351800,95.562599049128400,95.483359746434200,95.721077654516600,97.147385103011100,97.226624405705200,97.226624405705200,97.385103011093500,95.536185948230300
"..Region II (Cagayan Valley)","01.1.5.1 - Vegetable oils (ND)",92.288414242475000,93.249448395978600,94.639592230067400,94.766559238992200,95.255772851603900,95.548958139263900,95.499067410421600,95.525928427197200,97.042279746011600,97.121268172707500,97.121268172707500,97.353742111484000,95.451024928242500
"..Region II (Cagayan Valley)","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",99.348089899680500,99.348089899680500,99.348089899680500,99.348089899680500,99.450279647607100,99.450279647607100,99.450279647607100,99.525419168141400,99.525419168141400,99.525419168141400,99.525419168141400,99.582525203747500,99.452283368154700
"..Region II (Cagayan Valley)","01.1.5.3 - Margarine and similar preparations (ND)",94.586182054055700,94.586182054055700,95.716190761143000,95.716190761143000,95.743079437307900,95.890123034717500,95.919448779326800,97.938187092025800,98.047414461821700,98.079514221247500,98.104508608993200,98.117318896361900,96.537028346850000
"..Region II (Cagayan Valley)","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
