"Geolocation","Commodity Description","2018 May"
"PHILIPPINES","0 - ALL ITEMS",99.0000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",98.1000000000000
"PHILIPPINES","01.1 - FOOD",97.9000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",98.4000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",98.1624738059383
"PHILIPPINES","01.1.1.12 - Rice",97.9853358599006
"PHILIPPINES","01.1.1.16 - Corn",101.4177436832100
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",99.2075445377283
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",99.3958918320215
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",99.1390856224550
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",99.9152153935183
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",99.6056518806387
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",98.7422088719892
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",99.0000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",98.9086938077429
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",99.2469404440675
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",98.6241700681442
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",99.4067710362706
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",97.8000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",97.5590652485431
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",97.7889507969382
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",99.2842218028022
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",98.1759198648481
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",98.0878708319106
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",99.5000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",99.6487108575436
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",99.6903383559311
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",99.5845601109672
"PHILIPPINES","01.1.4.5 - Cheese (ND)",99.5653419279178
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",100.0544024292530
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",98.3180862514223
"PHILIPPINES","01.1.4.8 - Eggs (ND)",99.3155135164554
"PHILIPPINES","01.1.5 - Oils and fats (ND)",99.3000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",99.2054025058194
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",99.6422543572706
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",99.6791962486152
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",101.7330835863180
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",100.2000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",100.3834701382450
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",98.4625665281951
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",97.9591646060341
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",94.8648312695670
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",96.6215635079824
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",98.7178238855922
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",99.1930070323893
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",89.9000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",90.4718404539380
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",86.6568744265643
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",92.6089694637806
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",91.8853052331318
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",92.7361753240490
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",99.3436597034009
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",97.0000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",94.0713711992732
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",99.4615568711196
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",99.0540955029523
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",99.0929077789899
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",99.5590111186156
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",99.2040455863811
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",99.4000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",99.6986405478048
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",99.4285307891612
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",98.4170689190834
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",99.7007963446126
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",99.7000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",100.7000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",100.7002803100060
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",99.3000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",99.3143530785906
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",99.9000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",99.8482038454546
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",99.5000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",99.4772353590467
"PHILIPPINES","01.2.5 - Water (ND)",100.1000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",100.1032355176630
"PHILIPPINES","01.2.6 - Soft drinks (ND)",99.6000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",99.6327857111322
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",100.2000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",100.1599161404330
