"Geolocation","Commodity Description","2019 Jan"
"PHILIPPINES","0 - ALL ITEMS",101.5000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",102.0000000000000
"PHILIPPINES","01.1 - FOOD",101.9000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",100.5000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",100.0898539418600
"PHILIPPINES","01.1.1.12 - Rice",100.2143667828460
"PHILIPPINES","01.1.1.16 - Corn",97.8016773559743
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",102.0988437049850
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",101.9197183223510
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",102.0877608209660
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",102.0038530606400
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",101.4378918191380
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",103.3599467699600
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",101.5000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",101.4512593743380
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",101.5908252567550
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",100.5816711129670
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",101.8346294820200
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",105.8000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",106.1446577187480
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",106.1802210975530
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",102.2575657931940
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",106.0020928235500
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",105.2416527106890
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",101.1000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",102.3096686050780
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",100.8909504191030
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",101.2714832369060
"PHILIPPINES","01.1.4.5 - Cheese (ND)",102.0540989428720
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",100.2507567090240
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",104.0515417398740
"PHILIPPINES","01.1.4.8 - Eggs (ND)",101.3041531989780
"PHILIPPINES","01.1.5 - Oils and fats (ND)",101.6000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",101.6682517706860
