"Geolocation","Commodity Description","2019 Nov"
"PHILIPPINES","0 - ALL ITEMS",103.2000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",102.4000000000000
"PHILIPPINES","01.1 - FOOD",102.2000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",95.2000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",92.1833491510527
"PHILIPPINES","01.1.1.12 - Rice",91.9532594188724
"PHILIPPINES","01.1.1.16 - Corn",96.4117157488957
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",104.5777018680110
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",104.4832764426020
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",104.3994918585790
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",105.0631326239450
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",103.6837485744150
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",107.0382828852480
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",106.9000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",107.7554497423030
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",103.7364206534400
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",106.9142086954760
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",103.9876284544770
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",105.1000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",104.3068486176030
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",110.4737415991500
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",105.1961938038210
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",106.5989407139700
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",111.6738647850210
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",104.5000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",108.0096248115610
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",101.5744338619820
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",99.6634841667778
"PHILIPPINES","01.1.4.5 - Cheese (ND)",104.2283985544280
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",100.1969805535370
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",105.9478989202810
"PHILIPPINES","01.1.4.8 - Eggs (ND)",108.1867450356930
"PHILIPPINES","01.1.5 - Oils and fats (ND)",101.9000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",101.5222494848420
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",106.6913066247790
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",102.0222648592970
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",93.0135296997614
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",110.1000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",110.1785342089700
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",109.1919175082140
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",126.4577073769220
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",109.8955656339690
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",113.3963116319640
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",105.2353781281560
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",104.1454908827900
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",107.5000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",106.1240232156680
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",104.9199902026610
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",107.1342555729040
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",106.4729517624540
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",122.9784899347500
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",105.1780465111380
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",101.9000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",99.1902970009576
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",103.9561348187370
