"Geolocation","Commodity Description","2020 Apr"
"PHILIPPINES","0 - ALL ITEMS",103.8000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",104.4000000000000
"PHILIPPINES","01.1 - FOOD",104.2000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",95.7000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",92.4316107510615
"PHILIPPINES","01.1.1.12 - Rice",92.2232487929660
"PHILIPPINES","01.1.1.16 - Corn",96.2606853278510
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",105.7715114867560
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",105.7606186129310
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",105.5587845779980
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",106.7994519793340
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",104.6274808927030
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",108.7628472893310
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",104.9000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",104.9816484928720
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",104.7412797348910
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",103.1541076849100
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",104.8416883722090
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",112.0000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",112.6105187426350
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",116.3953247347110
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",106.2414347693990
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",108.2486597765150
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",113.4290546239840
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",106.6000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",109.2188213456130
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",102.2708592587140
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",100.3228576404420
"PHILIPPINES","01.1.4.5 - Cheese (ND)",105.2705771979200
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",102.1537187337900
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",105.9861729455160
"PHILIPPINES","01.1.4.8 - Eggs (ND)",112.3098841246360
"PHILIPPINES","01.1.5 - Oils and fats (ND)",103.4000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",103.3733765068530
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",107.6641155774240
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",102.4654253472260
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",95.5356955700728
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",122.0000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",122.9851784066930
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",118.8251971114270
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",133.3155696237500
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",110.1532687696880
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",115.2746931796120
