"Geolocation","Commodity Description","2021 Feb"
"PHILIPPINES","0 - ALL ITEMS",108.5000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",110.3000000000000
"PHILIPPINES","01.1 - FOOD",110.6000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",95.2000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",91.3616892756672
"PHILIPPINES","01.1.1.12 - Rice",91.1384301558027
"PHILIPPINES","01.1.1.16 - Corn",95.4645294856723
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",107.5135318798660
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",106.4526509620490
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",107.3545474907200
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",108.6815067626790
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",106.0937416865940
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",110.8713136638840
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",123.0000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",126.7630221470180
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",109.4435045784140
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",129.3655330434890
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",109.8130179051300
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",119.7000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",120.6043330689070
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",125.1592791234810
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",107.9690882105050
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",118.9793979102960
