"Geolocation","Commodity Description","2021 Jun"
"PHILIPPINES","0 - ALL ITEMS",108.3000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",107.8000000000000
"PHILIPPINES","01.1 - FOOD",107.8000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",96.1000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",92.3019385977713
"PHILIPPINES","01.1.1.12 - Rice",91.5893635368896
"PHILIPPINES","01.1.1.16 - Corn",105.3969539960500
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",108.2265600384450
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",107.0120450465150
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",108.0839923498790
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",109.1224691608190
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",106.7614604598070
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",111.6418070291960
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",122.7000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",126.0397128155420
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",112.2069711445250
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",128.3944842692530
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",111.2455074372800
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",116.4000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",116.6267604870870
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",125.7700652330390
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",108.2694813764560
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",114.4615773394910
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",117.8553494284950
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",107.6000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",111.3968946082330
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",103.3531220780630
