"Geolocation","Commodity Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"....Apayao","0 - ALL ITEMS",109.8000000000000,109.8000000000000,110.4000000000000,112.3000000000000,113.9000000000000,115.4000000000000,116.2000000000000,117.0000000000000,117.6000000000000,118.4000000000000,120.0000000000000,120.3000000000000,115.0916666666670
"....Apayao","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",106.7000000000000,106.1000000000000,104.9000000000000,106.1000000000000,107.6000000000000,108.2000000000000,108.5000000000000,108.7000000000000,109.4000000000000,111.4000000000000,113.9000000000000,114.7000000000000,108.8500000000000
"....Apayao","01.1 - FOOD",106.6000000000000,106.0000000000000,104.7000000000000,106.0000000000000,107.6000000000000,108.1000000000000,108.5000000000000,108.6000000000000,109.2000000000000,111.3000000000000,114.0000000000000,114.8000000000000,108.7833333333330
"....Apayao","01.1.1 - Cereals and cereal products (ND)",89.9000000000000,90.1000000000000,89.8000000000000,91.0000000000000,91.6000000000000,90.6000000000000,89.4000000000000,89.5000000000000,88.4000000000000,88.6000000000000,89.4000000000000,89.8000000000000,89.8416666666667
"....Apayao","01.1.1.1 - Cereals (ND)",86.1687504201706,86.3353722888928,85.8482561768875,87.0393114768735,87.6591303758013,86.3298280489178,84.8624388616284,84.5542420858226,83.1124492381641,83.2696806196466,83.8913419359596,84.2219218854700,85.2743936178529
"....Apayao","01.1.1.12 - Rice",85.9194502279039,86.0872112516583,85.5967648398880,86.7959631084349,87.4200195652725,86.0816291070017,84.6042077205199,84.2532632576914,82.7662558700905,82.9245622060240,83.5378750850885,83.8577101354531,84.9870760312522
"....Apayao","01.1.1.16 - Corn",122.6333779164810,122.6333779164810,122.6333779164810,122.6333779164810,122.6333779164810,122.6333779164810,122.6333779164810,128.5777975925100,133.7494427106550,133.7494427106550,135.5922128102240,137.4944271065540,127.2997473621640
"....Apayao","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",110.2807194841090,110.6299705666240,111.5225732158010,112.3779021292210,113.4070666325310,114.0825442693810,114.3691390685550,116.3261117896570,117.4717702202680,117.8236572187770,119.3630907610170,120.3327345097300,114.8322733221390
"....Apayao","01.1.1.2 - Flour of cereals (ND)",111.2576663501760,110.4878236547000,112.3970335394800,113.1668762349560,113.9367189304320,115.8767225230310,120.0954604942390,130.3497651979780,131.6431009263780,134.0450101362620,140.1113705766120,139.5262901280510,122.7411532243580
"....Apayao","01.1.1.3 - Bread and bakery products (ND)",111.8623336000890,112.2836421854500,113.1840922764580,113.9691308506260,114.9255291931370,115.2964256005840,115.4440098908330,118.0755748295030,119.6166123119900,118.3982845986180,118.6247912758700,118.3941705603520,115.8395497644590
"....Apayao","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",100.4121551858200,100.6715608738790,101.2278434174600,102.3408488514640,104.0046889029250,104.8859946360820,104.8010453747550,105.2195638904790,106.9261402613930,109.8908055993160,113.5294480075950,116.9950786417270,105.9087644702410
"....Apayao","01.1.1.9 - Other cereal and grain mill products (ND)",125.0145457415270,125.5136077887010,126.8759068790020,127.4903216437970,127.4903216437970,128.7589133034890,129.5436187173200,129.9189269456810,128.0139181594590,129.0415097785460,130.6563725093640,131.7843621203040,128.3418604359150
"....Apayao","01.1.2 - Meat and other parts of slaughtered land animals (ND)",121.6000000000000,120.5000000000000,120.6000000000000,126.8000000000000,129.6000000000000,133.8000000000000,137.7000000000000,138.3000000000000,137.6000000000000,138.7000000000000,138.2000000000000,136.3000000000000,131.6416666666670
"....Apayao","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",125.4056775144860,123.8732825497750,124.7383527057010,133.3806883775360,136.4453002113620,142.2102755639440,146.7501007664380,147.4163290396340,146.7861851583160,148.3075675339250,147.6335744297550,145.2587783419140,139.0171760160660
"....Apayao","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",114.3270027939050,115.2372833176060,116.6058354196110,117.0881814913330,117.4913463754380,122.2873146158140,127.7633080495720,125.8659091224270,121.2748711604340,123.9050413076470,125.3583380134060,124.3866101256040,120.9659201494000
"....Apayao","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",112.7487804037920,112.3869119032570,110.2509223291670,110.8157646371500,113.2329931955210,113.2665483132390,115.1624347627290,115.9896130749070,115.7611450851850,115.4708518556360,115.2024822052180,114.5698908256670,113.7381948826220
"....Apayao","01.1.3 - Fish and other seafood (ND)",126.3000000000000,127.4000000000000,126.0000000000000,127.5000000000000,127.2000000000000,127.9000000000000,132.2000000000000,131.0000000000000,133.4000000000000,136.6000000000000,138.2000000000000,137.2000000000000,130.9083333333330
"....Apayao","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",116.8541553406850,116.1512198338300,114.2718229928140,115.4728454495880,115.0872942718310,115.1458074324370,121.1299660425480,116.5674149009850,118.9662025577040,123.1487064461010,125.5013322519830,125.0982264956030,118.6162495013420
