"Geolocation","Commodity Description","2022 Mar"
"PHILIPPINES","0 - ALL ITEMS",112.5000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",111.7000000000000
"PHILIPPINES","01.1 - FOOD",112.0000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",98.5000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",94.3545242982727
"PHILIPPINES","01.1.1.12 - Rice",92.6635759801630
"PHILIPPINES","01.1.1.16 - Corn",125.4291373165020
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",111.5514300415040
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",110.1478717516110
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",111.2888722410230
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",110.4809225759520
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",110.7356914880140
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",114.7737935497030
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",126.7000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",130.7273074700760
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",115.7662682583100
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",131.7288052939600
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",113.0426429523220
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",123.3000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",123.7224130595540
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",133.1338015107450
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",111.2744060694110
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",123.6834721863030
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",119.9763771672600
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",109.0000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",113.6554340580140
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",104.3393929100030
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",103.3147795273490
"PHILIPPINES","01.1.4.5 - Cheese (ND)",107.4588234688250
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",106.6915174488970
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",107.7868865913270
"PHILIPPINES","01.1.4.8 - Eggs (ND)",115.2030249465360
"PHILIPPINES","01.1.5 - Oils and fats (ND)",118.3000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",121.4529583424900
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",112.4024650748980
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",107.1014278458100
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",103.9578186334540
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",116.6000000000000
