"Geolocation","Commodity Description","2023 Ave"
"PHILIPPINES","0 - ALL ITEMS",122.1750000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",124.4166666666670
"PHILIPPINES","01.1 - FOOD",125.0083333333330
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",108.7166666666670
"PHILIPPINES","01.1.1.1 - Cereals (ND)",103.0258685733210
"PHILIPPINES","01.1.1.12 - Rice",101.1184396924260
"PHILIPPINES","01.1.1.16 - Corn",138.0787520345160
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",126.7207921436180
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",123.1245348532770
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",127.0590127839230
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",118.9354880952260
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",125.1585093215130
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",129.3851345898620
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",132.6250000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",135.4431718465640
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",127.9582238822160
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",141.0579123449760
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",122.3980339317500
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",133.3333333333330
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",132.9354291598200
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",148.1587908459930
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",126.6781655688930
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",129.9452412045310
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",137.5240878440670
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",123.8416666666670
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",136.4289975659160
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",113.0951532757340
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",114.2651523484420
"PHILIPPINES","01.1.4.5 - Cheese (ND)",120.7451264452780
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",121.7585105633220
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",116.1682520717610
"PHILIPPINES","01.1.4.8 - Eggs (ND)",137.9235264433410
"PHILIPPINES","01.1.5 - Oils and fats (ND)",133.4000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",138.9228236186040
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",125.1644496949000
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",113.7916508388570
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",113.9076946943100
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",133.0083333333330
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",133.0211652931590
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",141.1031061946260
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",134.2821188127310
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",136.6833018228740
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",132.9206955304330
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",129.0134423413220
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",127.3927426211420
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",148.8916666666670
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",139.0244196893890
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",140.5230710313300
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",136.2568552592430
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",169.1490063326220
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",158.5270718963610
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",134.0732181042980
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",147.5416666666670
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",180.1649782753600
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",124.4719060676600
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",131.8020715808690
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",122.8669942298700
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",117.0852655181670
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",122.3553187092220
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",125.4750000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",117.2029302687030
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",130.4293078199890
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",127.1959474724230
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",127.5895583332540
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",117.7000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",129.8583333333330
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",129.8679685996340
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",113.7500000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",113.7571552871620
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",117.6416666666670
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",117.6347531201720
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",124.8750000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",124.8812417252940
"PHILIPPINES","01.2.5 - Water (ND)",110.4416666666670
"PHILIPPINES","01.2.5.0 - Water (ND)",110.4450691551390
"PHILIPPINES","01.2.6 - Soft drinks (ND)",123.8916666666670
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",123.8855148913980
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",128.1750000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",128.1836599186060
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",169.3083333333330
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",135.3833333333330
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",138.0000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",137.9786316000610
"PHILIPPINES","02.1.2 - Wine (ND)",125.0833333333330
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",122.8137841695160
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",125.6320545716970
"PHILIPPINES","02.1.3 - Beer (ND)",133.5083333333330
"PHILIPPINES","02.1.3.0 - Beer (ND)",133.4984036408960
"PHILIPPINES","02.3 - TOBACCO",192.6833333333330
"PHILIPPINES","02.3.0 - Tobacco (ND)",192.6833333333330
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",193.3926418087330
"PHILIPPINES","02.3.0.2 - Cigars (ND)",181.5193208896610
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",142.6883128184790
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",151.9666666666670
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",151.9666666666670
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",151.9875040597640
"PHILIPPINES","02.900 - NON-FOOD",119.0416666666670
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",114.8750000000000
"PHILIPPINES","03.1 - CLOTHING",114.6583333333330
"PHILIPPINES","03.1.1 - Clothing materials (SD)",111.0083333333330
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",111.0221565894690
"PHILIPPINES","03.1.2 - Garments (SD)",114.3333333333330
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",114.4211512152500
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",114.1283697997460
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",116.3737849879230
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",120.5659790819760
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",113.9083333333330
