"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....City of Isabela","0 - ALL ITEMS",111.9000000000000,113.1000000000000,115.5000000000000,116.1000000000000,115.8000000000000,115.3000000000000,115.5000000000000,118.0000000000000,118.4000000000000,118.9000000000000,118.5000000000000,118.8000000000000,116.3166666666670
"....City of Isabela","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",113.0000000000000,112.9000000000000,113.8000000000000,114.1000000000000,114.5000000000000,112.6000000000000,112.7000000000000,116.2000000000000,119.8000000000000,119.6000000000000,119.0000000000000,119.8000000000000,115.6666666666670
"....City of Isabela","01.1 - FOOD",112.2000000000000,112.1000000000000,113.1000000000000,113.3000000000000,113.8000000000000,111.7000000000000,111.8000000000000,115.6000000000000,119.6000000000000,119.3000000000000,118.7000000000000,119.5000000000000,115.0583333333330
"....City of Isabela","01.1.1 - Cereals and cereal products (ND)",102.9000000000000,102.9000000000000,104.0000000000000,104.3000000000000,106.4000000000000,104.2000000000000,104.8000000000000,114.4000000000000,124.4000000000000,123.5000000000000,122.6000000000000,123.2000000000000,111.4666666666670
"....City of Isabela","01.1.1.1 - Cereals (ND)",98.3075949292821,98.3075949292821,99.2269291547501,99.3495992344043,101.1320880650920,99.7562202168214,100.7186334482980,113.6737759525460,126.9261404687470,125.6101864315910,124.4359654654340,125.1346956741550,109.3816186642000
"....City of Isabela","01.1.1.12 - Rice",97.0673913791361,97.0673913791361,98.0017218262580,98.1263929058248,99.9379577753018,98.5396467081809,99.5177588680146,112.6842262453800,126.1152257537950,124.7391301141300,123.5457552022240,124.2558831298560,108.2998734406030
"....City of Isabela","01.1.1.16 - Corn",174.3375174337520,174.3375174337520,174.3375174337520,174.3375174337520,174.3375174337520,174.3375174337520,174.3375174337520,174.3375174337520,176.6387726638770,179.0097629009760,179.0097629009760,179.0097629009760,175.6973500697350
"....City of Isabela","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",114.8856490578140,114.8856490578140,116.3260811891570,117.2017204070760,119.9144376686920,115.7971723467000,115.4093563138170,116.4321258553800,117.7642498198000,118.0747602517030,118.0368079795380,118.0368079795380,116.8970681605860
"....City of Isabela","01.1.1.2 - Flour of cereals (ND)",145.1423785594640,145.1423785594640,145.1423785594640,148.6599664991620,148.6599664991620,148.6599664991620,148.6599664991620,148.6599664991620,149.3299832495810,149.3299832495810,149.3299832495810,149.3299832495810,148.0039084310440
"....City of Isabela","01.1.1.3 - Bread and bakery products (ND)",113.0412204412000,113.0412204412000,114.1550615429980,115.3703664929670,120.1011414022860,114.2257650347790,113.5494430369960,115.3330762057400,117.5968204154220,118.1383272584370,118.1383272584370,118.1383272584370,115.9024247324080
"....City of Isabela","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",113.3139202363720,113.3139202363720,113.3139202363720,113.3139202363720,113.3139202363720,109.2315333058650,109.2315333058650,109.2315333058650,109.2315333058650,109.2315333058650,109.0244583779560,109.0244583779560,110.8980153722580
"....City of Isabela","01.1.1.9 - Other cereal and grain mill products (ND)",113.8885783064250,113.8885783064250,118.0537799204110,118.0537799204110,118.0537799204110,118.0537799204110,118.0537799204110,118.0537799204110,118.0537799204110,118.0537799204110,118.0537799204110,118.0537799204110,117.3595796514130
"....City of Isabela","01.1.2 - Meat and other parts of slaughtered land animals (ND)",135.8000000000000,135.9000000000000,136.0000000000000,139.6000000000000,139.8000000000000,135.5000000000000,135.0000000000000,135.0000000000000,132.8000000000000,132.8000000000000,132.8000000000000,134.3000000000000,135.4416666666670
"....City of Isabela","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",141.2445532938540,141.3549473382370,141.3549473382370,145.8940050582420,146.1439670222560,141.1487583301320,140.5153795704250,140.5696376468750,137.7049172098610,137.6879518835520,137.7388452158940,139.6373783164170,140.9162740186650
"....City of Isabela","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",115.7847161670510,115.9716270154010,116.3160318237430,116.4740376747920,116.4740376747920,114.5668680395460,114.5668680395460,114.5668680395460,114.5668680395460,114.6383442422340,114.7781785150710,114.7781785150710,115.2902186488620
"....City of Isabela","01.1.3 - Fish and other seafood (ND)",88.4000000000000,91.1000000000000,96.5000000000000,96.5000000000000,97.1000000000000,96.6000000000000,96.1000000000000,95.2000000000000,94.2000000000000,94.2000000000000,93.7000000000000,94.7000000000000,94.5250000000000
"....City of Isabela","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",75.9958793208791,79.6356392265745,86.1221032390430,87.9637599558967,87.1167964903657,86.2731019987289,85.8336852637602,85.1778142389211,84.2600451313300,84.7768002980613,84.4260984300727,85.5383575541004,84.4266734289778
"....City of Isabela","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",86.8996164473009,88.2051537647790,88.2051537647790,85.9790498588171,83.5445124276117,83.5445124276117,83.5445124276117,83.5445124276117,82.9516819624966,82.7009638701526,82.7009638701526,82.4524817069934,84.5227595796598
"....City of Isabela","01.1.3.3 - Fish preparations (ND)",130.7797005638730,130.7797005638730,130.7797005638730,130.7797005638730,130.7797005638730,128.3297686175380,128.3297686175380,128.3297686175380,128.3297686175380,128.3297686175380,128.3297686175380,128.3297686175380,129.3505735951780
"....City of Isabela","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",133.8028667758040,133.8028667758040,138.4737326720790,133.4529836342200,140.9623745288980,141.2564835062770,140.2876223358070,137.9790660098590,136.6369473793910,135.0497707450620,133.6741880204490,134.7135153560070,136.6743681449720
"....City of Isabela","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.4 - Milk, other dairy products and eggs (ND)",104.8000000000000,104.8000000000000,104.8000000000000,104.8000000000000,106.9000000000000,108.1000000000000,108.1000000000000,104.3000000000000,101.0000000000000,100.4000000000000,99.2000000000000,101.0000000000000,104.0166666666670
"....City of Isabela","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.4.3 - Other milk and cream (ND)",96.7233186585686,96.7233186585686,96.7233186585686,96.7233186585686,96.7233186585686,96.7233186585686,96.7515653533905,96.7515653533905,96.7515653533905,96.7515653533905,96.7515653533905,96.7815774666386,96.7399430154169
"....City of Isabela","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.4.5 - Cheese (ND)",119.6800099221730,119.6800099221730,119.6800099221730,119.6800099221730,119.6800099221730,119.6800099221730,119.6800099221730,119.6800099221730,119.6800099221730,119.6800099221730,119.6800099221730,119.6800099221730,119.6800099221730
"....City of Isabela","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Isabela","01.1.4.8 - Eggs (ND)",113.5407905803200,113.5407905803200,113.5407905803200,113.5407905803200,118.2085786375110,120.8578637510510,120.8578637510510,112.2792262405380,105.0883095037850,103.5744322960470,100.9251471825060,105.0883095037850,111.7535744322960
"....City of Isabela","01.1.5 - Oils and fats (ND)",169.9000000000000,172.6000000000000,173.9000000000000,173.9000000000000,173.9000000000000,174.8000000000000,174.8000000000000,174.8000000000000,174.8000000000000,174.8000000000000,174.8000000000000,174.8000000000000,173.9833333333330
"....City of Isabela","01.1.5.1 - Vegetable oils (ND)",187.6423647342290,191.1466604283410,192.9008383867090,192.9008383867090,192.9008383867090,192.9008383867090,192.9008383867090,192.9008383867090,192.9008383867090,192.9008383867090,192.9008383867090,192.9008383867090,192.3164507524720
"....City of Isabela","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
