"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....City of Zamboanga","0 - ALL ITEMS",117.1000000000000,117.3000000000000,115.8000000000000,115.4000000000000,115.3000000000000,115.5000000000000,114.8000000000000,116.8000000000000,118.0000000000000,117.6000000000000,118.1000000000000,118.2000000000000,116.6583333333330
"....City of Zamboanga","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",118.4000000000000,118.4000000000000,116.8000000000000,116.2000000000000,116.6000000000000,117.5000000000000,116.7000000000000,119.6000000000000,122.0000000000000,121.5000000000000,122.2000000000000,122.9000000000000,119.0666666666670
"....City of Zamboanga","01.1 - FOOD",119.5000000000000,119.5000000000000,117.8000000000000,117.1000000000000,117.6000000000000,118.5000000000000,117.7000000000000,120.8000000000000,123.5000000000000,122.9000000000000,123.7000000000000,124.5000000000000,120.2583333333330
"....City of Zamboanga","01.1.1 - Cereals and cereal products (ND)",90.8000000000000,90.9000000000000,91.7000000000000,92.6000000000000,94.0000000000000,94.1000000000000,94.1000000000000,99.3000000000000,106.9000000000000,106.1000000000000,106.9000000000000,108.0000000000000,97.9500000000000
"....City of Zamboanga","01.1.1.1 - Cereals (ND)",82.8495804833637,82.8391023624307,83.8411861790089,85.0143465024138,86.8657160951031,86.9965595263549,87.0288885009124,93.9953481733807,104.1890491539200,103.1285764005790,104.0172061754380,105.3870545412680,92.1793845078478
"....City of Zamboanga","01.1.1.12 - Rice",82.6418721162172,82.6312659124486,83.6455990376248,84.8330998808531,86.7071003124950,86.8395431524399,86.8722673110923,93.9137050406979,104.1997553626200,103.0740418362810,103.9686114335350,105.3501519142820,92.0564177758823
"....City of Zamboanga","01.1.1.16 - Corn",99.8416573519413,99.8416573519413,99.8416573519413,99.8416573519413,99.8416573519413,99.8416573519413,99.8416573519413,100.6743587755790,103.3132022937260,107.5899061066160,107.9926145866030,108.4059616898530,102.2389704096640
"....City of Zamboanga","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",115.0894644143010,115.2518199913500,115.5538301268990,115.5538301268990,115.5668165900240,115.5933469440220,115.7014553857750,115.3637429671330,115.0786434064250,115.1184055395250,115.7318050027670,115.7671498276280,115.4475258602290
"....City of Zamboanga","01.1.1.2 - Flour of cereals (ND)",104.4471545260970,102.2741678166940,104.4471545260970,104.4471545260970,104.4471545260970,104.4471545260970,104.3772668270530,103.3902255845380,103.3902255845380,103.7471554186720,103.7471554186720,103.7471554186720,103.9090937249440
"....City of Zamboanga","01.1.1.3 - Bread and bakery products (ND)",114.5508144559970,114.8177989177680,114.8177989177680,114.8177989177680,114.8177989177680,114.8177989177680,114.8177989177680,114.5762358277460,114.1131463567480,113.9945927071080,114.5638697891450,114.2878972618210,114.5827791587650
"....City of Zamboanga","01.1.1.4 - Breakfast cereals (ND)",108.4156787970320,109.0791515805280,108.9267363792140,108.9267363792140,108.9267363792140,108.9267363792140,108.9267363792140,108.4156787970320,108.4156787970320,108.4156787970320,108.4156787970320,108.4156787970320,108.6839088548990
"....City of Zamboanga","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",116.9629128719500,117.3543223667740,117.8394493033760,117.8394493033760,117.9061884614340,118.0425314727460,118.6124578123040,118.6798460693360,119.0286701323260,119.2991106417140,119.9975249749010,120.8200857855200,118.5318790996470
"....City of Zamboanga","01.1.1.9 - Other cereal and grain mill products (ND)",118.5856038653620,118.5856038653620,119.4859256861140,119.4859256861140,119.4859256861140,119.4859256861140,119.4859256861140,118.3415455807250,117.8467021261040,118.1838921300710,119.1118575713740,119.4450408467030,118.9608228680220
"....City of Zamboanga","01.1.2 - Meat and other parts of slaughtered land animals (ND)",143.2000000000000,145.5000000000000,142.4000000000000,142.7000000000000,143.1000000000000,143.8000000000000,139.7000000000000,139.4000000000000,138.8000000000000,139.7000000000000,139.7000000000000,139.5000000000000,141.4583333333330
"....City of Zamboanga","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",150.1280217975250,153.1227615643350,148.8805346089580,149.2810076245860,149.6368467312550,150.4794217190360,145.5876754372360,145.2698659682580,144.3781245925110,145.6257050749270,145.7381059085570,145.5580427461460,147.8071761477770
"....City of Zamboanga","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Zamboanga","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",132.8254650657310,136.3050578400000,136.6556596510890,138.2331389418760,138.2331389418760,139.2029218347580,133.3114727502370,132.0860523543270,132.6299017833100,133.1747863911370,133.1747863911370,133.1747863911370,134.9172640280510
"....City of Zamboanga","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",123.2379608956740,123.2379608956740,123.2379608956740,123.3323189180310,123.9478286740090,124.0886786799610,122.6344311336790,122.6344311336790,122.6344311336790,122.6344311336790,122.2969622105620,121.9248710300560,122.9868555611960
"....City of Zamboanga","01.1.3 - Fish and other seafood (ND)",136.1000000000000,134.7000000000000,131.9000000000000,129.6000000000000,127.9000000000000,129.6000000000000,128.9000000000000,131.3000000000000,130.2000000000000,127.3000000000000,126.9000000000000,127.8000000000000,130.1833333333330
