"Geolocation","Commodity Description","2023 Jul"
"PHILIPPINES","0 - ALL ITEMS",121.2000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",122.6000000000000
"PHILIPPINES","01.1 - FOOD",123.0000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",106.5000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",99.9039485864936
"PHILIPPINES","01.1.1.12 - Rice",97.6825582222461
"PHILIPPINES","01.1.1.16 - Corn",140.7265125833550
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",127.5040885367920
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",123.5205464626370
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",127.9510169744200
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",120.0510995313140
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",125.8048531927300
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",129.8544232561810
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",132.2000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",134.7441636591450
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",128.4486446280470
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",140.6560705004860
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",122.8361398471780
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",130.9000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",129.8086556533930
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",147.7757534902780
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",127.8533032841490
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",127.2244115964300
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",138.3145408975960
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",123.0000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",137.3059050038600
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",113.5400464010970
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",115.8186254607980
"PHILIPPINES","01.1.4.5 - Cheese (ND)",121.6564656286980
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",123.0413106350400
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",117.9959001800770
"PHILIPPINES","01.1.4.8 - Eggs (ND)",135.2542334396990
"PHILIPPINES","01.1.5 - Oils and fats (ND)",133.1000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",138.5889826825120
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",125.4789363768430
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",113.5081302887860
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",112.3584675324700
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",128.0000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",127.5809671109620
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",140.0119277461520
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",132.7325571371850
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",142.2476838012930
