"Geolocation","Commodity Description","2023 Oct"
"PHILIPPINES","0 - ALL ITEMS",123.7000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",126.7000000000000
"PHILIPPINES","01.1 - FOOD",127.4000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",113.1000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",108.1220894143960
"PHILIPPINES","01.1.1.12 - Rice",106.5956570355020
"PHILIPPINES","01.1.1.16 - Corn",136.1733875910540
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",128.6761234129270
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",124.5051940965480
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",129.0571265500180
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",120.7501570735270
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",126.8883552671120
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",131.6306935013810
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",131.7000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",134.0478880264430
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",129.6232987396800
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",140.4941159023860
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",123.2217165773890
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",133.5000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",132.8585051279270
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",149.5297743608130
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",128.5777440634320
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",129.2190874153060
