"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Basilan","0 - ALL ITEMS",129.6000000000000,130.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",136.3000000000000,134.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1 - FOOD",138.3000000000000,135.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.1 - Cereals and cereal products (ND)",134.3000000000000,136.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.1.1 - Cereals (ND)",134.6127118858250,138.1298754340930,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.1.12 - Rice",134.6127118858250,138.1298754340930,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.1.16 - Corn",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",133.1189897041690,132.5597547380990,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.1.2 - Flour of cereals (ND)",126.1014041576900,126.1014041576900,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.1.3 - Bread and bakery products (ND)",140.0720761196120,141.0977885340550,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",129.0932009451030,128.9297362102860,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.1.9 - Other cereal and grain mill products (ND)",124.1876236672300,119.2701652326620,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.2 - Meat and other parts of slaughtered land animals (ND)",107.8000000000000,104.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",107.0085068036060,102.8190718556270,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",111.3658358664930,111.6930919986490,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.3 - Fish and other seafood (ND)",129.7000000000000,123.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",125.0723341635240,116.9666952482660,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",156.7083055764310,156.0930380740280,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.3.3 - Fish preparations (ND)",123.8759505162160,122.6776603844600,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",147.6757686045710,149.8230521642480,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.3.6 - Other seafood preparations (ND)",118.8526293909790,127.6477239659120,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.4 - Milk, other dairy products and eggs (ND)",124.1000000000000,127.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.4.3 - Other milk and cream (ND)",101.9392564673150,101.9963943852950,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.4.5 - Cheese (ND)",118.1873370416870,118.4371639329940,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.4.8 - Eggs (ND)",146.4930239114250,153.6058373948500,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.5 - Oils and fats (ND)",122.0000000000000,121.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.5.1 - Vegetable oils (ND)",130.3128483006990,130.4691850033910,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.5.3 - Margarine and similar preparations (ND)",106.3445179518020,105.0851364392910,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.6 - Fruits and nuts (ND)",155.2000000000000,150.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",155.9538733874390,151.4064636648780,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.6.2 - Citrus fruits, fresh (ND)",73.2426798867654,74.1742837607819,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.6.8 - Nuts, in shell or shelled (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",187.1000000000000,170.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",147.7437764295490,153.7378903948700,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",155.7585245494850,146.6719924117620,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",215.7571187003520,234.7872911044930,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.7.4 - Other vegetables, fresh or chilled (ND)",425.2442782557570,360.6385839211790,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",51.6992528993933,48.0602741190962,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.8 - Sugar, confectionery and desserts (ND)",132.3000000000000,126.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.8.1 - Cane and beet sugar (ND)",140.1534822919990,131.5065210770370,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",109.1860597764090,114.9326945014830,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.8.6 - Ice, ice cream and sorbet (ND)",109.9483160942210,109.9483160942210,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",109.9963413759730,111.3525332699360,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.9 - Ready-made food and other food products n.e.c. (ND)",144.3000000000000,146.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.9.2 - Baby food (ND)",121.0146395214970,121.5732634724930,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.9.3 - Salt, condiments and sauces (ND)",124.4809319580130,125.2708467807630,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.9.4 - Spices, culinary herbs and seeds (ND)",176.7541779904770,180.7897809132980,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.9.9 - Other food products n.e.c. (ND)",141.9135382074260,142.3799553036700,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.2 - NON-ALCOHOLIC BEVERAGES",112.2000000000000,115.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.2.1 - Fruit and vegetable juices (ND)",113.6000000000000,118.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.2.1.0 - Fruit and vegetable juices (ND)",113.6162412240980,118.4156091627230,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.2.2 - Coffee and coffee substitutes (ND)",108.6000000000000,111.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.2.2.0 - Coffee and coffee substitutes (ND)",108.5704557269090,111.3820398514610,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.2.3 - Tea, maté and other plant products for infusion (ND)",105.8000000000000,108.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",105.8398208280690,108.6279994718830,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.2.4 - Cocoa drinks (ND)",118.0000000000000,120.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.2.4.0 - Cocoa drinks (ND)",118.0379746835440,120.1609598397230,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.2.5 - Water (ND)",100.0000000000000,100.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.2.5.0 - Water (ND)",100.0000000000000,100.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.2.6 - Soft drinks (ND)",118.8000000000000,120.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.2.6.0 - Soft drinks (ND)",118.7572593605500,120.6823345367550,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.2.9 - Other non-alcoholic beverages (ND)",111.7000000000000,118.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.2.9.0 - Other non-alcoholic beverages (ND)",111.6849031286550,118.4597285376520,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02 - ALCOHOLIC BEVERAGES AND TOBACCO",143.3000000000000,143.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.1 - ALCOHOLIC BEVERAGES",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.1.1 - Spirits and liquors (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.1.1.0 - Spirits and liquors (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.1.2 - Wine (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.1.2.1 - Wine from grapes (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.1.2.2 - Wine from other sources (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.1.3 - Beer (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.1.3.0 - Beer (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.3 - TOBACCO",143.3000000000000,143.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.3.0 - Tobacco (ND)",143.3000000000000,143.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.3.0.1 - Cigarettes (ND)",143.2858602889000,143.4412454365620,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.3.0.2 - Cigars (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.3.0.9 - Other tobacco products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.4.0 - Other vegetable-based tobacco products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.4.0.0 - Other vegetable-based tobacco products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","02.900 - NON-FOOD",119.1000000000000,125.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","03 - CLOTHING AND FOOTWEAR",113.3000000000000,113.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","03.1 - CLOTHING",112.0000000000000,112.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","03.1.1 - Clothing materials (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","03.1.1.0 - Clothing materials (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","03.1.2 - Garments (SD)",112.1000000000000,112.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","03.1.2.1 - Garments for men or boys (SD)",112.2399174741930,111.9999249511120,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","03.1.2.2 - Garments for women or girls (SD)",111.2408598901980,111.9307662301460,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",121.6363577584300,125.2590380804320,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","03.1.2.4 - School uniforms (SD)",121.1230835546330,121.5845064962380,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","03.1.3 - Other articles of clothing and clothing accessories (SD)",111.8000000000000,114.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","03.1.3.1 - Other articles of clothing (SD)",111.8638035354140,114.3907936884570,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","03.1.3.2 - Clothing accessories (SD)",109.6142899844260,107.1028804441240,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",100.0000000000000,100.0000000000000,..,..,..,..,..,..,..,..,..,..,..
