"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....City of Olongapo","0 - ALL ITEMS",127.6000000000000,129.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",128.6000000000000,129.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1 - FOOD",129.1000000000000,129.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1 - Cereals and cereal products (ND)",126.9000000000000,127.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.1 - Cereals (ND)",117.1282978049690,118.1040440677440,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.12 - Rice",116.7096228367130,117.6111362788370,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.16 - Corn",142.0494306541400,147.4437978651050,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",143.4561350613000,144.3658495469710,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.2 - Flour of cereals (ND)",165.7056636309750,165.7056636309750,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.3 - Bread and bakery products (ND)",150.5106139344870,151.8885216230810,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.4 - Breakfast cereals (ND)",129.8429005735850,130.2921839665730,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",133.1111285340270,133.4309268540800,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.1.9 - Other cereal and grain mill products (ND)",128.9101515897800,129.0567931602040,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.2 - Meat and other parts of slaughtered land animals (ND)",133.8000000000000,134.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",134.2244443429120,134.4811032000760,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",131.7825147702700,130.7337767579770,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",132.7777428813080,133.3131245445620,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.3 - Fish and other seafood (ND)",131.2000000000000,133.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",135.0864272537760,138.9203702643030,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",127.3041604749260,127.9421113477380,..,..,..,..,..,..,..,..,..,..,..
"....City of Olongapo","01.1.3.3 - Fish preparations (ND)",124.9252277639180,124.9332903629110,..,..,..,..,..,..,..,..,..,..,..
