"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Northern Samar","0 - ALL ITEMS",125.4000000000000,124.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",123.1000000000000,121.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1 - FOOD",124.0000000000000,122.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1 - Cereals and cereal products (ND)",109.5000000000000,109.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1.1 - Cereals (ND)",105.5909401345500,106.1210027063750,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1.12 - Rice",105.5084536619920,106.0391942814940,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1.16 - Corn",170.0745941202280,170.0745941202280,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",125.2011178907310,125.2027103717140,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1.2 - Flour of cereals (ND)",117.2784366953000,117.4187219568090,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1.3 - Bread and bakery products (ND)",127.4554823753970,127.4554823753970,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1.4 - Breakfast cereals (ND)",112.7525555240730,112.7525555240730,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",118.3093284864870,118.3093284864870,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1.9 - Other cereal and grain mill products (ND)",125.4882454673880,125.4882454673880,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.2 - Meat and other parts of slaughtered land animals (ND)",119.6000000000000,114.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",124.4859333724770,118.3872332747270,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",114.4575089275710,109.9996706299240,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",100.1893837957210,100.1575159324830,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.3 - Fish and other seafood (ND)",145.6000000000000,143.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",149.3825300434580,146.1792910086210,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",144.1971888579780,147.8383327756820,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.3.3 - Fish preparations (ND)",132.5311135542530,132.5311135542530,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",134.8235010694540,131.8085398835620,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.3.6 - Other seafood preparations (ND)",112.8571428571430,112.8571428571430,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4 - Milk, other dairy products and eggs (ND)",148.3000000000000,148.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4.3 - Other milk and cream (ND)",143.1242587823820,143.1242587823820,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4.5 - Cheese (ND)",145.9547158927030,149.7404095760020,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4.8 - Eggs (ND)",155.0083499082480,155.0083499082480,..,..,..,..,..,..,..,..,..,..,..
