"Geolocation","Description","2019 Jan","2019 Feb","2019 Mar","2019 Apr","2019 May","2019 Jun","2019 Jul","2019 Aug","2019 Sep","2019 Oct","2019 Nov","2019 Dec","2019 Ave"
"PHILIPPINES","Purchasing Power of Peso",0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.98
"..National Capital Region (NCR)","Purchasing Power of Peso",0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.96,0.98
"..Areas Outside National Capital Region (NCR)","Purchasing Power of Peso",0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.98
"..Cordillera Administrative Region (CAR)","Purchasing Power of Peso",0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.96,0.98
"....Abra","Purchasing Power of Peso",0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.97
"....Benguet","Purchasing Power of Peso",1.00,1.00,1.00,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.99
"....Ifugao","Purchasing Power of Peso",0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.96,0.95,0.95,0.96
"....Kalinga","Purchasing Power of Peso",0.98,0.97,0.97,0.98,0.97,0.97,0.97,0.96,0.97,0.96,0.96,0.95,0.97
"....Mountain Province","Purchasing Power of Peso",0.99,0.98,0.98,0.98,0.98,0.97,0.96,0.96,0.96,0.96,0.95,0.95,0.97
"....Apayao","Purchasing Power of Peso",0.96,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96
"....City of Baguio","Purchasing Power of Peso",0.99,0.99,0.99,0.98,0.98,0.99,0.98,0.98,0.98,0.98,0.97,0.97,0.98
"..Region I (Ilocos Region)","Purchasing Power of Peso",0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.98
"....Ilocos Norte","Purchasing Power of Peso",0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97
"....Ilocos Sur","Purchasing Power of Peso",1.00,1.00,1.00,0.99,0.98,0.99,0.98,0.98,0.97,0.97,0.97,0.96,0.98
"....La Union","Purchasing Power of Peso",0.99,0.99,0.99,1.00,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.99
"....Pangasinan","Purchasing Power of Peso",0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.98
"..Region II (Cagayan Valley)","Purchasing Power of Peso",0.98,0.98,0.99,0.98,0.98,0.98,0.97,0.98,0.97,0.97,0.97,0.96,0.98
"....Batanes","Purchasing Power of Peso",0.97,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97
