"Geolocation","Description","2021 Jan","2021 Feb","2021 Mar","2021 Apr","2021 May","2021 Jun","2021 Jul","2021 Aug","2021 Sep","2021 Oct","2021 Nov","2021 Dec","2021 Ave"
"PHILIPPINES","Purchasing Power of Peso",0.92,0.92,0.92,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.91,0.90,0.92
"..National Capital Region (NCR)","Purchasing Power of Peso",0.93,0.94,0.94,0.95,0.94,0.94,0.94,0.93,0.94,0.93,0.93,0.92,0.94
"..Areas Outside National Capital Region (NCR)","Purchasing Power of Peso",0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.91,0.91,0.91,0.90,0.90,0.91
"..Cordillera Administrative Region (CAR)","Purchasing Power of Peso",0.93,0.93,0.93,0.94,0.94,0.94,0.93,0.92,0.91,0.90,0.90,0.90,0.92
"....Abra","Purchasing Power of Peso",0.92,0.93,0.94,0.93,0.93,0.93,0.93,0.92,0.91,0.91,0.91,0.91,0.92
"....Benguet","Purchasing Power of Peso",0.95,0.95,0.95,0.95,0.96,0.95,0.95,0.93,0.92,0.90,0.89,0.89,0.93
"....Ifugao","Purchasing Power of Peso",0.92,0.90,0.91,0.92,0.92,0.91,0.90,0.90,0.89,0.89,0.88,0.88,0.90
"....Kalinga","Purchasing Power of Peso",0.92,0.91,0.91,0.92,0.92,0.91,0.91,0.90,0.89,0.90,0.89,0.89,0.91
"....Mountain Province","Purchasing Power of Peso",0.89,0.89,0.90,0.90,0.90,0.90,0.90,0.90,0.89,0.88,0.88,0.87,0.89
"....Apayao","Purchasing Power of Peso",0.93,0.93,0.93,0.94,0.94,0.94,0.93,0.92,0.92,0.92,0.92,0.92,0.93
"....City of Baguio","Purchasing Power of Peso",0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.93
"..Region I (Ilocos Region)","Purchasing Power of Peso",0.93,0.92,0.93,0.92,0.93,0.93,0.92,0.91,0.91,0.91,0.90,0.91,0.92
"....Ilocos Norte","Purchasing Power of Peso",0.92,0.93,0.93,0.93,0.93,0.93,0.92,0.91,0.91,0.91,0.90,0.91,0.92
