"Geolocation","Commodity Description","2021 Jan","2021 Feb","2021 Mar","2021 Apr","2021 May","2021 Jun","2021 Jul","2021 Aug","2021 Sep","2021 Oct","2021 Nov","2021 Dec","2021 Ave"
"....Ilocos Sur","0 - ALL ITEMS",4.1,3.8,4.1,4.0,4.0,3.8,4.0,4.4,3.9,3.8,3.6,3.1,3.9
"....Ilocos Sur","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",5.9,4.8,3.5,2.8,2.3,2.2,1.8,4.0,4.7,4.4,3.9,2.1,3.5
"....Ilocos Sur","01.1 - FOOD",7.4,6.0,4.4,3.4,2.8,2.6,2.1,4.9,5.8,5.2,4.7,2.4,4.3
"....Ilocos Sur","01.1.1 - Cereals and cereal products (ND)",4.2,3.0,2.9,1.7,1.5,2.1,1.1,1.0,1.3,1.3,1.4,1.4,1.9
"....Ilocos Sur","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",4.3,2.9,2.9,1.7,1.5,2.1,1.2,1.1,1.3,1.3,1.4,1.4,1.9
"....Ilocos Sur","01.1.1.2 - Flour of cereals (ND)",2.2,2.0,2.0,1.9,1.9,3.8,3.8,1.9,1.9,1.9,2.1,2.1,2.3
"....Ilocos Sur","01.1.1.3 - Bread and bakery products (ND)",6.0,4.4,4.4,2.7,2.7,3.0,0.6,0.4,0.7,0.7,0.8,0.8,2.2
"....Ilocos Sur","01.1.1.4 - Breakfast cereals (ND)",4.6,4.6,4.7,2.5,2.7,2.7,4.1,4.1,5.4,5.4,5.4,6.1,4.3
"....Ilocos Sur","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",2.6,1.4,1.1,0.7,-0.4,0.4,1.1,1.1,1.2,1.2,1.3,1.5,1.1
"....Ilocos Sur","01.1.1.9 - Other cereal and grain mill products (ND)",0.7,0.1,0.1,-0.3,-0.3,1.4,3.4,3.4,3.4,3.4,3.4,3.4,1.8
"....Ilocos Sur","01.1.2 - Meat and other parts of slaughtered land animals (ND)",2.9,2.4,2.6,2.1,2.8,4.2,3.1,3.1,3.3,2.4,1.8,2.1,2.7
"....Ilocos Sur","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",0.3,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
"....Ilocos Sur","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",1.6,5.7,6.1,9.4,23.6,27.8,23.2,23.2,26.9,22.7,22.7,26.9,18.3
"....Ilocos Sur","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",2.9,2.2,2.4,1.6,1.7,2.9,2.0,2.0,2.0,1.4,0.7,0.7,1.9
"....Ilocos Sur","01.1.3 - Fish and other seafood (ND)",10.1,8.4,8.9,14.2,14.6,9.5,5.8,6.5,6.6,6.3,7.2,7.8,8.7
"....Ilocos Sur","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",2.2,2.4,3.8,4.0,4.0,4.4,9.8,8.0,6.9,6.8,7.3,7.3,5.6
"....Ilocos Sur","01.1.3.3 - Fish preparations (ND)",8.5,8.5,6.2,6.1,6.2,3.2,1.4,1.8,1.8,1.9,1.9,2.5,4.1
"....Ilocos Sur","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",15.5,10.4,14.4,30.6,32.1,21.4,11.1,12.7,13.1,12.6,14.8,15.5,16.7
"....Ilocos Sur","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.4 - Milk, other dairy products and eggs (ND)",4.7,4.7,5.2,4.5,4.6,4.2,2.2,5.1,4.6,4.6,4.7,4.9,4.5
"....Ilocos Sur","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.4.3 - Other milk and cream (ND)",0.3,0.3,0.3,0.0,0.0,1.9,1.9,1.9,1.9,1.9,2.0,2.7,1.3
"....Ilocos Sur","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.4.5 - Cheese (ND)",4.3,4.3,6.3,5.3,6.7,7.7,7.9,7.9,7.9,7.9,7.9,7.9,6.9
"....Ilocos Sur","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.4.8 - Eggs (ND)",9.0,9.0,10.0,8.9,8.9,6.4,2.1,8.0,7.0,7.0,7.0,7.0,7.5
"....Ilocos Sur","01.1.5 - Oils and fats (ND)",1.5,0.7,0.8,0.8,0.9,1.1,1.8,2.6,3.5,3.5,3.5,3.6,2.1
"....Ilocos Sur","01.1.5.1 - Vegetable oils (ND)",1.3,0.8,0.8,0.8,1.1,1.1,1.9,3.2,4.1,4.1,4.1,4.3,2.3
"....Ilocos Sur","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.5.3 - Margarine and similar preparations (ND)",2.1,0.6,0.6,0.6,0.6,1.4,1.4,0.8,1.5,1.5,1.5,1.5,1.2
"....Ilocos Sur","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.6 - Fruits and nuts (ND)",-1.1,0.0,-2.5,-3.8,-4.5,-6.7,-9.7,-6.5,-8.8,-8.9,-6.6,-5.6,-5.4
"....Ilocos Sur","01.1.6.2 - Citrus fruits, fresh (ND)",-1.5,3.0,6.0,2.9,0.1,-3.5,-10.5,1.2,-5.1,-4.5,1.4,2.2,-0.7
"....Ilocos Sur","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",-10.0,-13.8,-31.6,-32.0,-29.8,-34.6,-34.6,-37.9,-37.9,-40.0,-41.1,-38.9,-31.7
"....Ilocos Sur","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.6.8 - Nuts, in shell or shelled (ND)",4.1,4.1,3.4,2.3,0.0,0.0,0.0,-1.3,-1.3,0.0,0.0,0.0,0.9
"....Ilocos Sur","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",2.8,2.8,2.8,2.7,3.5,3.8,1.8,2.1,2.3,2.3,2.3,2.3,2.6
"....Ilocos Sur","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",29.7,25.9,8.7,2.0,-5.1,-7.3,-1.4,20.5,32.1,28.8,19.8,-6.7,11.7
"....Ilocos Sur","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",29.0,24.2,9.5,7.5,-2.1,-3.7,4.7,26.4,37.5,30.1,20.2,-9.2,14.0
"....Ilocos Sur","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",47.4,30.9,4.2,-0.1,-0.3,17.1,8.5,46.9,31.1,20.5,-2.7,-14.7,14.3
"....Ilocos Sur","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",29.7,32.9,5.0,-21.6,-21.1,-28.9,-31.4,-11.8,5.0,24.2,23.6,7.6,0.2
"....Ilocos Sur","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.8 - Sugar, confectionery and desserts (ND)",-0.4,-1.0,-0.8,-0.9,-0.8,1.1,1.4,1.4,1.4,1.4,1.4,1.5,0.5
