"Geolocation","Commodity Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"....Abra","0 - ALL ITEMS",1.4,1.4,1.7,1.8,2.3,2.7,3.7,3.7,3.3,3.6,4.6,5.4,3.0
"....Abra","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",0.6,0.2,1.5,1.8,2.6,2.8,4.6,4.7,4.1,4.7,6.0,7.7,3.4
"....Abra","01.1 - FOOD",0.5,0.0,1.6,1.7,2.8,2.9,5.0,5.2,4.4,5.1,6.7,8.4,3.7
"....Abra","01.1.1 - Cereals and cereal products (ND)",2.8,2.6,2.5,2.2,2.4,2.8,2.9,3.3,3.0,2.8,2.7,3.0,2.8
"....Abra","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",2.8,2.7,2.5,2.2,2.4,2.8,2.9,3.3,3.1,2.9,2.7,3.1,2.8
"....Abra","01.1.1.2 - Flour of cereals (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....Abra","01.1.1.3 - Bread and bakery products (ND)",2.0,1.5,1.2,1.0,1.1,1.3,0.4,0.6,0.4,0.5,0.3,0.6,0.9
"....Abra","01.1.1.4 - Breakfast cereals (ND)",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"....Abra","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",2.1,2.2,2.3,2.4,2.7,3.5,5.1,6.7,6.8,6.2,6.3,6.9,4.5
"....Abra","01.1.1.9 - Other cereal and grain mill products (ND)",6.6,7.1,7.1,5.7,6.0,6.2,6.9,6.3,5.5,5.2,4.4,4.6,6.0
"....Abra","01.1.2 - Meat and other parts of slaughtered land animals (ND)",2.9,2.4,2.5,2.2,2.5,2.7,8.3,9.3,8.8,9.2,9.5,11.1,6.0
"....Abra","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",-2.2,-1.1,-1.1,0.0,0.0,0.0,13.0,15.6,15.6,15.6,16.7,20.0,7.6
"....Abra","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",4.4,3.3,3.5,2.8,3.1,3.5,7.1,7.6,6.9,7.4,7.6,8.8,5.5
"....Abra","01.1.3 - Fish and other seafood (ND)",4.1,4.3,4.3,1.0,1.6,2.4,5.6,6.3,7.0,7.0,6.2,6.5,4.7
"....Abra","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",11.6,11.6,11.6,9.3,9.3,9.3,12.3,12.3,7.9,7.9,1.2,1.2,8.6
"....Abra","01.1.3.3 - Fish preparations (ND)",-0.3,0.6,1.4,1.8,2.0,2.1,4.7,5.3,5.2,6.2,5.9,6.9,3.5
"....Abra","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",3.6,2.7,2.0,-6.7,-4.8,-3.2,1.0,1.8,7.5,6.3,10.3,10.0,2.3
"....Abra","01.1.3.6 - Other seafood preparations (ND)",0.4,1.2,1.9,3.0,4.2,7.7,12.9,17.7,20.1,20.1,20.1,20.1,10.8
"....Abra","01.1.4 - Milk, other dairy products and eggs (ND)",1.7,0.7,1.0,1.2,0.5,0.7,4.3,7.0,7.8,9.6,9.8,9.8,4.5
"....Abra","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","01.1.4.3 - Other milk and cream (ND)",1.0,1.2,1.8,2.2,2.6,3.2,5.2,4.9,4.3,4.7,5.5,5.5,3.5
"....Abra","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","01.1.4.5 - Cheese (ND)",4.5,4.5,4.5,5.4,6.7,7.7,8.9,5.3,5.3,6.2,5.7,6.9,6.0
"....Abra","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","01.1.4.8 - Eggs (ND)",1.8,0.2,0.3,0.4,-1.2,-1.1,3.4,8.5,10.3,12.8,12.8,12.8,5.1
"....Abra","01.1.5 - Oils and fats (ND)",3.3,3.5,3.6,3.8,4.1,4.5,5.6,5.6,4.9,5.0,4.5,4.8,4.4
"....Abra","01.1.5.1 - Vegetable oils (ND)",2.3,2.5,2.7,2.9,3.2,3.5,5.0,5.9,5.1,5.3,5.0,4.9,4.0
"....Abra","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","01.1.5.3 - Margarine and similar preparations (ND)",5.5,5.5,5.5,5.5,6.1,6.7,7.0,4.7,4.5,4.2,3.4,4.5,5.2
"....Abra","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
