"Geolocation","Commodity Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"....City of Baguio","0 - ALL ITEMS",1.3,1.3,1.6,1.5,1.9,2.2,3.0,2.9,3.0,3.9,4.4,4.5,2.6
"....City of Baguio","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",3.4,5.0,6.9,8.5,10.4,11.4,10.3,9.0,7.9,9.3,13.6,15.3,9.3
"....City of Baguio","01.1 - FOOD",3.8,5.7,7.9,9.7,11.9,12.9,11.7,9.9,8.6,10.1,15.1,17.0,10.4
"....City of Baguio","01.1.1 - Cereals and cereal products (ND)",1.9,2.3,2.6,3.0,3.7,4.6,4.5,5.3,6.5,7.9,8.3,9.1,5.0
"....City of Baguio","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",2.0,2.4,2.6,3.0,3.7,4.6,4.5,5.3,6.5,7.9,8.3,9.1,5.0
"....City of Baguio","01.1.1.2 - Flour of cereals (ND)",1.8,3.0,4.3,4.9,5.1,6.9,8.1,8.9,9.9,10.7,11.8,11.4,7.2
"....City of Baguio","01.1.1.3 - Bread and bakery products (ND)",2.5,2.8,3.1,3.7,4.5,5.3,5.5,5.6,6.6,8.5,9.2,10.1,5.6
"....City of Baguio","01.1.1.4 - Breakfast cereals (ND)",-3.1,-4.0,-5.7,-7.2,-9.4,-9.2,-11.2,-9.5,-6.8,-8.3,-8.3,-7.5,-7.5
"....City of Baguio","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",4.2,4.7,5.1,5.4,6.8,7.6,6.8,6.6,5.5,5.3,5.1,5.4,5.7
"....City of Baguio","01.1.1.9 - Other cereal and grain mill products (ND)",-3.2,-1.7,-2.1,-1.7,-0.8,0.4,0.7,7.8,13.2,16.4,15.8,17.2,5.1
"....City of Baguio","01.1.2 - Meat and other parts of slaughtered land animals (ND)",8.2,8.1,8.0,9.0,9.5,10.0,8.7,8.7,7.8,9.3,9.0,9.0,8.8
"....City of Baguio","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",-0.1,-6.2,-10.2,-6.2,-4.6,-7.0,-13.9,1.8,5.1,5.1,-0.8,-4.8,-3.8
"....City of Baguio","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",8.9,9.3,9.5,10.2,10.5,11.3,10.5,9.2,7.9,9.6,9.8,10.1,9.7
"....City of Baguio","01.1.3 - Fish and other seafood (ND)",12.7,14.8,20.2,19.9,21.4,21.6,23.1,21.5,20.3,17.7,13.7,10.5,18.0
"....City of Baguio","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",-1.6,-0.2,3.9,4.4,6.7,6.9,5.3,14.5,13.7,9.9,9.8,10.7,6.9
