"Geolocation","Commodity Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"..Cordillera Administrative Region (CAR)","0 - ALL ITEMS",2.4,2.4,2.8,3.0,3.5,3.9,4.4,4.7,4.7,4.9,5.7,6.1,4.1
"..Cordillera Administrative Region (CAR)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",1.2,1.5,3.1,4.8,6.5,7.4,7.1,6.4,5.9,7.5,10.5,13.0,6.3
"..Cordillera Administrative Region (CAR)","01.1 - FOOD",1.2,1.5,3.4,5.3,7.3,8.2,7.8,6.8,6.2,7.9,11.6,14.2,6.8
"..Cordillera Administrative Region (CAR)","01.1.1 - Cereals and cereal products (ND)",2.2,2.2,2.4,2.7,3.2,3.9,4.5,5.4,6.5,7.6,8.1,8.6,4.8
"..Cordillera Administrative Region (CAR)","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",2.1,2.2,2.4,2.6,3.2,3.9,4.6,5.5,6.4,7.5,8.1,8.5,4.8
"..Cordillera Administrative Region (CAR)","01.1.1.2 - Flour of cereals (ND)",1.4,2.1,3.5,4.3,5.7,7.2,8.4,9.0,10.8,13.9,16.3,16.9,8.3
"..Cordillera Administrative Region (CAR)","01.1.1.3 - Bread and bakery products (ND)",2.2,2.2,2.4,2.6,3.3,3.9,4.8,5.6,6.8,8.0,8.5,8.9,4.9
"..Cordillera Administrative Region (CAR)","01.1.1.4 - Breakfast cereals (ND)",-1.6,-2.1,-3.6,-4.8,-6.3,-6.4,-8.8,-7.4,-5.8,-6.8,-7.2,-6.9,-5.6
"..Cordillera Administrative Region (CAR)","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",2.0,2.0,2.7,3.1,3.7,4.4,4.8,5.3,5.1,5.7,6.5,6.9,4.4
"..Cordillera Administrative Region (CAR)","01.1.1.9 - Other cereal and grain mill products (ND)",3.1,3.1,2.5,2.2,2.4,2.9,3.4,5.8,6.8,7.8,7.6,7.9,4.6
"..Cordillera Administrative Region (CAR)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",5.7,4.6,3.7,3.9,4.3,4.4,4.8,4.9,4.6,5.2,5.6,5.6,4.8
"..Cordillera Administrative Region (CAR)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",10.8,6.9,4.2,5.2,6.3,5.6,8.3,10.9,9.2,7.9,9.5,8.2,7.7
"..Cordillera Administrative Region (CAR)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",5.3,4.3,3.6,3.8,4.1,4.4,4.5,4.4,4.1,5.0,5.3,5.5,4.5
"..Cordillera Administrative Region (CAR)","01.1.3 - Fish and other seafood (ND)",6.9,7.9,10.6,10.4,11.4,12.0,12.9,12.3,12.9,12.1,10.1,9.8,10.8
"..Cordillera Administrative Region (CAR)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",7.5,8.5,10.8,11.1,12.7,13.2,12.4,13.2,13.2,10.9,8.6,9.4,10.9
"..Cordillera Administrative Region (CAR)","01.1.3.3 - Fish preparations (ND)",0.7,0.7,2.2,2.7,3.7,4.6,5.9,7.4,8.7,9.5,9.1,8.6,5.3
"..Cordillera Administrative Region (CAR)","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",15.5,18.1,23.1,20.7,21.2,21.6,24.3,18.4,19.1,17.8,13.8,12.3,18.7
"..Cordillera Administrative Region (CAR)","01.1.3.6 - Other seafood preparations (ND)",4.1,4.3,4.5,4.5,4.6,5.3,4.1,4.4,4.6,4.5,4.1,4.9,4.5
"..Cordillera Administrative Region (CAR)","01.1.4 - Milk, other dairy products and eggs (ND)",-1.1,-1.3,-0.9,-0.8,-0.7,0.5,2.3,3.5,4.7,7.9,9.2,10.0,2.7
"..Cordillera Administrative Region (CAR)","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","01.1.4.3 - Other milk and cream (ND)",0.4,0.3,0.7,1.1,1.6,2.7,4.0,4.0,4.1,5.3,5.8,6.5,3.0
