"Geolocation","Commodity Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"....Iloilo","0 - ALL ITEMS",1.7,1.7,1.9,1.9,3.6,3.0,4.1,4.5,5.1,6.3,6.4,6.8,3.9
"....Iloilo","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",2.6,2.3,3.1,3.0,4.6,5.4,7.2,8.3,8.8,10.1,11.5,12.3,6.6
"....Iloilo","01.1 - FOOD",3.5,3.1,3.9,3.6,5.4,6.2,8.4,9.4,10.1,11.5,12.6,13.3,7.6
"....Iloilo","01.1.1 - Cereals and cereal products (ND)",5.0,4.9,5.2,5.3,6.0,6.4,9.0,9.9,9.8,10.0,10.1,10.1,7.7
"....Iloilo","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",5.0,4.9,5.3,5.4,6.0,6.3,9.0,10.0,9.8,10.0,10.0,10.1,7.7
"....Iloilo","01.1.1.2 - Flour of cereals (ND)",-1.5,-1.5,1.3,1.3,1.2,1.5,1.2,1.2,0.1,0.5,-0.4,0.2,0.4
"....Iloilo","01.1.1.3 - Bread and bakery products (ND)",4.7,4.7,5.0,4.8,5.7,5.6,8.3,8.6,8.2,8.1,8.6,8.8,6.8
"....Iloilo","01.1.1.4 - Breakfast cereals (ND)",-5.8,-4.5,-6.1,-6.1,-5.4,-5.9,-6.8,-7.9,-4.1,-5.6,-7.6,-7.8,-6.1
"....Iloilo","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",9.8,9.4,10.2,11.1,11.0,12.0,14.4,15.4,14.9,16.4,14.8,14.2,12.8
"....Iloilo","01.1.1.9 - Other cereal and grain mill products (ND)",0.4,0.3,0.6,1.0,1.4,2.9,7.1,12.1,13.2,12.7,13.2,13.4,6.5
"....Iloilo","01.1.2 - Meat and other parts of slaughtered land animals (ND)",7.5,6.5,7.6,6.8,7.0,6.6,6.9,7.5,4.7,5.1,5.2,6.3,6.5
"....Iloilo","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Iloilo","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",20.0,20.7,24.4,21.0,21.8,20.1,21.3,21.5,5.0,10.2,7.3,6.6,16.3
"....Iloilo","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",6.1,4.9,5.7,5.2,5.3,5.0,5.3,5.9,4.7,4.6,4.9,6.2,5.3
"....Iloilo","01.1.3 - Fish and other seafood (ND)",11.8,6.5,10.2,7.6,6.7,7.6,9.4,5.2,5.1,6.4,3.8,3.0,6.9
"....Iloilo","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",4.3,5.4,5.7,6.7,6.6,10.2,12.0,9.8,13.2,14.8,12.1,13.5,9.5
"....Iloilo","01.1.3.3 - Fish preparations (ND)",5.1,4.7,6.9,7.3,7.5,8.8,8.5,9.2,8.2,10.1,9.7,9.7,8.0
"....Iloilo","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",21.5,8.5,16.1,8.7,6.7,5.1,8.1,-0.5,-2.5,-1.8,-5.0,-7.5,4.5
"....Iloilo","01.1.3.6 - Other seafood preparations (ND)",-4.5,-3.1,-6.4,-13.6,-10.2,-4.7,-2.8,-9.1,-2.8,-2.8,-4.1,-1.4,-5.5
"....Iloilo","01.1.4 - Milk, other dairy products and eggs (ND)",0.8,0.0,0.3,0.5,1.6,3.2,4.9,7.9,10.0,11.2,9.7,9.5,4.9
"....Iloilo","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Iloilo","01.1.4.3 - Other milk and cream (ND)",1.2,0.9,1.4,1.1,0.5,-0.7,-0.6,-0.8,0.0,0.5,1.9,2.4,0.6
"....Iloilo","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Iloilo","01.1.4.5 - Cheese (ND)",0.4,0.6,0.5,0.5,0.5,0.8,0.8,0.8,2.3,6.0,10.3,11.3,2.9
"....Iloilo","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Iloilo","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Iloilo","01.1.4.8 - Eggs (ND)",0.0,-1.4,-1.3,-0.3,3.3,9.6,13.8,22.3,26.3,28.4,21.1,19.8,11.4
"....Iloilo","01.1.5 - Oils and fats (ND)",4.5,4.2,5.6,5.9,7.2,8.4,10.5,11.9,13.3,14.4,15.0,18.0,10.0
"....Iloilo","01.1.5.1 - Vegetable oils (ND)",5.3,4.8,6.5,7.0,8.2,10.0,12.9,14.6,16.0,17.2,16.9,20.6,11.7
"....Iloilo","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",2.4,2.4,1.8,1.8,1.9,0.8,-1.2,-1.2,-0.9,-0.9,3.1,4.5,1.2
"....Iloilo","01.1.5.3 - Margarine and similar preparations (ND)",2.2,2.2,2.8,2.8,4.6,4.7,4.5,4.9,6.4,8.1,10.7,11.2,5.4
"....Iloilo","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Iloilo","01.1.6 - Fruits and nuts (ND)",0.4,9.8,11.8,14.8,17.8,18.3,18.3,18.5,19.2,17.1,20.2,25.0,15.9
"....Iloilo","01.1.6.2 - Citrus fruits, fresh (ND)",-8.7,-6.4,5.4,7.5,8.4,2.8,4.9,0.8,7.1,7.1,8.5,14.4,4.1
"....Iloilo","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",22.0,4.6,-3.3,12.2,23.3,24.6,32.4,39.3,46.7,20.1,18.5,24.6,21.8
"....Iloilo","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Iloilo","01.1.6.7 - Fruit, dried and dehydrated (ND)",33.4,12.7,15.5,16.0,22.0,27.2,34.1,39.3,41.2,42.3,41.5,38.3,30.5
"....Iloilo","01.1.6.8 - Nuts, in shell or shelled (ND)",2.1,27.5,24.2,26.9,30.3,33.4,29.8,33.2,28.0,26.3,33.8,40.0,27.9
"....Iloilo","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",0.8,0.8,2.0,3.3,4.9,8.3,9.2,9.0,10.5,11.0,10.8,10.9,6.8
"....Iloilo","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",-2.7,-1.2,-2.3,-3.4,7.1,4.2,6.8,6.3,4.1,4.4,8.4,11.2,3.4
"....Iloilo","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",-3.3,0.9,-3.4,-4.8,7.4,3.0,5.8,5.9,3.7,3.7,9.7,11.1,3.2
"....Iloilo","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",18.5,25.9,23.0,4.9,16.0,16.6,11.1,1.2,17.6,11.5,-14.4,-0.4,9.9
"....Iloilo","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",-1.9,-10.9,0.1,1.3,5.7,8.6,10.2,8.3,4.5,6.0,5.2,12.4,3.8
"....Iloilo","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",-2.0,-2.1,-1.3,-0.7,0.0,3.8,7.4,8.4,12.7,11.6,11.6,13.9,5.2
"....Iloilo","01.1.8 - Sugar, confectionery and desserts (ND)",2.0,6.6,7.9,8.3,12.1,15.3,24.0,34.1,40.3,50.9,63.1,67.6,27.8
"....Iloilo","01.1.8.1 - Cane and beet sugar (ND)",2.0,9.6,11.8,12.3,17.9,22.3,34.5,48.3,56.2,69.3,86.2,92.1,38.7
"....Iloilo","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Iloilo","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",4.2,3.4,2.2,2.2,3.1,3.1,3.2,3.2,2.5,7.0,7.2,9.2,4.2
