"Geolocation","Commodity Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"....La Union","0 - ALL ITEMS",0.5,0.7,1.2,1.6,1.6,2.0,2.4,2.3,3.2,3.3,3.7,3.8,2.2
"....La Union","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",-0.7,0.3,1.2,2.8,2.9,3.7,5.0,4.9,6.4,7.3,8.2,9.2,4.3
"....La Union","01.1 - FOOD",-1.1,-0.1,0.9,3.0,3.1,3.9,5.6,5.3,6.9,8.1,9.0,10.3,4.6
"....La Union","01.1.1 - Cereals and cereal products (ND)",3.3,3.7,3.5,3.6,3.4,4.0,4.6,5.0,4.9,5.2,5.5,5.5,4.4
"....La Union","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",3.3,3.8,3.5,3.7,3.5,4.0,4.6,4.9,4.8,5.2,5.5,5.6,4.4
"....La Union","01.1.1.2 - Flour of cereals (ND)",0.1,1.4,4.9,8.4,8.7,8.8,8.8,8.8,8.8,8.8,11.8,11.7,7.6
"....La Union","01.1.1.3 - Bread and bakery products (ND)",3.1,3.7,3.2,3.1,2.7,3.0,3.7,4.4,4.5,4.6,4.7,4.7,3.8
"....La Union","01.1.1.4 - Breakfast cereals (ND)",0.0,0.0,1.6,1.6,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.5
"....La Union","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",4.4,4.8,4.7,5.3,5.5,6.3,6.3,6.2,5.9,7.0,6.8,6.9,5.9
"....La Union","01.1.1.9 - Other cereal and grain mill products (ND)",2.2,2.5,2.1,2.1,2.1,3.1,4.1,4.1,4.1,4.1,5.8,5.8,3.5
