"Geolocation","Commodity Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"....Laguna","0 - ALL ITEMS",0.5,1.1,1.8,2.1,2.3,2.6,2.9,3.1,4.0,4.4,5.2,4.7,2.9
"....Laguna","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",0.3,0.6,2.6,3.6,4.4,5.2,5.2,6.0,7.0,8.3,9.9,10.7,5.3
"....Laguna","01.1 - FOOD",0.1,0.5,2.8,3.9,4.7,5.4,5.5,6.1,7.2,8.6,10.3,11.2,5.5
"....Laguna","01.1.1 - Cereals and cereal products (ND)",2.8,2.4,3.9,5.7,5.9,5.9,6.3,8.1,8.9,9.6,9.6,9.4,6.6
"....Laguna","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",2.8,2.4,3.9,5.7,5.9,6.0,6.3,8.1,8.9,9.6,9.6,9.4,6.6
"....Laguna","01.1.1.2 - Flour of cereals (ND)",3.8,3.3,5.5,5.6,5.7,5.9,7.0,8.8,9.4,9.0,8.4,9.5,6.8
"....Laguna","01.1.1.3 - Bread and bakery products (ND)",2.8,2.4,4.0,6.7,6.5,6.5,6.7,9.0,10.2,11.1,10.5,10.3,7.3
"....Laguna","01.1.1.4 - Breakfast cereals (ND)",1.2,1.2,1.2,1.2,2.0,2.2,2.7,2.9,2.9,3.0,2.7,2.7,2.1
"....Laguna","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",3.6,3.4,4.7,4.5,5.5,5.9,6.6,7.7,7.8,7.0,8.6,8.4,6.2
"....Laguna","01.1.1.9 - Other cereal and grain mill products (ND)",1.7,1.1,2.0,2.8,3.4,3.4,3.4,3.7,4.0,6.2,7.2,7.2,3.8
"....Laguna","01.1.2 - Meat and other parts of slaughtered land animals (ND)",1.9,0.9,3.2,2.4,2.4,2.8,3.2,3.6,4.2,5.2,5.5,5.7,3.4
"....Laguna","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",6.0,6.3,6.7,8.2,6.2,5.5,5.2,4.6,7.1,7.7,10.7,11.4,7.2
"....Laguna","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",-11.2,-5.4,6.0,0.5,1.7,2.7,4.8,4.4,9.2,10.1,10.3,13.0,3.5
"....Laguna","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",3.1,1.4,2.7,2.4,2.2,2.6,3.0,3.5,3.6,4.7,4.9,4.7,3.2
"....Laguna","01.1.3 - Fish and other seafood (ND)",2.9,4.3,3.7,3.5,4.8,4.0,2.8,2.2,3.5,5.4,4.1,3.1,3.7
"....Laguna","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",7.6,5.3,3.8,3.3,3.0,2.8,3.3,2.9,0.7,1.5,2.2,1.1,3.1
"....Laguna","01.1.3.3 - Fish preparations (ND)",3.2,2.3,3.4,4.0,3.9,5.8,5.8,6.9,7.4,9.0,8.8,7.6,5.7
"....Laguna","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-0.9,5.3,4.1,3.1,7.3,3.4,-0.3,-2.4,2.1,5.1,1.2,0.3,2.3
"....Laguna","01.1.3.6 - Other seafood preparations (ND)",4.4,1.1,1.0,2.2,2.5,2.7,2.7,2.7,2.7,2.7,4.3,6.2,2.9
"....Laguna","01.1.4 - Milk, other dairy products and eggs (ND)",-0.7,-0.9,-0.8,-0.7,0.1,1.8,2.2,4.6,5.4,6.4,7.0,8.1,2.7
"....Laguna","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Laguna","01.1.4.3 - Other milk and cream (ND)",0.1,0.1,0.1,0.1,1.8,3.3,3.4,3.5,3.6,3.8,3.9,5.1,2.4
"....Laguna","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Laguna","01.1.4.5 - Cheese (ND)",0.8,1.1,1.2,1.8,2.1,2.9,3.2,3.6,3.8,7.0,5.2,5.7,3.2
"....Laguna","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Laguna","01.1.4.7 - Milk-based dessert and beverages (ND)",5.3,5.3,5.3,5.3,5.3,7.9,9.3,11.9,11.9,6.3,7.5,7.5,7.4
"....Laguna","01.1.4.8 - Eggs (ND)",-2.9,-3.5,-3.2,-3.0,-3.0,-1.4,-0.8,5.0,6.8,9.6,11.1,12.4,2.2
"....Laguna","01.1.5 - Oils and fats (ND)",15.0,12.4,14.3,18.6,21.6,23.0,26.4,25.3,24.7,23.3,18.0,14.5,19.7
"....Laguna","01.1.5.1 - Vegetable oils (ND)",17.9,14.4,16.8,22.1,25.6,27.2,31.2,29.7,28.7,26.8,20.4,16.0,23.1
"....Laguna","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",2.1,2.3,2.3,2.3,2.5,2.2,1.6,1.7,1.7,1.7,2.4,2.8,2.1
"....Laguna","01.1.5.3 - Margarine and similar preparations (ND)",3.8,4.0,4.1,4.4,4.8,6.3,6.8,9.4,10.4,10.7,9.5,9.6,7.0
"....Laguna","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Laguna","01.1.6 - Fruits and nuts (ND)",4.7,0.9,-2.6,2.1,1.3,-0.9,7.3,13.3,10.4,14.4,22.5,19.2,7.4
"....Laguna","01.1.6.2 - Citrus fruits, fresh (ND)",-5.9,-21.1,-23.4,-5.8,-16.1,-16.7,12.7,50.7,35.3,53.5,136.4,103.9,12.9
"....Laguna","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",14.9,12.1,7.7,-1.3,7.6,-2.0,5.2,6.9,-1.4,15.5,1.6,0.3,5.5
"....Laguna","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Laguna","01.1.6.7 - Fruit, dried and dehydrated (ND)",-8.6,-8.3,-8.3,-8.3,-7.1,-7.1,-8.1,-7.4,-1.9,0.4,0.4,0.4,-5.4
"....Laguna","01.1.6.8 - Nuts, in shell or shelled (ND)",6.0,6.9,4.9,8.5,8.7,7.1,9.0,8.4,11.1,5.4,8.3,8.0,7.7
"....Laguna","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",2.8,3.8,4.6,4.8,4.4,4.1,4.9,6.8,8.4,8.4,9.3,9.8,6.0
"....Laguna","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",-23.5,-20.8,-1.9,6.5,14.0,11.6,4.4,-7.9,-4.2,2.7,20.8,36.3,1.9
"....Laguna","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",-31.0,-25.3,-1.2,8.4,18.4,11.4,-2.3,-20.2,-12.9,3.4,13.8,40.2,-2.0
"....Laguna","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",0.0,6.0,12.1,-0.8,4.4,-4.5,4.4,-10.4,-14.4,20.7,43.0,64.9,10.1
"....Laguna","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",-20.3,-24.8,-8.5,3.8,10.8,17.8,23.5,17.8,13.7,-2.6,42.4,42.6,7.9
"....Laguna","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",6.6,4.3,4.8,4.8,5.3,7.3,7.1,7.0,6.4,7.1,7.9,7.9,6.4
"....Laguna","01.1.8 - Sugar, confectionery and desserts (ND)",1.5,3.5,4.1,5.1,5.5,8.3,11.5,18.3,21.7,23.3,29.5,30.0,13.6
"....Laguna","01.1.8.1 - Cane and beet sugar (ND)",1.4,2.7,4.5,7.2,9.2,15.9,24.0,43.2,53.2,56.2,72.0,73.9,30.4
"....Laguna","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",8.4,6.0,5.9,4.2,4.0,5.7,6.7,6.8,6.8,7.0,8.4,7.0,6.4
"....Laguna","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",3.5,7.4,7.4,7.4,6.8,8.2,9.7,9.6,8.8,8.8,9.3,8.3,8.0
"....Laguna","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",0.2,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.5,3.7,2.7,2.7,2.5
"....Laguna","01.1.8.6 - Ice, ice cream and sorbet (ND)",0.2,2.6,2.6,2.6,2.4,2.4,2.4,2.4,2.4,2.4,2.6,2.6,2.3
"....Laguna","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",0.5,0.6,0.7,0.7,0.8,1.0,1.0,1.0,1.6,11.0,18.7,18.8,4.7
"....Laguna","01.1.9 - Ready-made food and other food products n.e.c. (ND)",4.5,5.1,5.3,5.0,5.1,5.5,5.6,5.9,6.7,7.3,8.1,7.5,6.0
"....Laguna","01.1.9.2 - Baby food (ND)",5.4,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,7.6,8.4,8.4,6.3
"....Laguna","01.1.9.3 - Salt, condiments and sauces (ND)",5.3,6.0,6.1,6.3,6.3,6.9,8.3,9.1,9.1,10.1,10.0,9.3,7.8
"....Laguna","01.1.9.4 - Spices, culinary herbs and seeds (ND)",0.1,1.2,1.5,-0.9,-1.0,0.0,-4.4,-4.1,0.0,-3.5,1.2,-0.7,-0.9
"....Laguna","01.1.9.9 - Other food products n.e.c. (ND)",3.0,3.6,3.8,4.4,5.7,6.6,7.6,8.1,8.9,8.7,8.8,9.5,6.6
"....Laguna","01.2 - NON-ALCOHOLIC BEVERAGES",1.0,1.8,2.0,2.6,3.1,3.6,3.8,4.9,6.1,6.5,8.2,8.5,4.4
"....Laguna","01.2.1 - Fruit and vegetable juices (ND)",3.7,5.0,5.7,6.0,6.2,5.9,6.2,6.3,7.0,8.2,8.8,7.9,6.4
"....Laguna","01.2.1.0 - Fruit and vegetable juices (ND)",3.7,4.9,5.6,6.1,6.2,5.9,6.2,6.3,7.1,8.3,8.8,7.9,6.4
