"Geolocation","Commodity Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"....Marinduque","0 - ALL ITEMS",2.2,1.7,1.7,2.3,2.4,2.8,3.7,4.1,5.0,5.8,5.8,6.5,3.7
"....Marinduque","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",-0.5,0.3,1.7,3.9,4.6,5.3,7.5,8.2,9.7,10.1,11.2,14.4,6.4
"....Marinduque","01.1 - FOOD",-0.5,0.4,1.9,4.3,5.0,6.0,8.4,9.0,10.9,11.4,12.8,16.2,7.1
"....Marinduque","01.1.1 - Cereals and cereal products (ND)",1.6,0.8,1.9,2.3,2.3,3.2,6.9,7.2,12.4,13.0,13.1,14.8,6.6
"....Marinduque","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",1.6,0.8,1.9,2.3,2.3,3.2,6.9,7.2,12.3,13.0,13.1,14.8,6.6
"....Marinduque","01.1.1.2 - Flour of cereals (ND)",5.3,7.9,9.5,10.4,7.3,9.4,11.4,13.8,13.2,15.3,15.3,12.9,11.0
"....Marinduque","01.1.1.3 - Bread and bakery products (ND)",1.3,0.3,1.8,2.4,2.9,3.7,8.5,8.6,17.1,18.1,18.2,20.5,8.6
"....Marinduque","01.1.1.4 - Breakfast cereals (ND)",0.2,0.2,2.9,3.5,4.1,4.1,4.1,4.1,2.9,0.0,0.0,0.0,2.1
"....Marinduque","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",3.0,2.4,2.8,3.3,2.3,3.0,4.4,5.1,5.9,6.2,6.6,7.3,4.4
"....Marinduque","01.1.1.9 - Other cereal and grain mill products (ND)",0.4,-0.2,-0.2,-0.2,-0.2,1.0,4.0,4.2,4.2,4.3,4.5,5.4,2.3
"....Marinduque","01.1.2 - Meat and other parts of slaughtered land animals (ND)",3.0,0.5,1.3,2.4,2.6,3.4,5.5,6.9,6.9,7.8,9.1,11.0,5.0
"....Marinduque","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",1.8,1.8,2.5,4.5,6.4,7.9,10.4,10.4,8.5,7.3,7.0,6.2,6.2
"....Marinduque","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",23.2,-6.7,3.3,9.6,8.0,12.7,15.8,15.4,13.2,20.1,22.4,24.9,13.1
"....Marinduque","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",1.1,1.2,1.0,1.5,1.7,2.1,4.1,5.8,6.2,6.4,7.9,9.8,4.1
