"Geolocation","Commodity Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"....Nueva Vizcaya","0 - ALL ITEMS",2.3,2.1,2.2,2.7,2.7,3.6,4.2,5.0,5.1,5.7,6.6,7.9,4.2
"....Nueva Vizcaya","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",0.2,0.1,1.3,1.2,0.3,3.0,4.0,3.9,3.4,5.1,8.1,11.6,3.5
"....Nueva Vizcaya","01.1 - FOOD",0.1,-0.3,1.3,1.0,-0.2,2.8,3.9,3.9,3.3,5.1,8.5,12.5,3.5
"....Nueva Vizcaya","01.1.1 - Cereals and cereal products (ND)",1.3,3.2,3.6,3.2,3.4,5.0,5.8,6.5,7.8,7.8,8.0,8.3,5.3
"....Nueva Vizcaya","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",1.3,3.1,3.6,3.2,3.4,5.1,5.8,6.5,7.8,7.9,8.0,8.3,5.3
"....Nueva Vizcaya","01.1.1.2 - Flour of cereals (ND)",-1.9,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.0,-1.0,-1.3
"....Nueva Vizcaya","01.1.1.3 - Bread and bakery products (ND)",1.6,2.9,3.4,2.6,2.5,3.2,4.2,5.0,6.8,6.9,6.5,6.2,4.3
"....Nueva Vizcaya","01.1.1.4 - Breakfast cereals (ND)",2.0,2.0,2.0,2.0,2.0,8.1,8.6,8.6,8.6,9.6,10.7,11.0,6.3
"....Nueva Vizcaya","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",0.7,1.0,1.7,1.7,2.9,7.2,7.7,8.0,8.2,8.4,8.4,8.4,5.4
"....Nueva Vizcaya","01.1.1.9 - Other cereal and grain mill products (ND)",1.8,9.7,9.7,9.7,10.5,10.9,11.3,12.1,13.5,13.4,16.4,20.0,11.6
"....Nueva Vizcaya","01.1.2 - Meat and other parts of slaughtered land animals (ND)",6.5,2.6,3.1,1.3,0.6,2.2,2.7,2.9,3.5,3.2,4.1,4.2,3.1
"....Nueva Vizcaya","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",8.2,6.6,7.1,3.6,4.4,2.9,6.8,6.7,5.8,2.4,1.7,-0.2,4.6
"....Nueva Vizcaya","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",6.2,2.1,2.6,1.0,0.1,2.1,2.1,2.4,3.3,3.3,4.3,4.8,2.8
"....Nueva Vizcaya","01.1.3 - Fish and other seafood (ND)",4.2,1.9,2.3,2.4,1.7,4.6,4.9,3.9,6.8,6.0,4.1,5.1,4.0
"....Nueva Vizcaya","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",7.7,0.5,2.4,2.1,1.8,4.1,3.6,2.2,6.3,5.5,2.8,4.2,3.6
"....Nueva Vizcaya","01.1.3.3 - Fish preparations (ND)",2.0,3.3,2.7,3.2,2.0,9.7,10.1,10.6,11.2,11.6,12.7,12.9,7.7
"....Nueva Vizcaya","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",1.6,3.1,2.0,2.3,1.8,-1.0,0.6,-1.8,2.0,-0.8,-6.3,-5.0,-0.1
"....Nueva Vizcaya","01.1.3.6 - Other seafood preparations (ND)",-2.3,-3.9,-3.9,-3.9,-9.2,-14.5,-14.2,-14.2,-14.2,-14.2,-12.9,-11.6,-9.9
"....Nueva Vizcaya","01.1.4 - Milk, other dairy products and eggs (ND)",1.0,1.8,0.8,0.9,2.6,4.1,5.7,10.1,9.7,9.6,11.5,12.6,5.8
"....Nueva Vizcaya","01.1.4.1 - Raw and whole milk (ND)",4.6,4.6,5.7,5.7,7.5,10.3,11.6,12.3,13.1,13.0,16.4,16.4,10.1
"....Nueva Vizcaya","01.1.4.3 - Other milk and cream (ND)",-0.6,2.3,2.3,4.2,7.7,10.7,10.7,10.2,9.8,9.5,9.6,9.7,7.2
"....Nueva Vizcaya","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","01.1.4.5 - Cheese (ND)",4.2,5.5,5.5,5.5,9.4,12.6,11.9,9.7,7.4,10.7,10.7,10.4,8.6
"....Nueva Vizcaya","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","01.1.4.7 - Milk-based dessert and beverages (ND)",0.0,0.0,0.0,2.7,4.1,5.4,5.4,6.8,6.8,6.8,6.8,6.8,4.3
"....Nueva Vizcaya","01.1.4.8 - Eggs (ND)",2.0,1.2,-0.9,-2.3,-2.4,-2.2,0.8,9.9,9.7,9.6,13.1,14.9,4.4
"....Nueva Vizcaya","01.1.5 - Oils and fats (ND)",7.3,9.8,11.3,8.4,10.4,16.1,18.9,18.9,21.0,20.1,20.0,19.7,15.2
"....Nueva Vizcaya","01.1.5.1 - Vegetable oils (ND)",8.4,10.8,12.6,8.8,10.7,16.8,20.0,20.1,22.3,21.4,21.2,20.9,16.2
"....Nueva Vizcaya","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",0.0,2.1,2.1,6.3,12.0,19.9,19.9,22.9,23.1,23.1,23.1,23.1,14.8
"....Nueva Vizcaya","01.1.5.3 - Margarine and similar preparations (ND)",2.0,4.3,4.3,6.2,8.8,12.2,12.2,10.6,12.9,11.6,11.6,11.6,9.0
"....Nueva Vizcaya","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","01.1.6 - Fruits and nuts (ND)",3.2,3.8,-0.8,0.8,1.8,-2.3,1.0,-3.3,-5.9,-10.9,-4.8,-4.5,-1.9
"....Nueva Vizcaya","01.1.6.2 - Citrus fruits, fresh (ND)",8.9,9.8,0.5,5.5,9.5,10.4,16.5,10.4,1.9,-10.2,0.6,0.5,5.2
"....Nueva Vizcaya","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",0.0,4.2,5.5,9.6,3.1,-0.9,1.2,3.3,10.9,21.4,22.7,22.7,8.2
"....Nueva Vizcaya","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","01.1.6.8 - Nuts, in shell or shelled (ND)",-3.3,-4.0,-4.0,-7.1,-9.7,-23.9,-22.0,-25.4,-23.3,-21.0,-20.1,-19.5,-15.2
"....Nueva Vizcaya","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",0.7,0.7,-0.2,0.1,0.9,3.2,3.2,2.8,3.0,4.2,6.9,6.8,2.7
"....Nueva Vizcaya","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",-9.9,-12.5,-5.0,-4.8,-16.0,-10.9,-11.6,-21.8,-27.9,-22.4,-7.7,19.1,-11.4
"....Nueva Vizcaya","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",-14.1,-17.1,-8.9,-6.5,-21.4,-19.9,-19.7,-30.1,-38.0,-34.1,-14.1,13.9,-18.3
"....Nueva Vizcaya","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",-26.1,-5.0,-3.4,-7.3,-3.0,11.1,33.8,17.3,24.6,38.5,5.4,22.7,8.2
"....Nueva Vizcaya","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",-2.3,-6.5,0.6,-3.5,-9.6,4.2,0.7,-10.3,-11.1,-2.9,2.7,31.0,-0.6
"....Nueva Vizcaya","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",3.7,6.4,6.4,6.4,6.4,7.8,5.2,6.5,7.7,7.7,7.7,7.7,6.6
"....Nueva Vizcaya","01.1.8 - Sugar, confectionery and desserts (ND)",0.5,2.9,6.3,9.8,12.5,16.8,25.4,33.6,39.9,43.9,55.2,54.9,25.3
"....Nueva Vizcaya","01.1.8.1 - Cane and beet sugar (ND)",0.1,3.4,9.3,15.5,19.5,26.7,41.4,55.5,65.1,72.0,91.2,91.0,41.2
"....Nueva Vizcaya","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",1.1,3.2,3.2,3.2,5.0,5.0,5.0,5.0,7.9,6.4,6.4,6.4,4.8
"....Nueva Vizcaya","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",5.0,6.1,6.1,6.1,7.6,7.6,7.6,7.6,8.0,11.0,11.7,11.7,8.1
"....Nueva Vizcaya","01.1.8.6 - Ice, ice cream and sorbet (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....Nueva Vizcaya","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,4.5,1.5
"....Nueva Vizcaya","01.1.9 - Ready-made food and other food products n.e.c. (ND)",-4.3,-4.3,-3.1,-5.0,-7.0,-2.3,-2.8,-2.1,-3.6,3.7,4.7,5.8,-1.7
"....Nueva Vizcaya","01.1.9.2 - Baby food (ND)",0.1,1.6,1.6,1.7,3.2,7.3,8.0,8.6,8.7,11.3,11.3,11.3,6.2
"....Nueva Vizcaya","01.1.9.3 - Salt, condiments and sauces (ND)",1.7,2.3,2.6,4.2,5.4,7.9,8.7,9.6,9.3,11.5,13.0,13.0,7.5
"....Nueva Vizcaya","01.1.9.4 - Spices, culinary herbs and seeds (ND)",-17.7,-19.8,-17.5,-27.3,-36.5,-27.4,-31.2,-32.1,-37.8,-21.7,-20.6,-16.7,-25.7
"....Nueva Vizcaya","01.1.9.9 - Other food products n.e.c. (ND)",2.2,1.5,1.5,3.5,5.1,7.2,7.4,7.2,7.2,17.7,17.7,19.3,8.2
"....Nueva Vizcaya","01.2 - NON-ALCOHOLIC BEVERAGES",0.7,1.8,1.8,2.6,3.1,4.5,4.7,4.1,4.5,5.5,5.5,5.7,3.7
"....Nueva Vizcaya","01.2.1 - Fruit and vegetable juices (ND)",1.9,2.9,2.9,4.2,4.7,5.1,6.4,6.4,7.6,7.6,7.4,7.4,5.4
"....Nueva Vizcaya","01.2.1.0 - Fruit and vegetable juices (ND)",1.9,2.9,2.9,4.2,4.7,5.0,6.4,6.4,7.6,7.6,7.4,7.4,5.4
"....Nueva Vizcaya","01.2.2 - Coffee and coffee substitutes (ND)",0.5,1.4,1.4,1.4,1.3,4.2,4.2,1.9,2.1,2.1,2.1,2.4,2.1
"....Nueva Vizcaya","01.2.2.0 - Coffee and coffee substitutes (ND)",0.6,1.5,1.5,1.5,1.3,4.2,4.2,1.9,2.0,2.0,2.0,2.3,2.1
"....Nueva Vizcaya","01.2.3 - Tea, maté and other plant products for infusion (ND)",0.0,-0.5,-0.5,19.9,23.6,23.6,23.6,24.4,24.4,27.8,31.1,31.1,19.0
"....Nueva Vizcaya","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",0.0,-0.4,-0.4,19.9,23.7,23.7,23.7,24.5,24.5,27.8,31.1,31.1,19.1
"....Nueva Vizcaya","01.2.4 - Cocoa drinks (ND)",0.7,0.7,0.7,2.4,3.9,7.2,7.6,8.0,8.3,8.7,8.4,9.6,5.5
"....Nueva Vizcaya","01.2.4.0 - Cocoa drinks (ND)",0.7,0.7,0.7,2.5,3.9,7.2,7.5,8.0,8.3,8.8,8.4,9.6,5.5
"....Nueva Vizcaya","01.2.5 - Water (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.2
"....Nueva Vizcaya","01.2.5.0 - Water (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.3
"....Nueva Vizcaya","01.2.6 - Soft drinks (ND)",0.9,3.7,3.7,3.7,4.6,4.6,4.6,4.6,5.3,5.3,5.3,5.3,4.3
"....Nueva Vizcaya","01.2.6.0 - Soft drinks (ND)",0.9,3.7,3.7,3.7,4.6,4.6,4.6,4.6,5.3,5.3,5.3,5.3,4.3
"....Nueva Vizcaya","01.2.9 - Other non-alcoholic beverages (ND)",0.0,1.3,1.3,2.0,3.2,4.7,5.4,4.3,4.8,4.8,5.2,5.5,3.6
"....Nueva Vizcaya","01.2.9.0 - Other non-alcoholic beverages (ND)",0.0,1.4,1.4,2.0,3.3,4.8,5.5,4.3,4.9,4.9,5.2,5.5,3.6
"....Nueva Vizcaya","02 - ALCOHOLIC BEVERAGES AND TOBACCO",2.4,5.2,5.9,13.0,13.5,15.7,16.4,16.7,17.0,17.0,16.8,16.3,13.0
"....Nueva Vizcaya","02.1 - ALCOHOLIC BEVERAGES",1.9,4.7,5.0,6.5,6.7,8.8,10.3,10.6,10.5,10.7,10.3,9.5,8.0
"....Nueva Vizcaya","02.1.1 - Spirits and liquors (ND)",1.3,4.4,4.4,5.6,5.8,8.3,9.5,9.9,9.9,10.1,9.5,9.0,7.3
"....Nueva Vizcaya","02.1.1.0 - Spirits and liquors (ND)",1.4,4.5,4.4,5.6,5.8,8.2,9.5,9.8,9.8,10.0,9.5,8.9,7.3
"....Nueva Vizcaya","02.1.2 - Wine (ND)",1.5,2.9,4.2,9.6,9.6,9.9,10.7,10.8,10.8,14.5,14.0,13.2,9.3
"....Nueva Vizcaya","02.1.2.1 - Wine from grapes (ND)",1.4,2.9,4.2,9.6,9.6,9.9,10.7,10.8,10.8,14.5,14.0,13.2,9.3
"....Nueva Vizcaya","02.1.2.2 - Wine from other sources (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","02.1.3 - Beer (ND)",4.2,6.3,8.1,10.8,10.8,10.8,13.4,13.9,13.6,13.8,13.8,11.6,10.9
"....Nueva Vizcaya","02.1.3.0 - Beer (ND)",4.1,6.2,8.1,10.7,10.7,10.7,13.3,13.9,13.7,13.8,13.8,11.6,10.9
"....Nueva Vizcaya","02.3 - TOBACCO",2.8,5.7,6.6,19.3,20.0,22.3,22.4,22.5,23.2,23.2,23.2,23.2,17.9
"....Nueva Vizcaya","02.3.0 - Tobacco (ND)",2.8,5.7,6.6,19.3,20.0,22.3,22.4,22.5,23.2,23.2,23.2,23.2,17.9
"....Nueva Vizcaya","02.3.0.1 - Cigarettes (ND)",2.6,5.4,6.3,19.2,20.1,22.4,22.6,22.6,23.3,23.6,23.6,23.6,18.0
"....Nueva Vizcaya","02.3.0.2 - Cigars (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","02.3.0.9 - Other tobacco products (ND)",19.4,20.0,19.8,21.6,17.9,17.9,18.5,19.1,14.9,3.2,3.2,3.2,14.4
"....Nueva Vizcaya","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","02.4.0 - Other vegetable-based tobacco products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","02.4.0.0 - Other vegetable-based tobacco products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","02.900 - NON-FOOD",3.2,2.8,2.3,2.6,2.9,3.2,3.6,4.7,5.1,5.2,5.6,5.9,3.9
"....Nueva Vizcaya","03 - CLOTHING AND FOOTWEAR",1.6,3.1,2.7,2.8,5.1,5.4,5.6,5.6,6.0,5.4,5.1,5.1,4.5
"....Nueva Vizcaya","03.1 - CLOTHING",1.3,2.6,3.0,3.2,8.0,8.1,8.6,8.6,9.4,8.5,8.1,8.1,6.5
"....Nueva Vizcaya","03.1.1 - Clothing materials (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","03.1.1.0 - Clothing materials (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","03.1.2 - Garments (SD)",1.3,2.6,3.0,3.2,8.0,8.1,8.6,8.6,9.4,8.5,8.1,8.1,6.5
"....Nueva Vizcaya","03.1.2.1 - Garments for men or boys (SD)",0.9,2.6,2.9,3.0,8.1,8.3,8.3,8.3,9.9,8.9,8.3,8.3,6.5
"....Nueva Vizcaya","03.1.2.2 - Garments for women or girls (SD)",1.7,2.9,3.3,3.5,8.2,8.4,9.5,9.5,9.5,8.7,8.2,8.2,6.8
"....Nueva Vizcaya","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.2
"....Nueva Vizcaya","03.1.2.4 - School uniforms (SD)",0.0,0.0,0.0,1.8,3.8,3.8,4.1,4.1,6.8,6.8,6.8,6.8,3.7
"....Nueva Vizcaya","03.1.3 - Other articles of clothing and clothing accessories (SD)",3.8,2.3,2.3,2.3,2.3,2.3,2.6,2.6,0.7,0.7,0.9,1.0,2.0
"....Nueva Vizcaya","03.1.3.1 - Other articles of clothing (SD)",4.0,2.4,2.4,2.4,2.4,2.4,2.7,2.7,0.7,0.7,0.7,0.7,2.0
"....Nueva Vizcaya","03.1.3.2 - Clothing accessories (SD)",2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1.5,1.5,4.9,8.2,2.8
"....Nueva Vizcaya","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",4.7,4.7,5.9,4.3,4.5,4.5,1.7,1.7,3.6,3.6,3.6,3.6,3.8
"....Nueva Vizcaya","03.1.4.1 - Cleaning of clothing (S)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","03.1.4.2 - Repair, tailoring and hire of clothing (S)",4.6,4.6,5.8,4.3,4.5,4.5,1.7,1.7,3.6,3.6,3.6,3.6,3.9
"....Nueva Vizcaya","03.2 - FOOTWEAR",2.3,3.7,2.1,2.1,-0.4,-0.1,-0.1,-0.1,-0.8,-0.8,-0.8,-0.8,0.5
"....Nueva Vizcaya","03.2.1 - Shoes and other footwear (SD)",2.3,3.7,2.1,2.1,-0.4,-0.1,-0.1,-0.1,-0.8,-0.8,-0.8,-0.8,0.5
"....Nueva Vizcaya","03.2.1.1 - Footwear for men (SD)",2.0,3.7,1.7,1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-0.4
"....Nueva Vizcaya","03.2.1.2 - Footwear for women (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","03.2.1.3 - Footwear for infants and children (SD)",2.8,3.7,2.6,2.6,1.3,2.0,2.0,2.0,0.3,0.3,0.3,0.3,1.7
"....Nueva Vizcaya","03.2.2 - Cleaning, repair, and hire of footwear (S)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.4,0.5
"....Nueva Vizcaya","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.4,0.5
"....Nueva Vizcaya","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",6.0,5.7,4.3,5.0,5.1,5.5,6.1,6.3,6.3,6.4,8.1,8.1,6.1
"....Nueva Vizcaya","04.1 - ACTUAL RENTALS FOR HOUSING",6.7,6.7,4.8,4.8,4.8,4.8,4.8,5.4,5.4,5.4,7.1,7.1,5.7
"....Nueva Vizcaya","04.1.1 - Actual rentals paid by tenants for main residence (S)",6.7,6.7,4.8,4.8,4.8,4.8,4.8,5.4,5.4,5.4,7.1,7.1,5.7
"....Nueva Vizcaya","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",6.6,6.6,4.9,4.9,4.9,4.9,4.9,5.5,5.5,5.5,7.1,7.1,5.7
"....Nueva Vizcaya","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",3.3,3.6,3.6,4.4,5.1,6.0,7.6,8.5,8.7,9.8,9.8,9.8,6.7
"....Nueva Vizcaya","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",1.7,2.4,2.6,3.1,3.6,4.9,7.1,8.3,8.5,10.1,10.0,10.1,6.0
"....Nueva Vizcaya","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",1.7,2.3,2.6,3.1,3.6,4.9,7.1,8.3,8.6,10.1,10.0,10.1,6.0
"....Nueva Vizcaya","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",7.7,6.5,6.5,7.7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.3
"....Nueva Vizcaya","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",7.8,6.4,6.4,7.7,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.3
"....Nueva Vizcaya","04.4 - WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....Nueva Vizcaya","04.4.1 - Water supply (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....Nueva Vizcaya","04.4.1.1 - Water supply through network systems (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....Nueva Vizcaya","04.5 - ELECTRICITY, GAS AND OTHER FUELS",4.2,2.7,2.7,6.4,7.2,8.6,12.0,9.8,9.8,10.7,13.1,13.1,8.4
"....Nueva Vizcaya","04.5.3 - Liquid fuels (ND)",33.5,39.9,39.1,74.6,67.3,72.9,85.9,62.7,63.2,36.8,42.1,51.8,55.8
"....Nueva Vizcaya","04.5.3.0 - Liquid fuels (ND)",33.5,40.0,39.1,74.6,67.3,72.8,85.9,62.6,63.2,36.8,42.1,51.9,55.8
"....Nueva Vizcaya","04.5.4 - Solid fuels (ND)",3.9,2.3,2.3,5.6,6.5,7.8,11.1,9.1,9.1,10.3,12.6,12.6,7.8
"....Nueva Vizcaya","04.5.4.2 - Wood fuel, including pellets and briquettes (ND)",3.8,2.3,2.3,5.7,6.5,7.7,11.0,9.1,9.1,10.3,12.6,12.6,7.8
"....Nueva Vizcaya","04.5.4.3 - Charcoal (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Nueva Vizcaya","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",2.5,3.7,3.2,3.2,3.6,3.7,5.3,5.5,5.7,6.6,6.5,6.5,4.7
"....Nueva Vizcaya","05.1 - FURNITURE, FURNISHINGS, AND LOOSE CARPETS",5.7,7.3,6.3,6.3,7.6,7.6,6.4,6.8,7.5,7.5,7.5,7.5,7.0
"....Nueva Vizcaya","05.1.1 - Furniture, furnishings and loose carpets (D)",5.7,7.3,6.3,6.3,7.6,7.6,6.4,6.8,7.5,7.5,7.5,7.5,7.0
"....Nueva Vizcaya","05.1.1.1 - Household furniture (D)",5.7,7.3,6.3,6.3,7.7,7.7,6.4,6.8,7.5,7.5,7.5,7.5,7.0
"....Nueva Vizcaya","05.1.1.3 - Lighting equipment (D)",..,..,..,..,..,..,..,..,..,..,..,..,..
