"Geolocation","Commodity Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"....Pampanga","0 - ALL ITEMS",2.8,2.8,3.0,3.6,3.9,4.8,6.1,6.0,5.9,6.9,8.2,8.7,5.2
"....Pampanga","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",1.4,2.4,4.0,5.5,6.9,8.6,9.8,9.7,8.8,10.0,12.2,13.8,7.8
"....Pampanga","01.1 - FOOD",1.3,2.5,4.3,6.1,7.8,9.5,10.7,10.7,9.3,10.6,13.3,14.9,8.4
"....Pampanga","01.1.1 - Cereals and cereal products (ND)",3.2,3.3,5.2,6.1,7.3,10.2,11.1,13.1,14.1,14.3,14.4,15.5,9.8
"....Pampanga","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",3.1,3.2,5.2,6.1,7.2,10.3,11.2,13.1,14.1,14.2,14.4,15.4,9.8
"....Pampanga","01.1.1.2 - Flour of cereals (ND)",2.5,1.3,1.7,2.2,2.2,3.5,3.9,3.2,2.7,2.7,2.8,4.3,2.8
"....Pampanga","01.1.1.3 - Bread and bakery products (ND)",2.4,2.9,4.1,5.5,7.3,10.0,10.4,13.6,14.9,15.0,16.0,17.5,10.0
"....Pampanga","01.1.1.4 - Breakfast cereals (ND)",1.4,1.4,1.9,2.8,4.2,6.3,6.7,6.7,7.1,7.1,5.7,7.1,4.9
"....Pampanga","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",4.5,4.8,7.3,7.8,8.0,10.4,10.8,10.6,11.1,11.4,9.6,11.6,9.0
"....Pampanga","01.1.1.9 - Other cereal and grain mill products (ND)",4.2,3.0,7.1,7.2,7.2,12.1,15.3,16.8,17.3,17.3,17.5,16.1,11.8
"....Pampanga","01.1.2 - Meat and other parts of slaughtered land animals (ND)",0.5,-0.4,1.5,2.2,3.1,5.0,5.9,6.8,7.3,8.2,7.1,6.3,4.5
"....Pampanga","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",3.9,-1.2,1.9,2.6,2.4,-2.5,3.7,4.3,4.3,6.4,10.1,8.7,3.7
"....Pampanga","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",-8.3,-8.1,1.7,7.2,9.0,16.1,15.3,15.2,16.0,17.3,11.3,7.5,8.0
"....Pampanga","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",1.7,0.8,1.5,1.4,2.4,4.0,4.7,5.8,6.4,7.0,6.4,6.0,4.0
"....Pampanga","01.1.3 - Fish and other seafood (ND)",3.8,8.3,6.4,10.5,12.4,13.6,11.0,15.4,15.2,17.5,17.3,14.6,12.0
"....Pampanga","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",-1.6,0.2,1.3,2.8,6.3,8.7,11.5,0.1,0.9,4.8,6.1,3.2,3.6
"....Pampanga","01.1.3.3 - Fish preparations (ND)",3.9,3.6,9.3,9.3,8.3,9.2,13.4,15.8,16.7,19.0,15.8,16.4,11.7
"....Pampanga","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",6.0,14.1,7.9,15.4,17.6,18.5,10.3,23.5,22.2,23.9,23.2,18.4,16.4
"....Pampanga","01.1.3.6 - Other seafood preparations (ND)",3.5,2.4,2.7,2.9,3.9,6.5,7.2,8.6,8.9,9.6,16.9,18.4,7.6
"....Pampanga","01.1.4 - Milk, other dairy products and eggs (ND)",-1.4,-2.1,-0.8,0.1,0.1,3.8,9.7,14.9,16.5,16.3,18.2,18.9,7.8
"....Pampanga","01.1.4.1 - Raw and whole milk (ND)",2.6,2.5,4.3,5.1,5.9,6.4,18.2,18.5,18.7,22.1,28.1,28.3,13.5
"....Pampanga","01.1.4.3 - Other milk and cream (ND)",-1.2,-0.8,0.2,0.4,1.0,1.3,2.1,1.9,2.0,3.7,7.1,7.0,2.1
"....Pampanga","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pampanga","01.1.4.5 - Cheese (ND)",-0.4,-0.8,-1.0,-0.6,1.4,3.8,4.9,7.2,6.3,9.1,10.8,11.9,4.3
"....Pampanga","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pampanga","01.1.4.7 - Milk-based dessert and beverages (ND)",-0.3,-2.0,-0.9,0.4,1.8,3.9,3.9,5.5,5.5,5.5,5.5,7.6,3.0
"....Pampanga","01.1.4.8 - Eggs (ND)",-2.9,-4.7,-2.8,-1.2,-2.4,5.3,15.7,27.8,32.1,28.1,27.7,28.7,12.2
"....Pampanga","01.1.5 - Oils and fats (ND)",21.9,19.2,18.1,22.9,25.7,27.8,29.3,27.8,25.5,14.1,9.9,5.0,20.5
"....Pampanga","01.1.5.1 - Vegetable oils (ND)",24.0,21.0,19.5,24.6,27.6,29.7,31.7,29.7,26.8,14.3,9.8,4.4,21.7
"....Pampanga","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",2.8,2.7,2.3,2.7,3.0,7.1,9.0,12.3,18.7,19.3,19.6,19.8,9.9
"....Pampanga","01.1.5.3 - Margarine and similar preparations (ND)",4.0,3.7,4.3,5.9,7.3,8.1,4.5,8.2,10.0,9.9,8.7,9.0,7.0
"....Pampanga","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pampanga","01.1.6 - Fruits and nuts (ND)",7.6,20.4,18.6,29.4,27.1,15.1,16.4,15.1,6.7,12.8,14.5,0.6,14.8
"....Pampanga","01.1.6.2 - Citrus fruits, fresh (ND)",18.0,43.9,54.7,77.1,74.5,38.6,36.9,34.9,16.8,24.5,25.1,2.1,34.3
"....Pampanga","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",15.4,15.0,20.5,23.7,27.0,21.1,6.6,14.6,12.2,21.1,17.9,12.2,17.0
"....Pampanga","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Pampanga","01.1.6.7 - Fruit, dried and dehydrated (ND)",3.7,5.9,8.8,8.2,8.9,9.4,10.6,9.9,9.9,9.9,9.3,7.2,8.5
"....Pampanga","01.1.6.8 - Nuts, in shell or shelled (ND)",-7.3,-1.1,-20.4,-16.7,-17.7,-12.7,-7.7,-9.8,-10.0,-2.1,2.7,-4.5,-8.8
