"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Batanes","0 - ALL ITEMS",6.9,6.9,7.2,6.8,4.6,5.9,5.7,5.6,4.5,4.4,4.6,5.8,5.7
"....Batanes","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",10.8,11.3,11.3,10.7,10.2,9.8,7.9,9.4,9.9,9.7,8.3,6.6,9.6
"....Batanes","01.1 - FOOD",11.3,11.9,11.8,11.0,10.5,10.0,8.0,9.7,10.2,9.9,8.4,6.5,9.9
"....Batanes","01.1.1 - Cereals and cereal products (ND)",10.2,9.6,9.2,9.4,9.9,10.9,9.2,10.0,9.4,9.5,10.4,10.5,9.8
"....Batanes","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",10.2,9.6,9.2,9.4,9.9,10.9,9.2,10.0,9.4,9.5,10.4,10.5,9.9
"....Batanes","01.1.1.2 - Flour of cereals (ND)",20.9,18.9,15.0,14.7,11.6,14.1,12.4,13.0,13.8,7.1,4.8,4.8,12.3
"....Batanes","01.1.1.3 - Bread and bakery products (ND)",10.7,10.0,9.3,9.7,10.5,12.2,10.5,11.4,10.6,9.5,10.9,10.9,10.5
"....Batanes","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Batanes","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",7.5,7.9,8.7,8.4,8.0,8.1,7.0,7.5,7.4,10.3,10.5,10.9,8.5
"....Batanes","01.1.1.9 - Other cereal and grain mill products (ND)",12.3,9.7,8.7,8.8,10.7,7.5,4.6,5.2,4.1,5.8,7.2,6.9,7.5
"....Batanes","01.1.2 - Meat and other parts of slaughtered land animals (ND)",10.8,10.0,9.2,8.8,8.2,8.2,7.3,6.9,5.3,5.3,5.2,4.9,7.5
"....Batanes","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Batanes","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",2.7,2.6,5.2,4.7,3.4,4.3,4.3,4.3,2.5,1.7,1.3,1.3,3.2
"....Batanes","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",11.0,10.2,9.4,8.9,8.3,8.3,7.4,6.9,5.4,5.4,5.4,5.0,7.6
