"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Cagayan","0 - ALL ITEMS",6.5,6.9,7.4,7.0,7.2,7.4,7.7,8.1,7.1,6.4,5.6,5.4,6.9
"....Cagayan","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",13.9,13.1,12.0,11.1,10.6,10.6,10.3,12.2,10.2,8.1,5.8,5.0,10.1
"....Cagayan","01.1 - FOOD",15.5,14.5,13.4,12.1,11.4,11.3,11.1,13.2,11.0,8.7,6.1,5.4,11.0
"....Cagayan","01.1.1 - Cereals and cereal products (ND)",9.7,8.5,7.7,7.2,8.7,8.8,9.2,9.5,7.5,6.9,7.6,8.3,8.3
"....Cagayan","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",9.7,8.5,7.6,7.2,8.7,8.9,9.2,9.4,7.5,6.9,7.6,8.4,8.3
"....Cagayan","01.1.1.2 - Flour of cereals (ND)",4.6,4.8,4.6,4.4,6.2,9.6,6.7,9.7,13.2,10.2,13.0,12.9,8.4
"....Cagayan","01.1.1.3 - Bread and bakery products (ND)",10.2,8.0,6.8,6.6,6.9,6.8,7.3,7.0,5.4,5.3,5.9,7.4,7.0
"....Cagayan","01.1.1.4 - Breakfast cereals (ND)",-1.3,-1.3,0.7,1.2,1.2,0.8,0.9,2.1,2.1,2.1,3.8,5.5,1.5
"....Cagayan","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",10.6,10.0,9.1,8.2,9.6,8.5,9.3,10.5,7.5,6.3,7.0,6.4,8.5
"....Cagayan","01.1.1.9 - Other cereal and grain mill products (ND)",7.2,7.9,7.9,8.0,13.9,16.9,16.3,16.1,14.5,13.9,14.5,15.1,12.7
"....Cagayan","01.1.2 - Meat and other parts of slaughtered land animals (ND)",7.2,6.2,6.7,5.9,5.4,4.1,2.0,4.0,4.1,2.3,3.9,3.6,4.6
"....Cagayan","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",0.0,0.0,-1.9,-1.9,-1.9,-1.9,-1.8,-1.7,-1.7,-1.7,2.3,2.3,-0.8
"....Cagayan","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",12.7,14.3,12.5,8.1,4.2,0.9,-5.7,-3.2,0.5,-6.4,-2.0,-3.1,2.3
"....Cagayan","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",6.3,4.7,5.7,5.6,5.6,4.8,3.6,5.5,4.8,4.0,5.0,4.8,5.0
"....Cagayan","01.1.3 - Fish and other seafood (ND)",6.8,7.5,7.4,8.6,7.9,7.9,5.9,7.1,5.8,7.0,6.9,6.7,7.1
"....Cagayan","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",12.7,12.8,10.5,10.7,11.6,12.2,12.5,14.5,13.6,17.3,17.2,16.1,13.5
"....Cagayan","01.1.3.3 - Fish preparations (ND)",5.2,6.7,7.7,7.7,6.6,6.7,3.4,3.8,1.5,1.0,1.2,1.3,4.3
