"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Capiz","0 - ALL ITEMS",6.8,7.0,6.8,6.6,6.3,5.8,5.9,5.3,5.1,4.4,4.1,3.5,5.6
"....Capiz","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",13.9,13.4,13.0,12.3,10.8,10.2,9.7,8.1,8.2,7.0,5.7,4.3,9.6
"....Capiz","01.1 - FOOD",14.9,14.4,13.7,12.9,11.0,10.4,9.7,8.3,8.4,7.7,6.5,4.8,10.1
"....Capiz","01.1.1 - Cereals and cereal products (ND)",4.6,5.4,5.4,5.6,5.8,5.3,5.3,4.4,4.9,4.7,4.6,4.3,5.0
"....Capiz","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",4.6,5.4,5.4,5.6,5.8,5.3,5.3,4.4,4.8,4.7,4.6,4.3,5.0
"....Capiz","01.1.1.2 - Flour of cereals (ND)",2.7,3.2,3.5,3.5,3.5,3.0,3.0,3.0,3.1,3.0,2.9,1.8,3.0
"....Capiz","01.1.1.3 - Bread and bakery products (ND)",5.0,5.9,6.0,6.4,6.6,6.4,6.4,5.5,6.1,6.1,5.8,5.3,6.0
"....Capiz","01.1.1.4 - Breakfast cereals (ND)",6.2,5.7,5.1,5.7,5.9,6.0,6.0,6.0,7.9,7.6,6.4,6.0,6.2
"....Capiz","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",6.1,6.8,6.7,6.6,7.1,6.5,6.5,4.6,4.7,4.2,4.3,4.1,5.7
"....Capiz","01.1.1.9 - Other cereal and grain mill products (ND)",1.9,2.9,2.6,2.4,2.2,1.3,1.3,1.3,1.6,1.6,2.0,2.0,1.9
"....Capiz","01.1.2 - Meat and other parts of slaughtered land animals (ND)",10.1,10.4,8.9,5.3,5.5,5.4,5.3,3.1,5.4,6.8,8.8,8.5,6.9
"....Capiz","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",7.0,6.6,4.9,1.6,1.1,3.3,0.2,-1.7,8.6,11.6,23.5,25.7,7.6
"....Capiz","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",10.7,11.2,9.7,6.1,6.5,5.8,6.5,4.2,4.8,5.7,5.9,5.2,6.8
"....Capiz","01.1.3 - Fish and other seafood (ND)",12.8,12.9,10.8,11.1,10.3,8.6,10.1,8.8,4.1,4.2,4.3,2.2,8.3
"....Capiz","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",12.7,10.6,9.3,9.0,7.2,7.2,8.0,7.9,7.2,7.6,9.1,8.5,8.6
"....Capiz","01.1.3.3 - Fish preparations (ND)",16.4,18.5,18.0,16.3,16.2,15.1,13.6,12.9,12.4,10.8,9.3,7.4,13.8
"....Capiz","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",11.6,12.1,9.0,10.5,9.8,7.1,10.2,7.8,-1.1,-0.5,-0.6,-3.4,5.9
"....Capiz","01.1.3.6 - Other seafood preparations (ND)",3.3,3.3,3.3,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
"....Capiz","01.1.4 - Milk, other dairy products and eggs (ND)",9.2,9.5,9.8,9.8,9.6,9.0,8.2,6.4,6.6,5.8,4.8,4.0,7.7
"....Capiz","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","01.1.4.3 - Other milk and cream (ND)",9.5,10.0,9.8,9.8,9.6,8.6,8.3,8.3,8.4,6.9,5.0,3.4,8.1
"....Capiz","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","01.1.4.5 - Cheese (ND)",6.6,6.2,5.5,5.8,5.1,4.4,1.5,2.2,1.9,1.9,1.9,1.6,3.7
"....Capiz","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","01.1.4.8 - Eggs (ND)",8.9,9.1,10.0,10.1,10.1,9.8,8.3,4.2,4.6,4.6,4.6,4.9,7.4
"....Capiz","01.1.5 - Oils and fats (ND)",25.4,24.4,21.4,17.6,14.2,12.9,8.2,4.7,4.0,3.3,2.6,2.2,11.1
"....Capiz","01.1.5.1 - Vegetable oils (ND)",27.2,26.1,22.7,18.7,14.9,13.4,8.7,4.8,4.2,3.5,2.7,2.2,11.7
"....Capiz","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",6.4,5.8,5.2,5.2,5.2,6.4,8.2,5.6,4.7,4.7,4.7,4.2,5.5
"....Capiz","01.1.5.3 - Margarine and similar preparations (ND)",7.2,7.2,7.2,7.2,7.2,6.7,1.9,1.9,1.9,0.8,0.8,1.5,4.2
"....Capiz","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","01.1.6 - Fruits and nuts (ND)",17.0,15.8,14.1,10.7,9.7,10.4,10.4,9.2,9.3,9.5,8.5,4.3,10.6
"....Capiz","01.1.6.2 - Citrus fruits, fresh (ND)",19.6,17.1,13.8,18.9,18.2,19.6,20.6,18.5,18.4,18.7,15.7,5.2,16.9
"....Capiz","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",2.4,4.8,7.2,7.2,7.2,11.9,11.9,11.9,14.3,16.7,16.7,21.4,11.1
"....Capiz","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","01.1.6.8 - Nuts, in shell or shelled (ND)",17.9,16.8,15.7,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9
"....Capiz","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",14.9,15.6,15.2,14.0,13.5,11.8,7.7,5.1,4.4,3.9,3.8,3.7,9.2
"....Capiz","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",28.7,24.2,23.8,18.9,7.8,10.2,12.0,16.2,22.9,23.4,16.8,11.9,17.8
"....Capiz","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",26.6,24.6,25.6,19.5,7.4,8.0,9.9,14.3,23.4,23.0,13.9,8.4,16.7
"....Capiz","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",20.3,16.5,9.9,9.3,5.5,3.3,9.2,10.7,13.5,13.5,2.0,7.1,9.9
"....Capiz","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",36.9,25.1,21.1,18.6,9.2,17.0,18.4,22.2,23.1,26.4,27.0,22.9,22.1
"....Capiz","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",3.2,0.5,0.6,0.5,0.6,0.6,0.7,0.7,1.1,1.1,1.1,1.0,1.0
"....Capiz","01.1.8 - Sugar, confectionery and desserts (ND)",42.1,38.5,37.1,37.1,35.5,30.7,23.3,16.3,12.6,6.8,2.9,1.2,21.9
"....Capiz","01.1.8.1 - Cane and beet sugar (ND)",91.2,77.4,75.6,75.6,70.9,57.9,40.1,27.4,19.5,8.5,1.7,-0.7,38.4
"....Capiz","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....Capiz","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",2.1,2.5,1.1,1.1,1.1,1.1,1.1,0.4,0.4,0.4,0.4,0.4,1.0
"....Capiz","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",3.3,3.7,3.3,3.3,3.3,3.2,3.7,4.2,4.1,3.8,4.5,3.6,3.7
"....Capiz","01.1.8.6 - Ice, ice cream and sorbet (ND)",10.7,13.0,11.3,11.3,11.4,11.4,10.7,6.9,7.2,6.4,5.6,4.7,9.1
"....Capiz","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",0.9,0.9,2.5,2.5,2.5,2.5,2.5,2.5,4.4,4.4,4.4,3.4,2.8
"....Capiz","01.1.9 - Ready-made food and other food products n.e.c. (ND)",9.7,9.5,10.0,10.7,10.0,9.2,8.4,7.5,8.8,7.9,7.5,4.9,8.7
"....Capiz","01.1.9.2 - Baby food (ND)",4.5,4.7,4.9,5.1,5.1,4.2,4.2,2.9,4.8,4.8,4.8,4.1,4.5
"....Capiz","01.1.9.3 - Salt, condiments and sauces (ND)",8.2,9.1,9.8,9.7,9.2,9.7,9.8,8.6,9.7,9.7,9.4,5.4,9.0
"....Capiz","01.1.9.4 - Spices, culinary herbs and seeds (ND)",13.3,12.0,11.6,13.8,11.6,8.9,6.9,7.1,8.2,6.1,5.0,2.9,8.8
"....Capiz","01.1.9.9 - Other food products n.e.c. (ND)",11.1,9.9,13.9,14.3,16.4,16.7,15.8,12.1,13.6,12.6,12.7,12.1,13.4
"....Capiz","01.2 - NON-ALCOHOLIC BEVERAGES",9.1,9.2,9.6,9.6,9.7,9.8,9.5,7.3,6.9,3.0,2.0,1.8,7.2
"....Capiz","01.2.1 - Fruit and vegetable juices (ND)",0.5,0.7,0.8,0.8,0.8,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.7
"....Capiz","01.2.1.0 - Fruit and vegetable juices (ND)",0.5,0.7,0.8,0.8,0.8,0.9,0.5,0.5,0.5,0.5,0.5,0.5,0.6
"....Capiz","01.2.2 - Coffee and coffee substitutes (ND)",2.0,2.0,3.9,3.9,3.9,4.2,3.8,3.2,3.2,3.7,3.7,3.7,3.4
"....Capiz","01.2.2.0 - Coffee and coffee substitutes (ND)",2.0,2.0,3.8,3.8,3.8,4.1,3.7,3.2,3.2,3.7,3.7,3.7,3.4
"....Capiz","01.2.3 - Tea, maté and other plant products for infusion (ND)",3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
"....Capiz","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
"....Capiz","01.2.4 - Cocoa drinks (ND)",3.6,4.0,3.8,3.8,4.0,4.4,4.4,4.4,4.4,4.4,4.2,3.4,4.1
"....Capiz","01.2.4.0 - Cocoa drinks (ND)",3.6,4.1,3.9,3.9,3.9,4.4,4.4,4.4,4.4,4.4,4.1,3.4,4.1
"....Capiz","01.2.5 - Water (ND)",2.6,2.6,2.6,2.6,2.7,2.6,2.6,1.0,1.0,1.0,0.0,0.0,1.8
"....Capiz","01.2.5.0 - Water (ND)",2.6,2.6,2.6,2.6,2.8,2.6,2.6,1.0,1.0,1.0,0.0,0.0,1.8
"....Capiz","01.2.6 - Soft drinks (ND)",37.6,37.6,36.9,36.9,36.9,36.9,36.3,26.0,23.7,3.6,0.2,-0.1,24.0
"....Capiz","01.2.6.0 - Soft drinks (ND)",37.5,37.5,36.9,36.9,36.9,36.9,36.3,25.9,23.7,3.6,0.2,0.0,24.0
"....Capiz","01.2.9 - Other non-alcoholic beverages (ND)",10.5,10.5,10.3,10.3,10.4,10.2,10.2,4.8,4.6,1.0,1.0,0.6,6.9
"....Capiz","01.2.9.0 - Other non-alcoholic beverages (ND)",10.5,10.5,10.3,10.3,10.4,10.2,10.2,4.8,4.6,1.0,1.0,0.6,6.9
"....Capiz","02 - ALCOHOLIC BEVERAGES AND TOBACCO",12.8,14.6,16.7,15.3,15.9,11.5,11.4,10.0,9.7,9.3,9.4,9.0,12.0
"....Capiz","02.1 - ALCOHOLIC BEVERAGES",8.3,8.8,9.2,9.2,9.7,5.3,5.4,4.4,4.2,4.3,4.3,4.1,6.4
"....Capiz","02.1.1 - Spirits and liquors (ND)",9.1,9.7,9.9,9.9,9.9,5.2,5.3,4.3,4.1,4.4,4.3,4.1,6.6
"....Capiz","02.1.1.0 - Spirits and liquors (ND)",9.1,9.7,9.9,9.9,9.9,5.2,5.3,4.3,4.1,4.4,4.3,4.1,6.6
"....Capiz","02.1.2 - Wine (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","02.1.2.1 - Wine from grapes (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","02.1.2.2 - Wine from other sources (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","02.1.3 - Beer (ND)",5.0,5.0,5.9,5.9,8.9,5.6,5.6,4.9,4.4,4.4,4.4,4.2,5.4
"....Capiz","02.1.3.0 - Beer (ND)",5.0,5.0,5.9,5.9,8.9,5.6,5.6,4.9,4.5,4.5,4.5,4.2,5.4
"....Capiz","02.3 - TOBACCO",22.6,27.2,32.8,28.1,28.5,24.4,23.9,21.7,21.0,19.4,19.6,18.8,23.8
"....Capiz","02.3.0 - Tobacco (ND)",22.6,27.2,32.8,28.1,28.5,24.4,23.9,21.7,21.0,19.4,19.6,18.8,23.8
"....Capiz","02.3.0.1 - Cigarettes (ND)",22.8,27.4,33.0,28.3,28.6,24.6,24.1,21.8,21.2,19.5,19.7,18.8,24.0
"....Capiz","02.3.0.2 - Cigars (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","02.3.0.9 - Other tobacco products (ND)",2.1,2.1,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.4
"....Capiz","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","02.4.0 - Other vegetable-based tobacco products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","02.4.0.0 - Other vegetable-based tobacco products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","02.900 - NON-FOOD",3.4,3.7,3.5,3.5,3.5,3.5,3.8,3.7,3.5,2.9,2.9,2.7,3.4
"....Capiz","03 - CLOTHING AND FOOTWEAR",1.6,1.5,2.2,2.6,2.5,2.6,2.8,2.8,2.5,2.8,3.0,3.0,2.5
"....Capiz","03.1 - CLOTHING",1.5,1.4,2.3,2.9,2.9,2.9,3.1,3.2,2.9,2.8,3.0,3.1,2.7
"....Capiz","03.1.1 - Clothing materials (SD)",4.2,5.8,5.8,5.8,8.3,8.3,8.3,8.3,8.3,8.3,8.3,4.3,7.0
"....Capiz","03.1.1.0 - Clothing materials (SD)",4.2,5.7,5.7,5.7,8.3,8.3,8.3,8.3,8.3,8.3,8.3,4.4,7.0
"....Capiz","03.1.2 - Garments (SD)",1.5,1.4,2.3,2.9,2.9,2.9,3.0,3.1,2.8,2.7,2.9,3.0,2.6
"....Capiz","03.1.2.1 - Garments for men or boys (SD)",1.3,1.3,2.4,3.4,3.5,3.7,3.8,4.0,3.8,3.6,3.6,3.8,3.2
"....Capiz","03.1.2.2 - Garments for women or girls (SD)",1.8,1.6,2.2,2.3,2.3,2.2,2.2,2.3,2.0,2.0,2.2,2.2,2.1
"....Capiz","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",0.6,0.6,1.5,1.5,1.8,2.9,3.9,3.9,3.3,4.8,4.8,4.8,2.9
"....Capiz","03.1.2.4 - School uniforms (SD)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","03.1.3 - Other articles of clothing and clothing accessories (SD)",1.4,1.4,3.2,3.2,4.1,5.0,5.0,5.0,5.0,5.0,5.0,3.5,3.9
"....Capiz","03.1.3.1 - Other articles of clothing (SD)",1.5,1.5,3.5,3.5,4.2,5.0,5.0,5.0,5.0,5.0,5.0,3.4,4.0
"....Capiz","03.1.3.2 - Clothing accessories (SD)",0.1,0.7,1.0,1.0,2.9,4.5,4.7,5.0,5.0,5.0,5.0,5.0,3.3
"....Capiz","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",3.4,3.0,2.1,2.1,2.1,6.1,8.9,11.4,13.0,15.1,16.7,16.6,8.4
"....Capiz","03.1.4.1 - Cleaning of clothing (S)",3.0,2.5,1.8,1.8,1.8,6.6,10.0,13.0,15.2,17.7,19.7,19.7,9.4
"....Capiz","03.1.4.2 - Repair, tailoring and hire of clothing (S)",5.4,5.2,3.4,3.4,3.4,4.1,4.1,4.1,3.7,3.6,3.9,3.2,4.0
"....Capiz","03.2 - FOOTWEAR",1.8,1.7,2.1,2.2,1.9,2.1,1.9,1.9,1.6,2.7,2.7,2.7,2.1
"....Capiz","03.2.1 - Shoes and other footwear (SD)",1.8,1.7,2.1,2.2,1.9,2.1,1.9,1.9,1.6,2.7,2.7,2.7,2.1
"....Capiz","03.2.1.1 - Footwear for men (SD)",1.7,1.4,1.4,1.4,1.0,1.0,1.4,1.4,0.8,1.9,2.1,2.1,1.5
"....Capiz","03.2.1.2 - Footwear for women (SD)",2.7,2.7,3.6,3.7,3.4,3.7,2.8,2.8,2.6,4.4,4.6,4.6,3.5
"....Capiz","03.2.1.3 - Footwear for infants and children (SD)",1.1,1.1,1.2,1.3,1.7,1.7,1.7,1.7,1.5,1.5,1.6,1.6,1.5
"....Capiz","03.2.2 - Cleaning, repair, and hire of footwear (S)",6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,0.0,0.0,5.5
"....Capiz","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,0.0,0.0,5.5
"....Capiz","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",2.7,3.9,4.5,4.4,4.4,4.4,6.3,6.1,5.9,5.8,5.2,5.2,4.9
"....Capiz","04.1 - ACTUAL RENTALS FOR HOUSING",1.0,2.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.1
"....Capiz","04.1.1 - Actual rentals paid by tenants for main residence (S)",1.0,2.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.1
"....Capiz","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",1.0,2.6,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.1
"....Capiz","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",3.6,4.1,4.0,3.6,3.6,3.8,3.5,3.4,3.4,3.3,3.7,3.9,3.7
"....Capiz","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",4.8,5.0,4.9,4.3,4.3,4.6,4.0,3.8,3.4,3.1,3.6,3.9,4.1
"....Capiz","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",4.8,5.0,4.9,4.4,4.3,4.6,4.0,3.8,3.4,3.1,3.6,3.9,4.1
"....Capiz","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",0.9,2.3,2.1,2.1,1.8,2.1,2.1,2.1,3.7,3.7,3.7,3.9,2.5
"....Capiz","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",0.9,2.4,2.1,2.1,1.8,2.1,2.1,2.1,3.7,3.7,3.7,4.0,2.6
"....Capiz","04.4 - WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....Capiz","04.4.1 - Water supply (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....Capiz","04.4.1.1 - Water supply through network systems (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....Capiz","04.5 - ELECTRICITY, GAS AND OTHER FUELS",10.3,10.5,10.7,10.5,10.3,10.2,20.6,19.7,18.4,17.2,13.9,13.6,13.9
"....Capiz","04.5.3 - Liquid fuels (ND)",49.4,20.0,17.1,2.1,-7.6,-10.3,-15.5,2.9,-0.1,-2.3,-6.7,2.0,2.1
"....Capiz","04.5.3.0 - Liquid fuels (ND)",49.3,20.0,17.1,2.0,-7.7,-10.3,-15.5,3.0,-0.1,-2.3,-6.7,1.9,2.1
"....Capiz","04.5.4 - Solid fuels (ND)",10.0,10.4,10.6,10.6,10.6,10.6,21.2,19.9,18.7,17.4,14.2,13.7,14.0
"....Capiz","04.5.4.2 - Wood fuel, including pellets and briquettes (ND)",11.3,11.3,11.3,11.3,11.3,11.3,23.4,22.0,20.5,19.0,14.9,13.6,15.1
"....Capiz","04.5.4.3 - Charcoal (ND)",1.5,4.9,6.0,6.0,6.0,6.0,6.9,6.9,6.9,6.9,8.9,13.5,6.7
"....Capiz","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",3.9,3.9,3.2,3.3,3.3,3.3,2.0,1.7,1.8,1.6,1.6,1.4,2.6
"....Capiz","05.1 - FURNITURE, FURNISHINGS, AND LOOSE CARPETS",1.8,2.0,2.1,2.1,2.1,2.1,1.9,1.8,1.9,2.0,2.0,1.0,1.9
"....Capiz","05.1.1 - Furniture, furnishings and loose carpets (D)",1.8,2.0,2.1,2.1,2.1,2.1,1.9,1.8,1.9,2.0,2.0,1.0,1.9
"....Capiz","05.1.1.1 - Household furniture (D)",2.1,2.3,2.3,2.3,2.3,2.4,2.2,2.0,2.1,2.2,2.2,1.2,2.1
"....Capiz","05.1.1.3 - Lighting equipment (D)",0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1
"....Capiz","05.1.1.4 - Furnishings, loose carpets and rugs (D)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Capiz","05.2 - HOUSEHOLD TEXTILES",3.0,3.3,2.4,2.4,2.4,2.3,2.3,2.3,2.3,1.6,1.5,0.6,2.2
"....Capiz","05.2.1 - Household textiles (SD)",3.0,3.3,2.4,2.4,2.4,2.3,2.3,2.3,2.3,1.6,1.5,0.6,2.2
"....Capiz","05.2.1.1 - Furnishing fabrics and curtains (SD)",3.6,3.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,0.0,2.6
"....Capiz","05.2.1.2 - Bed linen and bedding (SD)",2.7,3.1,2.1,2.1,2.2,2.0,2.0,2.0,2.0,0.9,0.8,0.8,1.9
