"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....City of Angeles","0 - ALL ITEMS",7.5,7.2,8.2,7.5,7.1,6.3,5.4,4.8,4.6,4.2,3.1,2.7,5.7
"....City of Angeles","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",13.9,13.9,14.3,12.7,10.9,9.1,8.4,7.8,7.0,6.8,3.5,1.8,9.0
"....City of Angeles","01.1 - FOOD",15.1,14.9,14.9,13.1,10.9,9.0,8.4,8.0,7.2,6.9,2.9,1.0,9.2
"....City of Angeles","01.1.1 - Cereals and cereal products (ND)",12.3,11.9,11.9,11.2,10.6,9.9,7.8,7.3,7.5,6.7,6.9,6.2,9.1
"....City of Angeles","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",12.3,11.9,11.9,11.3,10.5,9.9,7.7,7.3,7.5,6.7,6.9,6.2,9.1
"....City of Angeles","01.1.1.2 - Flour of cereals (ND)",4.7,5.1,4.6,4.0,3.6,4.0,3.3,2.4,2.4,1.5,2.0,2.3,3.3
"....City of Angeles","01.1.1.3 - Bread and bakery products (ND)",15.3,15.4,15.1,13.4,12.3,11.6,9.6,8.8,9.1,8.2,8.1,7.1,11.0
"....City of Angeles","01.1.1.4 - Breakfast cereals (ND)",5.3,5.3,6.3,7.5,10.3,10.1,8.0,6.9,8.2,8.9,11.3,10.6,8.3
"....City of Angeles","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",7.2,7.0,7.4,9.2,9.4,9.2,7.4,7.9,7.3,6.7,7.0,7.0,7.7
"....City of Angeles","01.1.1.9 - Other cereal and grain mill products (ND)",11.4,8.3,8.7,8.8,7.2,6.2,2.8,2.7,3.1,2.6,3.4,2.2,5.5
"....City of Angeles","01.1.2 - Meat and other parts of slaughtered land animals (ND)",12.7,11.4,10.7,9.7,9.5,6.6,4.5,4.6,4.5,3.7,2.2,1.5,6.7
"....City of Angeles","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",6.9,5.7,6.4,5.7,4.7,3.2,1.2,1.5,1.5,1.5,1.8,1.8,3.4
"....City of Angeles","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",22.9,12.9,9.8,6.6,1.3,-3.7,-5.6,-0.3,2.6,0.6,-4.5,-3.5,2.8
"....City of Angeles","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",11.5,11.5,11.1,10.5,11.3,8.9,6.7,5.8,5.1,4.4,3.5,2.4,7.6
"....City of Angeles","01.1.3 - Fish and other seafood (ND)",20.3,13.7,13.9,13.6,10.0,6.8,5.4,7.0,7.6,5.7,-0.3,-4.0,8.1
"....City of Angeles","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",15.0,15.6,12.5,12.9,9.4,5.2,0.9,-1.4,-2.6,-3.9,-9.9,-10.6,3.2
"....City of Angeles","01.1.3.3 - Fish preparations (ND)",15.1,15.0,19.4,18.4,17.8,12.0,10.7,9.2,8.8,7.4,5.4,5.4,11.8
"....City of Angeles","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",24.9,13.0,12.3,11.9,6.6,4.4,4.3,8.9,10.5,7.9,-0.5,-6.8,7.8
"....City of Angeles","01.1.3.6 - Other seafood preparations (ND)",11.1,10.5,14.3,14.5,15.0,15.1,12.5,13.5,16.1,15.9,14.4,15.2,14.0
