"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....City of Cotabato","0 - ALL ITEMS",7.3,7.6,7.6,7.6,7.6,8.0,6.9,6.7,6.9,3.8,2.6,2.3,6.2
"....City of Cotabato","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",5.2,5.7,5.6,5.3,5.0,6.0,3.8,3.4,4.2,3.1,1.6,1.8,4.2
"....City of Cotabato","01.1 - FOOD",6.1,6.6,6.5,6.1,5.7,6.8,4.3,3.9,4.9,3.4,1.5,1.8,4.8
"....City of Cotabato","01.1.1 - Cereals and cereal products (ND)",1.8,2.0,3.0,3.1,3.5,3.9,3.8,3.7,3.8,3.8,3.2,3.2,3.2
"....City of Cotabato","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",1.8,2.0,3.0,3.1,3.6,3.9,3.7,3.7,3.8,3.8,3.2,3.2,3.2
"....City of Cotabato","01.1.1.2 - Flour of cereals (ND)",4.7,7.9,7.9,7.9,7.9,7.9,3.0,3.0,3.0,3.0,3.0,3.0,5.1
"....City of Cotabato","01.1.1.3 - Bread and bakery products (ND)",1.9,1.9,2.6,2.6,3.3,3.3,3.6,3.8,3.8,3.9,2.8,2.6,3.0
"....City of Cotabato","01.1.1.4 - Breakfast cereals (ND)",2.3,3.5,6.5,6.5,6.5,6.5,6.5,7.0,7.0,4.4,4.6,4.6,5.5
"....City of Cotabato","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",3.7,4.3,4.4,5.2,5.5,5.6,4.8,3.9,4.7,4.5,4.2,3.9,4.6
"....City of Cotabato","01.1.1.9 - Other cereal and grain mill products (ND)",0.1,0.1,2.4,2.4,2.6,3.5,3.2,3.2,3.2,3.1,3.4,3.8,2.6
"....City of Cotabato","01.1.2 - Meat and other parts of slaughtered land animals (ND)",3.7,2.8,2.9,2.9,3.1,2.2,1.9,2.1,2.0,1.6,0.7,0.7,2.2
"....City of Cotabato","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Cotabato","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",2.1,1.6,2.2,2.9,2.4,1.1,1.2,0.4,0.5,0.9,2.1,1.5,1.6
"....City of Cotabato","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",4.1,2.9,3.1,3.0,3.2,2.4,2.0,2.5,2.4,1.7,0.4,0.6,2.4
"....City of Cotabato","01.1.3 - Fish and other seafood (ND)",3.5,5.7,4.1,4.2,6.5,6.2,5.5,4.1,3.7,3.2,2.4,2.5,4.3
"....City of Cotabato","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",8.1,14.6,14.4,14.4,20.5,18.7,16.1,15.4,13.7,11.9,9.5,10.8,14.0
"....City of Cotabato","01.1.3.3 - Fish preparations (ND)",2.8,2.8,2.1,2.1,2.6,3.6,4.6,4.2,4.6,4.7,4.4,3.4,3.5
"....City of Cotabato","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",0.0,0.0,-3.2,-3.2,-2.8,-2.9,-3.4,-5.8,-5.8,-5.8,-5.8,-5.8,-3.7
"....City of Cotabato","01.1.3.6 - Other seafood preparations (ND)",1.4,0.4,0.4,1.9,6.4,12.3,11.2,11.2,11.2,10.7,10.7,10.7,7.4
"....City of Cotabato","01.1.4 - Milk, other dairy products and eggs (ND)",0.4,1.0,1.5,1.5,2.0,2.2,2.2,2.1,4.1,2.7,3.2,3.2,2.2
"....City of Cotabato","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Cotabato","01.1.4.3 - Other milk and cream (ND)",0.7,0.8,0.9,1.1,0.9,0.9,1.1,1.1,1.1,1.0,3.0,3.0,1.3
"....City of Cotabato","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Cotabato","01.1.4.5 - Cheese (ND)",2.1,3.5,2.5,2.5,1.8,2.5,2.5,3.1,3.1,3.1,1.0,1.0,2.4
"....City of Cotabato","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Cotabato","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Cotabato","01.1.4.8 - Eggs (ND)",0.2,1.2,1.9,1.9,2.7,3.2,3.2,2.9,6.5,4.1,3.4,3.4,2.9
"....City of Cotabato","01.1.5 - Oils and fats (ND)",6.1,5.9,2.3,2.3,2.2,4.8,-1.1,-1.0,-0.6,-1.2,-1.4,2.0,1.6
"....City of Cotabato","01.1.5.1 - Vegetable oils (ND)",6.6,6.6,2.6,2.5,2.5,5.5,-1.0,-1.0,-0.5,-0.8,-1.0,2.7,2.0
"....City of Cotabato","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....City of Cotabato","01.1.5.3 - Margarine and similar preparations (ND)",1.5,-0.6,-0.6,-0.6,-1.6,-1.3,-1.8,-1.1,-1.1,-4.3,-5.0,-5.0,-1.8
"....City of Cotabato","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Cotabato","01.1.6 - Fruits and nuts (ND)",8.2,6.2,4.9,4.0,2.9,3.9,0.8,1.1,0.6,-0.7,-4.0,-4.0,1.9
