"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Eastern Samar","0 - ALL ITEMS",10.3,10.7,11.2,10.7,10.4,9.8,8.9,8.2,7.9,7.0,6.4,5.8,8.9
"....Eastern Samar","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",14.7,14.9,15.2,14.4,14.3,12.9,11.5,9.5,8.7,7.1,6.4,5.5,11.1
"....Eastern Samar","01.1 - FOOD",15.7,16.0,16.3,15.5,15.1,13.1,11.6,9.3,8.2,6.9,6.2,5.1,11.4
"....Eastern Samar","01.1.1 - Cereals and cereal products (ND)",19.2,17.8,17.6,16.7,14.6,12.5,10.9,7.3,5.9,4.9,4.8,3.6,11.0
"....Eastern Samar","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",19.2,17.8,17.7,16.7,14.7,12.5,11.0,7.3,5.8,4.9,4.8,3.6,11.0
"....Eastern Samar","01.1.1.2 - Flour of cereals (ND)",13.5,12.1,10.1,9.1,7.1,4.2,3.3,3.1,2.4,2.4,1.8,1.2,5.7
"....Eastern Samar","01.1.1.3 - Bread and bakery products (ND)",21.1,19.4,19.4,18.1,14.8,12.4,11.4,7.1,5.2,4.3,4.1,3.6,11.3
"....Eastern Samar","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Eastern Samar","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",15.2,14.6,14.5,14.0,14.0,12.1,10.3,8.4,7.5,6.9,6.9,4.1,10.6
"....Eastern Samar","01.1.1.9 - Other cereal and grain mill products (ND)",16.9,16.0,15.0,14.6,15.5,14.1,10.2,6.8,6.5,4.8,4.8,3.0,10.4
"....Eastern Samar","01.1.2 - Meat and other parts of slaughtered land animals (ND)",8.0,7.2,5.8,5.7,5.0,3.6,2.2,1.6,1.6,1.7,1.4,1.1,3.7
"....Eastern Samar","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Eastern Samar","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",8.2,3.2,0.7,0.7,0.5,-3.5,-9.8,-9.3,0.6,2.3,-1.5,-2.3,-1.0
"....Eastern Samar","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",8.0,7.5,6.3,6.1,5.4,4.2,3.2,2.5,1.7,1.6,1.6,1.4,4.1
"....Eastern Samar","01.1.3 - Fish and other seafood (ND)",7.7,8.0,12.2,11.8,12.6,10.4,12.6,13.1,13.0,10.9,9.4,6.7,10.7
"....Eastern Samar","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",4.4,10.2,12.8,11.5,10.1,8.6,10.1,13.8,15.7,9.1,5.2,2.5,9.4
"....Eastern Samar","01.1.3.3 - Fish preparations (ND)",14.3,15.1,16.8,17.7,17.8,16.2,16.8,11.8,10.0,9.5,8.8,9.0,13.5
"....Eastern Samar","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",4.1,-0.5,7.0,6.1,9.6,6.0,10.5,13.9,14.1,14.1,14.2,8.0,8.8
"....Eastern Samar","01.1.3.6 - Other seafood preparations (ND)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....Eastern Samar","01.1.4 - Milk, other dairy products and eggs (ND)",13.0,18.2,17.7,16.7,17.1,17.1,15.3,14.1,14.1,12.0,11.5,11.5,14.8
"....Eastern Samar","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Eastern Samar","01.1.4.3 - Other milk and cream (ND)",6.4,7.6,7.8,7.5,8.4,8.8,8.5,7.9,7.8,6.8,6.0,6.0,7.4
"....Eastern Samar","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Eastern Samar","01.1.4.5 - Cheese (ND)",4.6,4.6,4.6,4.6,3.5,2.7,3.2,3.2,3.6,3.6,2.7,2.8,3.6
"....Eastern Samar","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Eastern Samar","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Eastern Samar","01.1.4.8 - Eggs (ND)",20.5,30.1,28.9,26.9,26.9,26.4,22.6,20.8,20.9,17.5,17.5,17.5,22.9
"....Eastern Samar","01.1.5 - Oils and fats (ND)",12.5,13.5,14.4,14.8,12.5,13.2,12.0,9.8,5.2,4.2,3.8,2.4,9.7
"....Eastern Samar","01.1.5.1 - Vegetable oils (ND)",18.5,19.4,21.1,22.6,20.1,19.0,16.8,14.3,5.6,4.0,3.2,0.4,13.2
"....Eastern Samar","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Eastern Samar","01.1.5.3 - Margarine and similar preparations (ND)",6.3,7.3,7.3,7.0,4.8,7.2,7.0,5.1,4.9,4.4,4.4,4.5,5.8
"....Eastern Samar","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Eastern Samar","01.1.6 - Fruits and nuts (ND)",14.7,12.1,12.3,11.7,14.1,9.0,1.4,-0.1,-1.6,-7.2,-7.9,-8.2,3.7
"....Eastern Samar","01.1.6.2 - Citrus fruits, fresh (ND)",16.7,18.6,16.0,16.5,24.0,21.7,12.4,2.8,-2.0,-16.4,-12.4,-9.2,6.4
"....Eastern Samar","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",-13.0,-11.1,-2.5,2.5,10.8,5.4,5.4,0.0,-2.5,-2.5,-4.4,-5.0,-1.8
"....Eastern Samar","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Eastern Samar","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Eastern Samar","01.1.6.8 - Nuts, in shell or shelled (ND)",20.2,13.6,13.6,11.4,11.4,4.0,-5.5,-2.7,-2.8,-5.5,-8.2,-10.9,2.5
"....Eastern Samar","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",12.7,10.7,10.3,9.5,7.0,5.7,4.8,3.7,3.2,2.7,-0.6,0.2,5.7
"....Eastern Samar","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",15.7,16.7,16.4,17.3,18.2,11.8,13.1,14.9,14.9,17.0,13.8,11.1,15.0
"....Eastern Samar","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",10.0,12.9,14.1,17.0,17.9,7.2,9.1,12.1,11.3,13.6,14.7,11.1,12.5
"....Eastern Samar","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",6.0,28.6,19.0,5.9,4.9,-4.5,-6.2,-0.3,-0.8,4.5,-7.8,-12.1,3.1
"....Eastern Samar","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",25.5,22.5,19.8,18.4,19.0,19.7,20.2,19.4,20.9,22.4,13.2,11.9,19.2
"....Eastern Samar","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",1.2,1.2,-0.7,-1.4,16.4,21.6,18.7,18.7,22.5,14.6,13.6,13.8,11.5
"....Eastern Samar","01.1.8 - Sugar, confectionery and desserts (ND)",45.0,40.9,38.9,35.8,36.0,32.2,22.0,11.2,4.8,0.4,-0.7,-1.5,19.6
"....Eastern Samar","01.1.8.1 - Cane and beet sugar (ND)",90.6,79.7,75.0,68.9,68.9,58.8,38.0,15.9,4.4,-2.9,-4.7,-5.8,31.7
"....Eastern Samar","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Eastern Samar","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",9.0,9.3,8.8,8.1,10.7,17.8,17.7,15.4,15.4,12.9,9.0,8.8,11.9
"....Eastern Samar","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",3.2,3.2,3.2,3.2,5.7,7.8,12.2,10.5,9.1,9.1,9.5,9.5,7.2
