"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Tawi-tawi","0 - ALL ITEMS",10.4,11.7,13.2,13.5,14.0,12.4,11.3,6.9,4.1,7.9,8.1,6.8,9.9
"....Tawi-tawi","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",16.4,17.0,18.2,16.8,16.0,13.6,11.5,5.6,4.2,5.5,6.1,3.6,11.0
"....Tawi-tawi","01.1 - FOOD",18.9,19.5,21.0,19.3,18.2,15.7,13.2,6.2,4.6,6.1,7.0,4.1,12.5
"....Tawi-tawi","01.1.1 - Cereals and cereal products (ND)",10.3,10.5,10.8,11.8,10.5,10.3,9.6,9.2,3.1,1.3,1.4,0.7,7.3
"....Tawi-tawi","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",10.3,10.5,10.8,11.8,10.5,10.3,9.7,9.2,3.1,1.4,1.4,0.7,7.3
"....Tawi-tawi","01.1.1.2 - Flour of cereals (ND)",-0.8,-0.8,-0.8,2.7,1.4,0.1,0.1,0.1,-9.2,-9.2,-8.5,-12.3,-3.4
"....Tawi-tawi","01.1.1.3 - Bread and bakery products (ND)",14.3,14.3,14.3,14.3,13.6,13.6,13.6,13.6,3.7,3.7,2.3,2.3,10.1
"....Tawi-tawi","01.1.1.4 - Breakfast cereals (ND)",15.2,15.2,15.2,15.2,15.2,15.2,15.2,25.4,25.4,25.4,25.4,25.4,19.5
"....Tawi-tawi","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",11.4,12.6,13.8,17.1,15.7,15.7,11.9,8.3,7.1,6.8,5.9,5.4,10.8
"....Tawi-tawi","01.1.1.9 - Other cereal and grain mill products (ND)",9.8,9.8,9.8,9.8,8.0,8.0,8.0,8.0,4.3,-0.9,0.9,0.9,6.2
"....Tawi-tawi","01.1.2 - Meat and other parts of slaughtered land animals (ND)",1.3,8.3,11.5,8.3,5.8,5.8,5.8,5.8,6.5,6.5,6.5,6.5,6.5
"....Tawi-tawi","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Tawi-tawi","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Tawi-tawi","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",1.3,8.3,11.4,8.3,5.8,5.8,5.8,5.8,6.5,6.5,6.5,6.5,6.5
"....Tawi-tawi","01.1.3 - Fish and other seafood (ND)",-4.0,-1.0,2.3,2.2,0.4,-1.8,-2.8,-6.3,-5.2,0.1,0.1,0.1,-1.4
"....Tawi-tawi","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",11.1,11.1,13.3,7.9,3.4,5.0,3.9,-5.1,7.0,10.5,10.5,10.5,7.3
"....Tawi-tawi","01.1.3.3 - Fish preparations (ND)",10.4,10.4,6.3,8.3,5.0,5.0,3.6,5.0,5.2,5.2,5.2,5.2,6.2
"....Tawi-tawi","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-16.9,-11.3,-4.9,-3.1,-3.1,-8.4,-9.3,-11.2,-15.5,-7.7,-7.7,-7.7,-8.9
"....Tawi-tawi","01.1.3.6 - Other seafood preparations (ND)",0.0,0.0,1.8,3.6,3.6,3.6,1.4,-0.7,3.6,-4.4,-4.4,-4.4,0.3
"....Tawi-tawi","01.1.4 - Milk, other dairy products and eggs (ND)",7.1,7.1,7.3,3.0,2.8,1.6,-3.6,-5.1,-1.2,-2.5,2.4,2.1,1.7
"....Tawi-tawi","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Tawi-tawi","01.1.4.3 - Other milk and cream (ND)",0.7,0.7,1.0,1.4,1.0,1.0,0.8,0.6,0.7,0.7,0.7,0.2,0.8
"....Tawi-tawi","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Tawi-tawi","01.1.4.5 - Cheese (ND)",9.3,9.3,9.3,13.2,13.2,13.2,9.8,6.7,6.7,6.7,6.7,6.7,9.2
"....Tawi-tawi","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Tawi-tawi","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Tawi-tawi","01.1.4.8 - Eggs (ND)",15.1,15.1,15.1,4.1,4.1,1.3,-9.6,-12.4,-4.3,-6.9,4.1,4.1,2.2
"....Tawi-tawi","01.1.5 - Oils and fats (ND)",9.5,8.6,5.3,2.1,1.5,-3.5,-9.0,-14.1,-18.2,-10.7,-11.9,-13.1,-4.9
"....Tawi-tawi","01.1.5.1 - Vegetable oils (ND)",9.6,8.7,5.4,2.1,1.5,-3.5,-9.0,-14.0,-18.2,-10.7,-12.0,-13.2,-4.9
"....Tawi-tawi","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Tawi-tawi","01.1.5.3 - Margarine and similar preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Tawi-tawi","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Tawi-tawi","01.1.6 - Fruits and nuts (ND)",8.5,8.0,6.8,7.0,6.4,4.7,2.0,-3.1,-2.6,-2.2,-2.2,-2.2,2.6
"....Tawi-tawi","01.1.6.2 - Citrus fruits, fresh (ND)",34.7,28.6,17.7,21.3,19.5,6.7,5.2,1.5,-4.5,-1.8,-1.8,-1.4,10.0
"....Tawi-tawi","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",15.0,25.0,25.0,35.0,35.0,35.0,15.0,15.0,15.0,15.0,15.0,15.0,21.7
"....Tawi-tawi","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Tawi-tawi","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Tawi-tawi","01.1.6.8 - Nuts, in shell or shelled (ND)",7.6,7.6,7.6,7.6,7.6,7.6,3.8,-5.0,-2.5,-2.5,-2.5,-2.5,2.9
"....Tawi-tawi","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",-0.5,-0.5,-0.5,-1.8,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-2.4
"....Tawi-tawi","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",73.5,72.5,79.3,64.2,54.1,45.8,45.3,26.7,23.6,43.8,41.7,25.5,47.4
"....Tawi-tawi","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",7.5,5.5,5.5,11.2,17.5,14.3,14.5,-1.8,-1.0,2.1,2.1,2.1,6.6
"....Tawi-tawi","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",38.4,38.4,59.2,32.9,27.3,21.4,18.0,0.0,54.1,69.4,69.4,68.9,39.8
"....Tawi-tawi","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",140.7,140.7,155.6,104.4,78.8,66.4,65.4,41.4,33.8,70.3,70.3,37.7,75.6
"....Tawi-tawi","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,80.0,80.0,35.1,35.1,62.2
"....Tawi-tawi","01.1.8 - Sugar, confectionery and desserts (ND)",46.4,46.4,47.4,47.8,53.5,50.5,41.9,11.2,11.2,1.6,5.2,1.6,26.9
"....Tawi-tawi","01.1.8.1 - Cane and beet sugar (ND)",70.4,70.4,71.9,70.5,78.7,73.7,57.8,8.0,8.0,-5.4,3.1,-2.1,33.4
"....Tawi-tawi","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Tawi-tawi","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",4.6,4.6,6.2,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,7.5
"....Tawi-tawi","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1
"....Tawi-tawi","01.1.8.6 - Ice, ice cream and sorbet (ND)",5.0,5.0,5.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,12.1
"....Tawi-tawi","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,41.8,4.6,4.6,31.7
"....Tawi-tawi","01.1.9 - Ready-made food and other food products n.e.c. (ND)",4.4,5.5,6.0,5.3,4.3,3.3,1.8,2.2,1.6,2.1,2.5,1.6,3.4
"....Tawi-tawi","01.1.9.2 - Baby food (ND)",2.4,2.4,2.4,2.4,1.8,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.6
"....Tawi-tawi","01.1.9.3 - Salt, condiments and sauces (ND)",6.0,6.3,5.8,5.7,5.5,5.2,3.6,3.7,6.4,6.7,6.7,6.7,5.7
"....Tawi-tawi","01.1.9.4 - Spices, culinary herbs and seeds (ND)",3.3,6.2,8.2,6.6,4.2,2.2,-0.1,0.9,-4.1,-2.9,-1.6,-4.2,1.5
"....Tawi-tawi","01.1.9.9 - Other food products n.e.c. (ND)",4.9,4.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,3.2
"....Tawi-tawi","01.2 - NON-ALCOHOLIC BEVERAGES",6.0,6.1,6.2,6.2,6.4,4.7,3.6,3.2,2.7,2.7,1.4,1.4,4.2
"....Tawi-tawi","01.2.1 - Fruit and vegetable juices (ND)",3.4,3.4,3.2,3.4,4.3,4.0,3.5,3.2,3.2,3.2,3.2,3.2,3.4
"....Tawi-tawi","01.2.1.0 - Fruit and vegetable juices (ND)",3.4,3.4,3.2,3.4,4.3,3.9,3.6,3.2,3.2,3.2,3.2,3.2,3.4
