"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Agusan del Norte","0 - ALL ITEMS",2.4,2.3,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",2.9,2.4,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1 - FOOD",3.2,2.6,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.1 - Cereals and cereal products (ND)",4.3,4.1,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",4.3,4.1,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.1.2 - Flour of cereals (ND)",7.4,6.1,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.1.3 - Bread and bakery products (ND)",3.3,3.2,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.1.4 - Breakfast cereals (ND)",6.4,5.5,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",7.0,6.2,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.1.9 - Other cereal and grain mill products (ND)",3.0,3.0,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.2 - Meat and other parts of slaughtered land animals (ND)",1.2,0.8,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",-3.9,-4.8,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",2.0,1.8,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.3 - Fish and other seafood (ND)",-3.0,-4.3,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",-6.6,-12.7,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.3.3 - Fish preparations (ND)",10.5,14.2,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-24.3,-22.5,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.3.6 - Other seafood preparations (ND)",0.8,0.8,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.4 - Milk, other dairy products and eggs (ND)",5.3,4.7,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.4.3 - Other milk and cream (ND)",-1.0,-1.1,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.4.5 - Cheese (ND)",0.4,1.0,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.4.8 - Eggs (ND)",13.7,12.2,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.5 - Oils and fats (ND)",5.3,3.6,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.5.1 - Vegetable oils (ND)",5.7,4.0,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.5.3 - Margarine and similar preparations (ND)",-0.1,-0.4,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.6 - Fruits and nuts (ND)",-3.7,1.0,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.6.2 - Citrus fruits, fresh (ND)",-10.2,5.3,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",-11.5,-12.0,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.6.7 - Fruit, dried and dehydrated (ND)",6.2,0.7,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.6.8 - Nuts, in shell or shelled (ND)",-5.8,-3.9,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",8.6,8.4,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",12.8,13.3,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",7.7,9.5,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",5.8,-15.6,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",26.5,26.1,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",2.4,2.3,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.8 - Sugar, confectionery and desserts (ND)",-7.9,-7.1,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.8.1 - Cane and beet sugar (ND)",-14.3,-13.0,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",3.2,12.0,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",8.5,8.7,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",-1.5,-1.5,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.8.6 - Ice, ice cream and sorbet (ND)",7.5,5.9,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",11.5,6.4,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.9 - Ready-made food and other food products n.e.c. (ND)",6.3,4.6,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.9.2 - Baby food (ND)",0.2,0.2,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.9.3 - Salt, condiments and sauces (ND)",4.8,2.2,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.9.4 - Spices, culinary herbs and seeds (ND)",17.6,15.4,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.1.9.9 - Other food products n.e.c. (ND)",0.6,0.6,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.2 - NON-ALCOHOLIC BEVERAGES",1.0,1.3,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.2.1 - Fruit and vegetable juices (ND)",1.1,1.5,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.2.1.0 - Fruit and vegetable juices (ND)",1.2,1.6,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.2.2 - Coffee and coffee substitutes (ND)",0.0,0.0,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.2.2.0 - Coffee and coffee substitutes (ND)",0.0,0.0,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.2.3 - Tea, maté and other plant products for infusion (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.2.4 - Cocoa drinks (ND)",2.0,0.5,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.2.4.0 - Cocoa drinks (ND)",2.0,0.6,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.2.5 - Water (ND)",-1.4,-1.4,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.2.5.0 - Water (ND)",-1.4,-1.4,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.2.6 - Soft drinks (ND)",3.2,5.4,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.2.6.0 - Soft drinks (ND)",3.2,5.5,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.2.9 - Other non-alcoholic beverages (ND)",2.4,2.1,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","01.2.9.0 - Other non-alcoholic beverages (ND)",2.5,2.2,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","02 - ALCOHOLIC BEVERAGES AND TOBACCO",8.9,9.2,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","02.1 - ALCOHOLIC BEVERAGES",5.2,4.5,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","02.1.1 - Spirits and liquors (ND)",5.5,4.3,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","02.1.1.0 - Spirits and liquors (ND)",5.4,4.2,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","02.1.2 - Wine (ND)",4.9,4.1,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","02.1.2.1 - Wine from grapes (ND)",3.3,2.6,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","02.1.2.2 - Wine from other sources (ND)",5.8,4.9,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","02.1.3 - Beer (ND)",4.8,4.8,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","02.1.3.0 - Beer (ND)",4.8,4.8,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","02.3 - TOBACCO",10.3,11.1,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","02.3.0 - Tobacco (ND)",10.3,11.1,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","02.3.0.1 - Cigarettes (ND)",10.5,11.3,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","02.3.0.2 - Cigars (ND)",5.6,5.6,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","02.3.0.9 - Other tobacco products (ND)",4.1,4.3,..,..,..,..,..,..,..,..,..,..,..
"....Agusan del Norte","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",..,..,..,..,..,..,..,..,..,..,..,..,..
