"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Bulacan","0 - ALL ITEMS",6.5,5.5,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",6.3,3.6,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1 - FOOD",6.5,3.8,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.1 - Cereals and cereal products (ND)",10.1,8.9,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",10.1,8.8,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.1.2 - Flour of cereals (ND)",10.4,8.4,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.1.3 - Bread and bakery products (ND)",9.5,8.3,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.1.4 - Breakfast cereals (ND)",4.2,3.3,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",8.9,8.5,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.1.9 - Other cereal and grain mill products (ND)",17.9,13.8,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.2 - Meat and other parts of slaughtered land animals (ND)",2.2,1.3,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",-1.7,-3.5,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",-5.8,-1.3,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",3.0,1.6,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.3 - Fish and other seafood (ND)",10.4,5.4,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",29.4,26.8,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.3.3 - Fish preparations (ND)",5.9,2.8,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",6.0,-2.1,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.3.6 - Other seafood preparations (ND)",0.6,0.0,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.4 - Milk, other dairy products and eggs (ND)",8.2,1.5,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.4.1 - Raw and whole milk (ND)",7.3,4.9,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.4.3 - Other milk and cream (ND)",5.2,1.2,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.4.5 - Cheese (ND)",-1.7,-1.2,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.4.8 - Eggs (ND)",12.1,1.7,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.5 - Oils and fats (ND)",-5.1,-6.6,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.5.1 - Vegetable oils (ND)",-5.4,-7.1,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",5.0,1.9,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.5.3 - Margarine and similar preparations (ND)",-6.4,-6.6,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.6 - Fruits and nuts (ND)",-1.2,2.7,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.6.2 - Citrus fruits, fresh (ND)",-6.4,3.7,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",0.0,-7.0,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.6.5 - Other fruits, fresh (ND)",36.3,13.7,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.6.7 - Fruit, dried and dehydrated (ND)",18.2,15.8,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.6.8 - Nuts, in shell or shelled (ND)",-2.6,-2.6,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",3.3,2.6,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.7,0.5,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",-4.7,-1.3,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",24.9,4.6,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",5.4,-1.5,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",9.4,8.3,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.8 - Sugar, confectionery and desserts (ND)",6.0,4.8,..,..,..,..,..,..,..,..,..,..,..
"....Bulacan","01.1.8.1 - Cane and beet sugar (ND)",-3.9,-3.8,..,..,..,..,..,..,..,..,..,..,..
