"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....City of Iloilo (Capital)","0 - ALL ITEMS",3.7,3.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",2.9,0.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01.1 - FOOD",3.3,0.8,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01.1.1 - Cereals and cereal products (ND)",4.8,4.8,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",4.9,4.8,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01.1.1.2 - Flour of cereals (ND)",-3.2,-3.1,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01.1.1.3 - Bread and bakery products (ND)",5.8,5.6,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01.1.1.4 - Breakfast cereals (ND)",11.6,9.2,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",3.1,2.9,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01.1.1.9 - Other cereal and grain mill products (ND)",1.0,2.4,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",7.0,6.7,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",-1.7,-0.8,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",7.9,7.5,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01.1.3 - Fish and other seafood (ND)",7.3,0.2,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",13.2,-3.1,..,..,..,..,..,..,..,..,..,..,..
"....City of Iloilo (Capital)","01.1.3.3 - Fish preparations (ND)",5.7,3.8,..,..,..,..,..,..,..,..,..,..,..
