"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Davao del Norte","0 - ALL ITEMS",2.9,2.8,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",2.9,3.2,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1 - FOOD",3.1,3.5,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1.1 - Cereals and cereal products (ND)",6.9,7.6,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",6.9,7.6,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1.1.2 - Flour of cereals (ND)",0.6,-0.1,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1.1.3 - Bread and bakery products (ND)",7.9,8.5,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1.1.4 - Breakfast cereals (ND)",6.9,6.4,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",4.9,5.9,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1.1.9 - Other cereal and grain mill products (ND)",7.3,7.3,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1.2 - Meat and other parts of slaughtered land animals (ND)",2.6,3.2,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",-4.4,-5.3,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",2.9,3.5,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1.3 - Fish and other seafood (ND)",4.5,3.5,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",4.8,5.1,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1.3.3 - Fish preparations (ND)",4.4,2.8,..,..,..,..,..,..,..,..,..,..,..
"....Davao del Norte","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",3.6,1.6,..,..,..,..,..,..,..,..,..,..,..
