"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Kalinga","0 - ALL ITEMS",1.2,2.1,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",0.1,1.6,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1 - FOOD",-0.6,1.0,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.1 - Cereals and cereal products (ND)",1.6,3.0,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",1.6,3.0,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.1.2 - Flour of cereals (ND)",1.6,2.0,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.1.3 - Bread and bakery products (ND)",0.7,3.2,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",2.7,3.2,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.1.9 - Other cereal and grain mill products (ND)",2.9,1.8,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.2 - Meat and other parts of slaughtered land animals (ND)",2.8,3.0,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",2.8,3.1,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.3 - Fish and other seafood (ND)",-2.7,-2.2,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",-1.6,-1.6,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.3.3 - Fish preparations (ND)",2.6,2.6,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",-25.9,-23.4,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.4 - Milk, other dairy products and eggs (ND)",9.9,13.5,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.4.3 - Other milk and cream (ND)",0.6,0.6,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.4.5 - Cheese (ND)",4.4,4.6,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.4.8 - Eggs (ND)",19.4,26.9,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.5 - Oils and fats (ND)",5.5,4.6,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.5.1 - Vegetable oils (ND)",5.5,4.5,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.5.3 - Margarine and similar preparations (ND)",5.6,4.9,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.6 - Fruits and nuts (ND)",1.1,2.3,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.6.2 - Citrus fruits, fresh (ND)",7.3,15.5,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",0.0,-6.8,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.6.8 - Nuts, in shell or shelled (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",0.8,2.1,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",-12.3,-10.6,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",-17.9,-17.4,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",-13.8,-9.0,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",0.8,3.2,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",0.0,0.1,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.8 - Sugar, confectionery and desserts (ND)",-10.0,-9.9,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","01.1.8.1 - Cane and beet sugar (ND)",-12.6,-12.6,..,..,..,..,..,..,..,..,..,..,..
