"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Northern Samar","0 - ALL ITEMS",1.9,1.7,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",3.1,2.6,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1 - FOOD",2.9,2.2,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1 - Cereals and cereal products (ND)",4.2,4.3,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",4.1,4.4,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1.2 - Flour of cereals (ND)",-0.1,0.0,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1.3 - Bread and bakery products (ND)",3.6,3.8,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1.4 - Breakfast cereals (ND)",2.4,2.9,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",2.1,2.7,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.1.9 - Other cereal and grain mill products (ND)",18.6,18.6,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.2 - Meat and other parts of slaughtered land animals (ND)",-1.7,-1.4,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",-19.1,-21.2,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",0.2,0.6,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.3 - Fish and other seafood (ND)",6.2,5.9,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",9.2,10.7,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.3.3 - Fish preparations (ND)",5.8,5.8,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",3.6,0.2,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.3.6 - Other seafood preparations (ND)",-1.3,-1.3,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4 - Milk, other dairy products and eggs (ND)",5.4,1.4,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4.3 - Other milk and cream (ND)",-1.3,-1.3,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4.5 - Cheese (ND)",23.7,26.9,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.4.8 - Eggs (ND)",14.0,4.1,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.5 - Oils and fats (ND)",-1.3,-1.5,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.5.1 - Vegetable oils (ND)",-1.4,-1.7,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",-1.4,-1.4,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.5.3 - Margarine and similar preparations (ND)",-0.5,-0.5,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.6 - Fruits and nuts (ND)",-4.2,-5.0,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.6.2 - Citrus fruits, fresh (ND)",-11.4,-11.7,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",3.5,3.6,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.6.8 - Nuts, in shell or shelled (ND)",0.0,-2.4,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",-7.7,-7.7,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",-4.4,-3.2,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",-7.5,-6.4,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",10.0,-0.7,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",8.7,11.1,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",-20.2,-22.2,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.8 - Sugar, confectionery and desserts (ND)",-1.3,-0.5,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.8.1 - Cane and beet sugar (ND)",-3.2,-2.3,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",1.3,1.3,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",2.2,2.2,..,..,..,..,..,..,..,..,..,..,..
"....Northern Samar","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",2.5,2.5,..,..,..,..,..,..,..,..,..,..,..
